,UKF248,UKF259,UKF269,UKF296,UKF313,UKF334,ZH1007inf,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,0.09049560179458406,,,,,,,,-0.019712697864793755,,-0.010132077869518186,
BMP1,0.08056731223963719,-0.023460486686089552,0.06908734004998884,-0.01713594089306088,0.02434023933244395,0.0012125500100357174,0.10224766081150696,-0.0376020484566799,0.04622336390424594,-0.05891289304616249,0.0588487901479348,0.03375471255774995,0.1316721873048499,0.09122640139454628
NDP,0.019664106473888623,0.022687569889220726,0.04121067187264582,-0.031676170472092216,0.006142484236680499,0.0036520001991041957,0.11296344194481427,-0.018155123645113985,0.030265584122067642,0.06179544839760134,0.09256685358767434,0.027205602278839086,-0.008059141094844574,0.043916808275868725
TNFSF18,-0.028200549557581597,,-0.0215524421999759,,,,0.08262083252723268,0.04592816678582152,,,-0.020329357358411133,,0.07863278101723485,-0.026018898200099925
IL36G,,,,,,-0.014337269770626352,,,,,,,,
RTN4,0.00028110232732562286,-0.03942307912200617,-0.06106455312553692,-0.006902158594107135,-0.060199695647181174,-0.007702177480173345,-0.04046083702391836,-0.017168342956306922,-0.04946687723590192,-0.008837298637322223,-0.12360973451259248,-0.047665963927479495,-0.013472156604694908,0.012667363563533039
HEBP1,0.01924656911197079,-0.027680375252561673,0.07794729117480788,0.010838785850412416,-0.07426754870085914,0.026128447357218292,0.06178980648320191,-0.06896107055850445,-0.01270251583629161,0.03503044090343004,0.04865669701090426,0.006359318471462413,0.0785756172462533,-0.007529174474343494
WNT7B,0.006545588246650813,0.023465188940675025,-0.02994583901515044,-0.015270046035997213,-0.005741507686242991,0.006158592255843424,0.0679622377133201,,0.12864793782139333,-0.04426210376351417,0.0036547367712762057,-0.025144472326377537,0.06093580415703254,-0.014414337954514923
PTMA,0.0015383001254969907,-0.04567714972320368,-0.06434397981198606,0.028493031700197333,0.05884023351630855,-0.019639616372318407,0.02303493697299596,0.1667242154027264,-0.025859340802259566,-0.01007504696474538,-0.06230635979259997,0.05374614406100316,0.09624796521945399,0.10864007336255199
FASLG,,,,,,,,,,,,,0.027276189839731815,
