,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1007nec,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916inf
IGFL3,,,,,,0.10821915706684401,,,,,,,,,,0.0168033234744732,,-0.014974383764609614,
BMP1,-0.01820983326953319,0.006318299571871647,-0.007284990650320657,-0.031188161115017966,-0.01300115233278806,-0.042121292442788345,0.0004763470411129677,0.014294104865253468,0.07662888778593309,0.12770433683267882,0.03134678067523977,0.027479733802979554,-0.01546559825225979,0.03380637687771221,0.009121597934058095,0.037028399262014476,-0.04402077512270741,-0.03604753832995533,0.23331970858523823
NDP,0.002463105420155944,0.0022239865921449683,-0.03637325301688034,0.08457141383722316,0.020926013033418144,0.0399055726840123,0.009409681096686827,-0.011291632619849752,0.1257228075216482,0.028968399248014212,0.08459690613859983,0.08488161806923496,0.026701303637125456,0.07804292772406762,-0.014177281869519758,-0.0012758044211421341,-0.01942569724019876,0.008226827990492314,-0.02432126345225761
TNFSF18,-0.015795542577753233,0.0030995803456099922,,,0.04038189706526959,-0.03072140362074602,-0.024191750886450068,,,,-0.029395998166232586,,,,,-0.025660718693260105,,-0.008072538984132599,
IL36G,,,,,,,,,,-0.007034422060541673,,,,,,,,,
RTN4,0.031225575229091154,-0.018350127986907508,-0.007326555977053677,0.05567667168824256,-0.02407474205997009,0.027769631925179932,-0.005946070113861826,-0.058922728823117616,-0.09708744979304183,-0.015102974819286605,-0.027996075259228127,0.09373739781721513,0.024807563358771524,0.0015227980072608145,-0.02158305742959187,-0.020293877691742214,0.05431063992484091,-0.031815002467466505,-0.025482265329431177
HEBP1,-0.03211226290835135,0.014069133285321228,-0.015564921275592062,0.021511455471493645,-0.015485113348184964,-0.036257281607707685,0.008601685069183176,0.018500615696010417,0.15118757983183814,0.009308584905971761,0.004276369193122545,0.0343535963649607,-0.0641138330121839,0.04369790533381589,0.011951437649068673,-0.0146293336779514,0.0402901090898231,0.008873237657959984,0.06395627833200676
WNT7B,-0.008929657035188684,-0.0038027790372950018,0.05101089519649824,-0.05049531955976157,-0.005570392029276945,0.047612919608019444,-0.0004217964982053151,-0.013054820457339847,,-0.03244839686749565,-0.03236212477257272,0.02124387334384517,0.06301404004121733,0.08413907196823377,-0.036593250083892574,-0.002883360375645799,-0.02655853385667094,0.07653070065614014,0.03736316542926789
PTMA,-0.02211113628488197,0.03181951375215314,0.012798197118865573,-0.0039012155070829767,0.017353129297942055,0.060388386501732415,0.04163827676909656,0.021277540606163856,0.23763163870056783,0.04007467186183022,-0.032052428122211166,-0.1126026196808051,0.010928854425678617,-0.004429117727823014,-0.005858928914574053,0.09631971393345987,0.05335408137714932,-0.06993578075188728,0.06832708595076406
FASLG,,,,,,,,,,,,,,,,,,-0.01298727793046108,
