,MGH258,UKF255,UKF259,UKF313,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Bbulk,ZH8812bulk,ZH916T1
IGFL3,,,,,,,,,,-0.015610210280843102,0.04585242607697497
BMP1,0.05568091449738926,0.05604199190427096,0.04855763313726347,-0.0041128065842297905,-0.014809130169212804,0.1481332669714821,0.005880081914645464,0.05928878296746467,0.004786092672303102,0.09176789327509852,0.04251257558183205
NDP,0.016616765794505273,-0.036966774658875705,-0.007678335118307939,0.05109674106283024,0.07228616074396439,0.018478937184350154,-0.00434641620321811,0.022013908193200874,-0.020178722798338718,-0.0012500198299066983,0.03171332633433995
TNFSF18,-0.02359141511391951,,,,-0.000873135660980958,,-0.07496806048535314,,,-0.016098534326241146,0.07041507829322409
RTN4,0.04256403738376179,-0.034605869468546054,-0.0003921942136644989,-0.018483313691979125,-0.051782203146135325,0.03217538784738244,-0.03503970711573471,0.0322735241593631,0.04236958205416361,-0.07298782805190497,-0.004303628695332441
HEBP1,0.01728798723289961,0.019135560069927993,-0.0027463993704080784,-0.017154100635680482,0.0409813786675656,0.001462053079955178,0.04822911558335033,-0.024003729192915473,0.029068080548277433,-0.005789899424057331,0.03792683786817961
WNT7B,-0.020783297811694336,-0.0352871078987811,0.03856041026948539,0.003808962800060974,-0.030537188784998823,0.0007919089808318978,,0.0030306696185224097,0.0039305018008098285,-0.019087678133393023,-0.03363898400532716
PTMA,-0.06283387538485558,0.10607011063272917,0.0564657355874555,-0.013297093487839421,0.010858548270445986,0.007923355042438985,-0.002615237466567659,-0.09252840450887521,-0.031098640527867944,-0.0997994475277264,-0.012758812597788778
FASLG,-0.02078330368707939,,,,,,,,,,-0.0009674166831368586
CEACAM1,0.037376539039409726,,-0.02336439521224341,,,0.055293191042469006,0.02547715952221583,0.1653601810311571,0.022585507108659267,0.01931959044412693,0.07270448385225177
PDAP1,-0.016651656125945734,0.04234738990390636,-0.03895557734086309,0.021114301372148876,-0.031985755890128385,-0.007522526429081553,0.06699910759728729,-0.012725756694512461,-0.08443556709676014,-0.06115659684729646,0.013926089779263415
QDPR,-0.04487326622678803,0.044991826862975745,0.02925014632245441,-0.04706207444823299,0.04111627699532838,0.16260164987608258,0.035690476019416745,-0.14822781009569908,0.00882036040714664,-0.03746084992767455,0.0351991768678962
POMC,0.015931792828250874,,-0.037210630785622395,0.012312911594773945,0.09040292379080381,0.13614986109995506,0.022039127913008404,0.016915482468293747,0.08165956805752987,0.06776240549863476,0.042391402424638555
CCL18,,,,-0.02735881192307853,,0.01725132129408032,,-0.022715273599320823,-0.028961056974501017,,
CCL17,,,-0.0060164985088633225,,,,,,-0.027978522897980886,0.07490394356956284,0.09031629384164427
VEGFD,,,-0.030542209200846743,-0.01503742920086984,,0.11044719904657781,0.04594061796455788,,-0.01938157681576754,0.02625675495984117,
TNFSF13,,,-0.018909554914770546,,,,,,-0.002624957550927997,-0.02207063305001381,0.06465038197660833
WNT5A,0.07570842659750954,-0.029566815339205983,-0.003003211337129866,0.028628745889021513,0.16646258117138912,-0.04646498152990337,0.005980092344491091,0.14223246066225315,0.008599490736832452,0.0223762170314786,-0.0006715446698350706
CXCL8,,-0.030912371675656112,-0.035020333545464515,-0.03357426259236806,,-0.1300770498935924,0.07611947098120439,-0.03999381553772335,-0.06782577307805884,-0.02922076157789432,-0.060829205955295375
GRN,-0.008007600446682918,-0.05923792202406092,-0.03955881616291884,-0.05815466250890121,0.08326067124770521,0.12141457635351027,0.08841068453740775,0.06329590911549257,0.055462775044301034,0.04521004697059587,-0.08098003733505885
MIA,-0.027203551921689686,-0.023612246482880635,-0.01626149744275593,-0.000935853663047032,0.030274805703738118,-0.0061237861637120665,-0.07992542708346825,-0.010841349765391814,0.02856106837890463,0.04666648616728094,0.07377405169006493
COL4A4,0.07636570029795353,-0.03578395901903381,-0.028694442538548803,,,,0.1474747048554041,0.020507119872480717,-0.031032934964320656,0.03516418855872872,-0.0387711868733078
TAC1,-0.020783292379739002,-0.0377815364994564,-0.03014964104040323,,,,,,,,0.010294273378368603
RARRES2,0.06883405617005042,0.0012768874852445572,-0.06921628682481734,-0.0263105846813631,0.07703317343393962,0.04248217696766858,-0.0369491807469501,-0.03626538566314613,0.008145782039578707,-0.025804772278016606,0.018610525083283203
FGF7,-0.03669086381545808,-0.004388625440105392,-0.03621386450513044,0.1230339155211783,0.09560751287537796,-0.01984660054077876,0.012965851805011018,0.00020717255267714668,-0.039024699437597996,0.11350952328380172,0.047050714611863595
EFNA2,,,,,,,,,-0.018420891688625984,,
