,MGH258,UKF243,UKF248,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,0.072119281846799,,,,,,,,,,-0.02940477068454002,,0.02752656034398032,,
BMP1,0.03998676130155502,0.022297802325155408,0.002007490541144314,0.03413072053649894,-0.04746011664272472,0.02713807346533645,-0.0112663733247079,0.10254072321261527,0.0031549186429929072,0.04102400165946468,-0.06119104986067297,0.026016817183362094,0.021284112543539964,0.027820843261343597,0.09595680667853675,0.02835755435946016,0.00648932820962193,0.05662577972679994,0.024187757688510496,0.03728529545973328,-0.017316393963897954,-0.017809495532933383
NDP,0.07950188592201451,0.02509442142460938,0.008230975558106687,0.03458857472044578,-0.015402408945157911,0.07588920023747418,-0.018258126557657024,0.017529440325189487,0.023326152686193317,-0.046172458732083255,-0.025282502285544618,-0.022069665315919106,-0.15773728942294163,0.10587865933161919,-0.07912885704496592,0.00736315315995226,0.07912824603112292,-0.002131017058457067,-0.0436563223826969,-0.025029857718219382,-0.0887929691149715,0.004373430938047757
TNFSF18,-0.04068640333436809,7.17872441016893e-05,-0.03972185990666847,,,,-0.021962831582149928,0.08669687287442474,0.002020549373002548,,,,,0.09778871046911113,,,,-0.013796901046149735,,0.05969444771998739,0.033079985955928044,
IL36G,,,,,,,,,,,,0.060209045303223706,,,,,,,,,,
RTN4,-0.08947228089777594,0.032461033557744594,-0.007091115212963991,0.07296064394648312,0.024593125711164076,0.07229790919941557,0.007614975501149687,-0.08656289676646718,0.0063065272584658175,0.03163727458489668,0.11827772063907345,-0.06853768761157424,0.1044133992717059,-0.1450098449441319,0.0443269180572321,-0.09499496104174035,-0.01957251015172222,0.02167998246049086,0.058202395353805,0.0031590724763375494,0.004709674938829852,0.06443641745445951
HEBP1,-0.00826120512847732,0.08974496347727955,-0.02628561634780205,-0.06924054521022192,0.014580283780647485,-0.013199239469335789,-0.005841251003310141,0.012962748041459563,-0.043496063271627236,-0.0016145516402094394,-0.02204689936902727,0.02638361224436702,0.03734981762970719,0.015111943719964738,0.0014744754798510463,0.014868817309528654,0.021520679575737573,0.034869006101208105,0.048868075046846135,0.025347955258417154,0.022981367068079427,0.022253833621085052
WNT7B,-0.023001823615400412,0.039195280001189034,0.0035565107123209077,-0.016122642737511402,-0.01064047113790267,0.013786215314556994,-0.007601232786649929,-0.05392951596564902,-0.029558942528270057,0.07397387571212556,,-0.0011257131617965226,0.07984579939406204,,-0.04820599088429224,-0.04791898662631143,0.08498419437941512,-0.01796375188199582,0.0018233436889328065,0.028624016089505756,0.0007303222916002597,0.028410472779032164
PTMA,0.023007808152950393,-0.00868695631389088,-0.037447998340406456,0.041880159962175485,0.04249663753947574,-0.0609349302620759,0.016706862427827235,-0.0726860872295453,-0.048302283679346664,0.005012145171212974,-0.12699088668255404,-0.050639962224899956,-0.029256893520331603,-0.01788607327896277,0.11243716453930196,-0.02059703854456145,-0.03673412127483777,0.0035454356480216415,0.043531652524746424,0.0026338312265116516,0.011419679912788217,-0.0388136695014901
FASLG,0.046140300168306086,,,,,,,,,,,,,,,,,,,0.03971052991203621,,
CEACAM1,-0.02828065238392693,,-0.02528187522533557,,-0.014694719704115462,0.03590392834562787,,0.03034492688432149,0.03421745595545769,,,,0.029982941754495195,-0.034860152858362824,-0.02551879212607921,-0.04414893379331396,-0.03013192957732872,0.1776106174771603,-0.03100986370873352,0.011852454978460568,,
PDAP1,0.013721234795177884,0.025066244700189606,0.03485036965448197,0.0027674133284420577,0.00034333924946951846,-0.029933339956309965,0.027005683737099724,0.05271995267968817,-0.04134126943730769,0.0025318732039605212,-0.012561893695502355,0.02401871229203837,-0.14564131206934122,-0.026071797194189453,-0.034048873593187506,-0.020207424078061958,-0.019051811225856318,0.004722772833493807,-0.005521312448635938,-0.016323334956193595,0.022700731878200854,-0.03733055172999108
QDPR,-0.02758598212681118,0.048993814542217934,0.0287297685470051,0.017942541335514976,-0.03420761330598043,0.04934018644747757,-0.01979591857729103,-0.13754998678252722,0.004110888625873229,0.003914128074903758,-0.10506367093330965,0.01849286621564488,0.01999982391581154,0.05372964607847791,0.0010230960211377361,-0.044162323553691554,0.013856473250348977,0.05528752279419749,-0.14156825726884822,-0.018166258992666308,-0.013339647252118806,-0.06380391858924613
