,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,-0.028966419515163124,,,,,,,,,
BMP1,0.05904277110997333,0.009802412179473365,-0.05101060111176657,-0.019597746349180985,0.01372992236357452,-0.05419824533450714,-0.06371649446798656,-0.1950327587181187,-0.02113510343363849,-0.005318741004567409,-0.081673946613632,-0.12965248699399332,-0.008423237050149867,0.0005462807795564042,-0.028571649969182645,-0.06449102878278334,-0.02275149160603221
NDP,-0.0070314209840136544,0.014368527605848658,-0.035548441154262575,0.0024827002346349968,-0.013333456299023095,0.09739424958876078,0.07458889414522207,-0.014155030578289212,0.060681132914305845,-0.02992991406617346,-0.05589246441963983,-0.009148737903287112,0.023458946243222284,0.033242900881082345,-0.017639432724747623,-0.0178333769331219,0.06608636788504078
TNFSF18,-0.03198473549276305,0.019375519258729407,0.015063297818681076,,,,0.014776461639711698,-0.043014263384273825,-0.010226852494982027,,,,,,,-0.0457552037723548,
IL36G,,,,,,,,,,,,-0.0240974965317208,,,,,
RTN4,0.1349620826345477,0.043166196388933396,-0.013828590211538589,0.008828739408020056,0.08230977315519918,0.05389503239621723,0.16210573237135084,0.2574409907836094,0.06469838452360266,0.027146714275834986,0.23661577833555503,0.21299650637511255,0.024252183487786416,0.034839771723844865,0.0981676947738975,0.10430002673708977,0.11623219534328409
HEBP1,0.01852951139772381,-0.008696261747460783,-0.025411661522189915,0.03126297644208228,-0.009946184972332767,0.01998172917530068,-0.08116503845820124,-0.08987669128839859,-0.03188707027167884,-0.020540245342617867,-0.11147111119032907,0.0028041094071133486,-0.009761289059160582,0.05270327963216965,-0.00020621015120908314,0.0018489664419140783,-0.012746063831406498
WNT7B,0.04684107625499814,-0.006207201907354015,-0.0016759707025142665,-0.0357238577784271,0.015470695103253983,0.06817757038853108,0.0477406342951023,0.1099934977622978,-0.004119645805239467,0.07203529395198208,,0.025311817430802065,-0.03537741176304695,-0.031324248284268344,0.032511382732531804,0.05213426729609573,0.11692944035576124
PTMA,-0.00571091183968253,0.03628982700125243,0.0012826108358931563,-0.02925973647825263,-0.0605596911251091,-0.06690446410810845,-0.14402446502208027,0.03526484953257131,0.0024030471598315553,-0.011797921915956635,-0.31473771652779114,-0.19782925134652143,-0.014339514855235462,-0.03716807642966289,0.00713288795254021,-0.14340357758544245,-0.0780561402131322
CEACAM1,,0.00418764357820216,-0.01429630056714587,,0.01608420053744135,-0.02295245508662916,,-0.05660432070444832,0.023536527021901798,,,,0.1762817284560088,0.1693236379282496,-0.022391992479244234,,
PDAP1,-0.03538576560362815,0.03183541186769434,0.01877651749108617,0.02475311543858699,-0.001017960131426901,0.009728322025815936,-0.0929046262484288,-0.10302979307615497,0.023097372088682636,-0.0045931745184806675,0.02941207294066128,-0.1159742934542919,-0.0036836953512367795,-0.016170765372072536,0.040727215843710904,0.05916596770140225,0.1045591748507905
QDPR,0.08563133339789554,-0.0041783969733953,0.06502963090026564,0.008989538940602181,0.04188850684407691,0.0903143955897722,0.1321681884141124,0.1002682471635067,0.04917920609475484,0.04068507746968191,-0.3035789572403986,0.05592871718581545,0.018910043594224636,0.030187586946512565,-0.01869577033216714,0.06988642741250553,-0.004474980249163967
POMC,0.009255397927011575,-0.004255772416792092,0.01301547755850889,,0.0006137851156385852,0.02618187070252632,-0.05040897935320915,-0.025828593630880328,-0.02633590600982437,-0.0033769578567614637,-0.0015987406754520736,0.10044109881834772,0.005525837666072478,-0.03554993488398376,-0.036630358157810336,0.051068622328777256,-0.039610965943807
CCL18,0.011195258781857434,-0.026336690079277775,,,,,,,,,-0.05292647239762112,,-0.03627714373482662,0.007266873104809669,-0.01629356897993436,,
CCL17,,,,,0.011397594476614753,,,,-0.008570038831999,-0.023001456583058844,,-0.006105032400181022,-0.0140639618216713,0.050700384769175814,,,
VEGFD,-0.024706090204097596,-0.03527741788329635,-0.005005249568485943,,0.03655397082314703,0.07780733021725122,,-0.04852652274931762,0.07488036709685433,-0.016871846570076232,0.03897374631454312,-0.02359281472354273,,-0.015175139954286921,,,
TNFSF13,,-0.03281302071026766,,,-0.012959455176165143,,0.03330083510144743,,,,,,0.004332983604824548,0.08479831549554122,0.033390745012985876,-0.050681142113350314,
WNT5A,0.017888406572367194,0.03134906693417815,-0.01008186830134382,-0.0010020654136253318,-0.005134695679323578,-0.01532502726166378,-0.047737432565306596,-0.15140847924062786,0.0016180144743614445,0.006698219793495188,0.04476796721009973,-0.05724724201174443,-0.003623354467977788,0.03359511018697507,0.03603337275067107,-0.052118017487583206,-0.09331045727839948
CXCL8,-0.053640161483902604,-0.02323762117231026,0.01580186195287469,0.04804947878522073,-0.0040118317537012034,0.03670014644981359,0.007637212177037019,-0.07316257756834531,-0.06766220335414923,-0.015711797138332994,-0.11087322288086515,-0.051271920865306755,-0.06385316003134013,-0.012551933191418382,-0.03893646313605794,-0.0721945829675424,-0.020113988006352737
GRN,-0.009436322350880575,-0.01434444047480634,-0.01723839715101982,-0.051025572581008816,-0.026237483192306583,-0.016799444980313435,-0.07122566489819061,-0.1883357914512795,0.0055416672470548715,0.029551641512652098,-0.1841235813668722,0.041857785485468035,0.010088180774729439,0.01211885173854052,-0.06013352420668007,0.0027206044154897495,0.004244577276746099
MIA,-0.0006052612869037097,0.014701597090539146,-0.018210440316598554,0.015324305317908894,0.04265703470602196,-0.015586650460707178,0.00948393072024545,-0.07291836029519064,-0.03284658426879314,-0.019188172295658657,,-0.011023719789352772,0.030636871284970585,0.03469132456206545,-0.08521016321960055,-0.02392525015232117,
