,UKF260,UKF266,UKF269,UKF275,ZH1019T1,ZH8811Abulk,ZH881T1,ZH916T1
IGFL3,,,-0.0160203747428771,,,,,0.0043876973265647625
BMP1,-0.020052673683951073,0.08706795816016057,0.11268258509335011,-0.017888072038634722,0.05740407895441867,0.026514211386341004,-0.01588941433394596,0.05210947385234032
NDP,0.08486682267855927,0.013165121485198845,0.05211172814042262,0.037692384689026213,-0.029553667994828666,-0.011795394858713936,0.016773378338022202,0.0161304650928606
TNFSF18,,-0.012399102470561372,-0.023789775548343363,-0.01629866259983479,0.20622066460538052,,,0.022717390715828692
RTN4,0.0006942183847652207,-0.02221135583660197,-0.08097240910697749,0.0097577707924542,-0.0670387733990913,-0.015329526414009286,0.030307242394949956,0.029318570755908237
HEBP1,0.03267757299015492,0.0674894600421826,0.04357267413300171,-0.02023380087252048,0.040475785221003126,0.039105153716627775,0.046497525289137656,0.05803921805860449
WNT7B,0.03897686438396442,0.0006737699901882543,-0.031189118206944345,-0.020505544065049185,,0.02309341498809442,0.08679778060550916,0.02895357197134925
PTMA,0.03036228954686395,0.059064067501954254,-0.08185395105552215,-0.05647182018466417,0.01269794693253626,-0.07172388894326195,0.00707187572622945,-0.03526325904361911
FASLG,,,,,,,,-0.015954307499519416
CEACAM1,-0.014562086703078427,,0.020735675404864342,-0.014853705302881829,0.09259738534222653,-0.017644162215842425,0.059434821492362656,-0.0032708898363987705
PDAP1,0.002956738708125114,0.025061975806476587,0.07645627261835028,-0.04261050741512687,-0.012519375246657317,-0.01808063122273722,0.08594197628995148,0.003079364384227712
QDPR,-0.0032009747657538758,-0.029845079526095022,-0.08732108846492405,-0.005512434887614228,-0.014029470177076227,-0.0272874213448575,-0.0628642603633922,0.030099151959990206
POMC,-0.029302361974322094,0.014362355796405116,0.11010210678856996,-0.018911679212970066,-0.08006154763586189,-0.04236484134451064,-0.03147211100813044,0.017847109672753384
CCL18,,,,,,-0.03228860042121459,0.03300268296211713,
CCL17,,,,-0.02032760551413244,,-0.012517679090683579,,0.0978990438831203
VEGFD,-0.01393218007897181,,-0.012153973777122743,0.08306466052011419,-0.04160521809317301,,,
TNFSF13,,-0.01202454279775911,,,,-0.02401954599077676,0.048106545787720924,-0.023562646672723037
WNT5A,0.04026584167392219,0.11893054196982764,0.07853841897195234,0.023932082762676,0.009377885163763007,0.029216320218021445,-0.02602368112069269,0.0031108945674528997
CXCL8,-0.04217381832261229,0.06753012949074436,-0.004642795646383844,0.05437051106211389,0.08501775437346755,0.02394186955856846,0.02315363334683196,-0.0016071561212845761
GRN,-0.022948530703355074,0.10107687285934597,0.10979104589442648,0.0325020782741008,-0.0005283732864073634,0.016529891311442682,-0.017718003869759788,-0.0038546512902452507
MIA,0.024288425288742047,0.01170829767082252,0.09342620486866243,-0.024197883964708875,-0.07290311489055573,0.03880114837200001,-0.04930724022461886,0.035611390977279805
COL4A4,0.10449235717372221,-0.01144082122276651,0.20098875327463836,0.05792557940384853,0.08645186879522787,0.1586031219659985,-0.01986292180835762,0.01694802009402501
TAC1,-0.030700757308407857,0.000897120488046293,-0.08617684962388467,-0.05619867018697476,,,0.011390045606845216,0.0024143378527661198
RARRES2,-0.08900351524335987,0.03272257230311331,0.09562561816761883,0.00050002338799726,-0.024699688930133273,0.0288108205702375,-0.015110032232739325,0.04670952589588217
FGF7,-0.026676072983537625,-0.02142495765245476,0.025963398294770037,-0.024823090379808347,-0.06825461163509536,-0.049370509764413775,-0.022701691427266392,0.09222224517910105
HBEGF,-0.0005595621946855755,0.022548124980018878,0.07779086508923555,0.09533646127426984,-0.0033604476263675203,0.06343867748617518,-0.023359683589173962,0.045115313923493085
CSF3,-0.04641835271258064,,-0.016702225965467353,,,0.06352560784706858,-0.027581414076045165,-0.015224978678388042
PI3,-0.0068296499745059,,0.0017422401966505194,,,0.0037853569299273037,-0.005877790434951317,-0.03307882066482843
PCSK1N,0.023559510015358644,-0.006114526437245469,-0.047771145368558365,0.020944143561535393,-0.08908526165638245,-0.030473465204345674,0.027199574045497235,0.008914079659975455
NTS,0.03953354902281088,0.0896886793473642,0.01712101828850761,-0.02424440958283885,,-0.029202442276194,0.05197110256673855,0.14462170246592596
SFRP1,-0.01589420473935468,0.01133550504731204,0.037157019234976454,0.03413409082243449,-1.4248175841788641e-05,0.06422789526360806,0.030231971840869478,0.015658084232851244
CXCL13,-0.015751359874967192,,,,,-0.028117273721486334,-0.02580041902324766,
MICA,-0.04199220273475849,0.02070768630843334,0.08400558274851132,0.02595334762143477,0.020993214190420575,-0.003948002921613893,-0.020114643718212935,0.04045576689998938
TG,0.012140444329215658,-0.016121188120213684,-0.020158092425977787,-0.02047929328788456,-0.06644826440623788,0.03450744256782213,0.10765885430850987,-0.029691612471517578
ADA,0.09508303247243018,-0.031494324553372435,-0.004516578373084722,-0.05665690871314553,-0.011747075100028044,0.04243147040533786,-0.02532381288233825,0.027742387760908538
LAMC3,0.06133597319928879,0.022937878314258895,0.09203936926598111,0.04591282242751083,0.014159863014623174,0.014744697733384066,-0.0056809981773763155,-0.002173064653556027
CCL7,-0.020883395066199364,,,,,0.027389713380780285,,-0.015954301826358108
NGF,0.010244877589537158,-0.015383937443780792,,,0.12793665142777397,-0.02166758660499207,-0.047351260633392456,0.10301415478751645
TNFSF15,-0.015461994840829447,0.020076590092326905,,,0.05880941615746555,-0.018289981041928655,-0.01712758462676919,-0.022004611312249595
HMGB1,-0.013945587771208556,0.0069148955370219485,0.04507796867472864,-0.008030379394627935,0.0709632866399732,-0.09089905210991789,0.02875678085087414,-0.04467481013734039
ITGB3BP,-0.01947093907322013,0.03317669235382881,0.09355762836835925,0.03890708238375627,-0.00012203228139380717,0.01114286847257237,-0.06040142629023801,0.0024036459521809325
AANAT,-0.013932182067869031,,-0.015065859815163889,-0.01841714813515708,,-0.01645879213117816,,0.0317071093404228
RELN,0.010115294900768589,-0.030288714396304827,-0.04420795976256245,-0.018187325997054034,0.09852271420974244,,-0.02068826607291876,
IL15,-0.039083103090056845,-0.013291555325227692,0.023128267766064234,0.04346974434109073,0.03789187116101343,-0.030153181528748022,0.005478438690761235,0.07288216634213865
UTS2,,,0.06494781000292246,,,0.14053263875022143,,
BSG,-0.012024663808568788,0.07543941395810205,0.015010190023962436,0.009507332456390889,-0.0008903317469529408,0.029751538455758043,-0.012002300162070552,0.023160842655269475
ADAMTS3,-0.026619713698473955,-0.021408850549346783,0.05372389724589961,-0.05190520531503906,,0.01676025242739876,0.05459840046025114,0.027220719102686284
CD34,0.03825456371076334,0.014624099432391872,0.06625581711135337,0.0005824034974204071,-0.05313055700599575,-0.0033848397942046428,-0.02948669774163173,0.0019167518975464668
CCL23,,,-0.01714255692182048,,,,,
PLAT,0.009385369976210622,0.03906935813434704,0.0802356555488488,0.038582197489488324,0.02177591996180343,-0.021072799982538675,-0.06083888688662543,0.007950380391102472
NTF3,,,,,,-0.016270490221135067,0.10845579125969648,
LTA,,,,-0.01773763302116569,,,,-0.02271836230150228
CKLF,0.08108041437017939,0.07175132983023039,0.09257188321523281,0.013455186646586608,0.01314995419531395,0.044718343410847725,-0.021038651829041834,-0.022286042922152978
CD24,0.07835693426826237,0.038386744633608284,-0.006833779289368676,0.016497195248060013,-0.054090850930306245,0.06909870860344722,0.05111335941132977,0.0011735801241020373
HSP90AA1,0.005191796891832989,-0.057033791078418127,-0.11772696374760892,0.0701700015067888,-0.06326524893524137,-0.04137369946971672,0.011170533634799746,-0.016006115840544594
BMP4,-0.02703764988570336,0.03330027099411573,0.03380291024862201,0.01838709511896238,0.0690401248469593,0.1200098961702564,-0.00750940406884389,0.046206657022359356
SCGB3A1,-0.01659150892049573,0.09008848260662203,,,0.13423534063856093,0.0017039749160642206,-0.035568588762790634,0.07275263456973613
IGFBP4,-0.03377609597960406,0.014331514073457634,0.10714809738723417,-0.03741835371890449,0.027868739882864885,0.004317635959426764,-0.09290405154000768,0.03951075119821661
RSPO4,0.01946522361564241,,,-0.02062994704322834,-0.016367897658063662,,-0.023953930815808138,0.05250356087881619
LEFTY2,0.01981335102531879,0.02299118638030137,0.060653295845361825,-0.033022843179555915,,-0.015926062636307123,-0.03257576337273145,0.11736369245593609
PF4,,,,,,,,-0.02271835704430473
ANGPTL2,0.08646601421241619,0.03091196336946364,0.0572971873751961,0.012874428785438844,0.01480300216393876,-0.0013641986573152865,0.01923383827855593,0.007771243369329209
LRIG2,0.05955701468836993,0.018100044754171502,0.020478582618334955,0.03932344606431614,0.0014254701136251324,0.05067882877961627,0.028045852575983955,0.060835899295794645
