,MGH258,UKF248,UKF251,UKF259,UKF275,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk
BMP1,0.0927783975814954,-0.010026967848847677,0.022692070250985224,0.012706594238673777,-0.03596151845249446,-0.033807546769371956,0.017275507055265045,-0.05033384002998209,-0.0037648988768776196
NDP,-0.026851345191939224,-0.022212471323508388,0.03438081066346042,0.006751345516227892,-0.026161498145386385,-0.10079521778915117,0.05147242000076233,0.061282495575723864,0.06029205494389643
TNFSF18,-0.018422625842775646,-0.029448343766773317,-0.021814409072243232,,-0.01124553736895678,0.10661717350805862,,,
RTN4,-0.007256524288223362,0.024052467423528838,-0.04056099576219676,0.011426456527665302,-0.0570879891112562,0.02562738701396226,0.04832945989336763,0.044505347764064354,-0.04408040069873099
HEBP1,0.0021180478489684694,-0.04051170100686279,0.02342944502269573,-0.027890301342318374,0.013941140496134674,-0.032674375738767455,0.07744160519966256,-0.0001519788639222954,0.014213901010901071
WNT7B,-0.01622975635479842,-0.009720981565644786,-0.0199368237204476,0.004396067996765281,-0.023124986962097232,,-0.008259326947951154,0.02119593298633994,-0.013235478728183443
PTMA,-0.013796618329783966,0.0437332524509236,-0.018923071097380707,0.030710950701500532,0.005804729978669725,0.08149756396705286,-0.10131885112437967,-0.034731804698767875,-0.005993277366488242
FASLG,-0.016229760942908966,,,,,,,,
CEACAM1,-0.022535165107020326,-0.01874306375516329,-0.01530031308624151,-0.029987035562952413,-0.01768655121159865,0.11727437491300093,0.09928117581339209,-0.023840003618257676,-0.025955979663878852
PDAP1,-0.019785289169234405,-0.024587974176547258,0.05827051895222916,-0.002485211027474035,-0.03529568207764185,-0.01688313763685475,0.017412625819740634,0.020660014938416096,-0.019434804296960404
QDPR,-0.017132072783594857,-0.0035478374661326133,0.009664126289784539,0.017586089215648814,0.04305368695125909,0.03161695126091084,-0.03704914091580941,0.007057003650354686,0.037573321421469734
POMC,0.019165120729845504,-0.0020486908436396617,-0.0023103790355113694,-0.0009586151457528033,-0.013048432286789818,0.015022112317052127,-0.041972982480153284,0.04373493030069134,0.0030982233166575324
CCL18,,-0.023389572646298724,,,,,-0.019964883929448833,-0.0031474879291408095,-0.03130756180999651
CCL17,,,,-0.02211211800691326,-0.014025374537963951,,,-0.01691332867854371,-0.0022198192565040034
VEGFD,,-0.02338958007358354,-0.021914628803925095,-0.012853479492662995,0.02139530346588542,0.0872015460047216,,,0.1198013039744824
TNFSF13,,-0.01765052769074801,,-0.015252444117354635,,,,0.062431752152536366,0.0627731886336414
WNT5A,-0.04251798686947176,0.038281330105926284,0.020055827638026286,-0.0030675150465962536,0.02530386303642625,0.0036663762140861436,0.094611458570141,0.00011355432723216018,0.07827083452007758
CXCL8,,-0.031071892632182217,-0.020519559490521283,-0.015304571612706586,0.001069693380260965,-0.018943933877410574,-0.035151321493671464,-0.06545275991797905,-0.10742775700209037
GRN,-0.04993905586074373,0.022957637575932575,0.003972418864270849,-0.00402126254678397,-0.013265481997421674,-0.07367263770633328,0.08222285617256522,0.051461968219562476,-0.045335603474397135
MIA,0.0002475132242545252,-0.022467134289436072,-0.019489338306343255,-0.00670907705899149,-0.02756705918074281,-0.10368146515425579,0.019965710874111756,-0.0003040762026326313,0.07827282897741618
COL4A4,-0.018796040757725622,-0.02809068671340005,-0.03277526219939487,-0.0072752173541205415,-0.014642924944089825,-0.03399161960167343,-0.02524185138012182,0.038354668785136964,0.030873077606294444
TAC1,-0.016229752112963826,-0.005271832461263441,-0.004695847274951355,0.08596770470100422,-0.03551334920394456,,,,
RARRES2,0.05987676082676057,-0.03497331378001512,0.015625145109752762,0.022314665801974814,-0.006992315472518347,0.09214308281931077,0.021337597739566637,-0.11382913341461567,-0.037305231682090066
FGF7,0.00261225631054816,,-0.024734710793925058,-0.03919578079268423,0.009100812900700273,0.04710397749930697,0.04815701990383087,0.03545741243403401,0.011345568065922773
EFNA2,,,,,,,,,-0.024669421616486584
HBEGF,0.043269567697356855,0.03875137678868136,0.04590409293033036,-0.07011157359676555,0.03978125451178862,-0.06962915535227084,0.0606830554599926,-0.06161873448990968,0.020566256696435293
CSF3,,,,-0.004822245134961267,,,,-0.07131450913969146,-0.03895251200601574
PI3,,0.016786012981103725,,-0.012194007306315984,,,,-0.07429569955622016,-0.1056469022020188
PCSK1N,0.03867069261243013,0.055612999185182234,-0.008884811573994306,0.07144547586950381,-0.013225759460120551,0.012481966333974035,0.049470194074699485,0.05848691591620188,-0.022461259416932736
NTS,,,,,-0.01672783961764272,,,-0.03945703519441296,0.1371909836908264
SFRP1,0.03458506730070078,0.016082517100270834,-0.006419921227099503,-0.019293677673786102,-0.022143742699912837,-0.0003920600105897996,0.15890243731066053,-0.0013293496495819443,0.060097657057160914
CXCL13,,,0.06281780135794786,,,,,-0.0022745077704243058,-0.00862892692579414
MICA,-0.013247208182720766,0.012070627973611293,0.0505621230819605,0.004375012870922631,-0.02129169126635082,-0.02213581445167322,0.009949328477624293,-0.015754250909388798,-0.009127507150235145
TG,-0.01879603652196547,-0.018559777064243346,-0.020805343024337092,-0.020820934989242833,-0.014130034077830773,0.04855846835105425,0.1224593934913898,0.01703642929396289,0.031225226370047553
ADA,0.1124228145330102,-0.013690969349899553,0.004828284978397135,-0.021311287911691026,-0.04575421763405042,-0.02339363604121418,-0.008197984929478699,0.016729496773925573,0.049229410379037525
LAMC3,0.02010489790236787,-0.04125715141292321,2.130710260630627e-05,-0.02041258486307268,-0.019886374439724953,-0.02720542222055252,0.05199021849347799,0.002437733294024631,0.04242748131981461
CCL7,,0.00792941634837284,,-0.015053502731004557,,,,0.008835749302428116,
NGF,,-0.012277047929044386,,0.011188853576895254,,-0.028325429718682602,-0.005544886527947902,-0.029276274880204584,-0.02433782308648422
TNFSF15,,,,0.08623385856381706,,0.03259520489987608,-0.029963260309615627,0.04359319228809214,
HMGB1,0.055364220365029304,-0.013090257131169526,-0.029735271039497097,0.03904627612126847,0.03362998935798465,-0.09647548813884817,-0.0492786714048786,0.04295490436844196,-0.08012019345310852
ITGB3BP,-0.033263078631573795,0.0023248253399851385,-0.03683820533989361,0.03316484671402392,-0.0023367826380266566,0.13142605776326702,0.08649657919408098,0.01585114807539982,0.034947820796834096
AANAT,,-0.02158534320108418,,0.11598483309406502,-0.012707222222369398,,-0.020794263503327214,-0.02223838452398314,-0.00916190339280576
RELN,-0.015582412600092636,0.04912928745608494,0.0010119761240881217,-0.026474830104102582,0.016304497490368167,0.0725539157438205,,,
IL15,0.012251010818164473,0.019061946823887597,-0.013963365152030028,0.0008155865390064609,-0.002807465640787285,0.012197874209815399,0.04539095832946656,-0.040741631591999714,0.03710402595554537
UTS2,,,,,,,,-0.018937611995902656,
BSG,0.034500072145667214,0.004584440494637527,-0.05080318572189004,-0.016328710344584173,-0.039356837664376344,-0.04132381066465385,0.010456093783629647,-0.04561374148930346,-0.016871718211435956
ADAMTS3,0.07871137974742264,-0.022294243904528385,0.002391758579417709,0.02578896857481512,0.04910465703740359,,-0.024899013601458426,0.0356204548869737,0.003639335689106018
CD34,0.009490615968967091,0.006668349234124726,-0.025688382524865022,0.009044883531257607,-0.03760161627383275,-0.042385097849748275,-0.025522829466058453,-0.031674386808047274,0.07564676567995238
PLAT,0.022218068433064522,-0.05397241657837964,-0.03534405910705887,-0.007102556027160039,0.005294011963395091,0.00016382390343958847,0.03339133201582201,-0.02132642256389555,0.0817864669887348
NTF3,,,,,,,,-0.05537628900691535,0.02532704606679419
LTA,,,-0.015300314656327689,-0.004453540451366187,-0.012238379299807237,,,,
CKLF,-0.03730081684026728,-0.04123403251371277,-0.02943777213033236,0.033819142789529376,0.033408715645790996,-0.019700546355309937,0.026053216812992525,0.05543063248568556,0.08975646809748251
CD24,0.024757144992584645,0.03639040686730382,0.010591499480137054,-0.02626686966905011,0.03237790506606211,0.008792924742262356,-0.05546648308786634,0.06723602293897386,0.04923780693945168
HSP90AA1,-0.05725667731725807,0.04412394072682025,-0.01587885239249421,0.03287670033528483,0.06132427391213259,-0.1682234583331666,0.02172472551982839,-0.10408767194732607,-0.15993417149346975
BMP4,-0.019343850302944915,0.012025673751339918,-0.01621923044023961,0.06508945263873876,0.007642716786728308,-0.0020956537599247206,0.09224906383397975,-0.02361157171590692,-0.011553317436145561
SCGB3A1,,0.07666324423869625,,,,-0.026249019572021668,,-0.003992871937516328,0.03392751506426129
IGFBP4,0.036661564175915526,0.005117706507980959,0.005032739634996928,-0.03710767645275757,-0.026195580946669135,0.0004611334130299744,-0.02491597018654512,-0.03418209468721569,-0.0161201204437753
RSPO4,,,-0.02473470609804178,-0.029532352558248553,-0.014233980179243374,-0.042589646635867194,,,
LEFTY2,0.031109140687944067,-0.020198713797570496,-0.015488225799328414,-0.014316875817788748,-0.03505332087426355,,-0.026573306446894412,-0.021518584233670986,0.02911917900027066
PF4,,0.006467899077338623,-0.013917715710191264,-0.013133884561113782,,,,,0.10552618486402526
