,MGH258,UKF243,UKF255,UKF259,UKF260,UKF269,UKF275,UKF296,UKF304,ZH1019T1,ZH1019inf,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1
IGFL3,,,,,,-0.016803103505249682,,,,,,,-0.019505717380732875,,0.057260316283189505
BMP1,0.0025004169378682914,0.008189099410711232,-0.039051271065432935,-0.051515054701757816,0.05155778498857895,0.12436912973603373,-0.013518809763130937,0.021952532984195052,-0.061959734772590425,0.0359681968507054,0.08761253202864758,0.015665177409248745,0.08783395386619305,-0.045065769057846365,-0.005156692540981213
NDP,0.040153498110219885,0.05434766806926292,-0.0403842442774767,0.05761586714166124,-0.021614732373374256,-0.008146687917227224,-0.005929916136311413,0.02464044204940807,0.013868855354915251,0.011293684289785503,0.059989880178061256,0.10430616373915068,0.030102580386020865,-0.0016050969743494966,0.005825931152726969
TNFSF18,-0.02288515047037497,0.02650645275849825,,,,0.052415710114890574,-0.013506325325882383,,,0.0715841084562033,,,-0.020115902038619238,,0.024277908438726757
RTN4,0.02773838006688588,-0.07095863550948554,0.014027517179416728,-0.008089971349361473,-0.00749293277921421,-0.11897131525671338,0.02801339708906036,0.006400994597186226,0.03565006713748752,-0.00011493810720333231,-0.06824375253652837,-0.0653773646375339,-0.10361959012206239,0.03352658851820837,0.027596375641296012
HEBP1,-0.045373983205443044,0.014960545527911321,0.03124474743552875,0.06084870918090591,0.025008575252455773,0.02139612406474772,-0.005205983414833696,0.019981161055839698,0.01121647331630296,-0.02509542887755448,0.044172423152777744,0.013311200702653759,0.020365557250462095,0.007708171967889108,0.05177090656420404
WNT7B,-0.02016110078155537,-0.042528770067602396,-0.0334878043802624,-0.0054260808906844964,-0.014808979515195513,-0.05304046867001045,-0.008581269027113978,-0.012332312690747553,,,0.21922315731789685,0.010960486391519433,-0.029720930707726807,-0.019769039522968733,-0.035085055215790716
PTMA,0.03976056027800813,-0.09219000974597186,0.00740951404526964,-0.03764291578835397,0.0014472720936562805,-0.009580693796691832,-0.017511062764328827,-0.014962794303190214,0.00756764409789938,-0.033278085382844116,-0.14524827872706286,-0.06503880787189624,-0.0627113244559151,-0.033389625749448454,0.023085832321040754
FASLG,-0.020161106481046916,,,,,,,,,,,,,,-0.018320049325906713
CEACAM1,0.03977585974908931,,,0.006765740740345358,-0.022521714562307102,0.04005711561623554,0.043745331591795125,,,0.16022383426375097,0.02138643903732219,-0.01689306862710319,0.09628249280599216,-0.013120999046383296,0.04259649247422943
PDAP1,0.02160598234415628,0.013128015573455236,-0.01743567840905748,0.05589046063327605,0.01482909437836353,0.08857586230779592,-0.03697406544700731,-0.022359570326948682,-0.010008663062076274,0.016599273392401987,0.04956069254911464,-0.015766272421357495,-0.019222578295032086,0.03227142920121277,0.052029748184989205
QDPR,-0.005065223177721062,0.015060221327612497,0.05591155260121156,0.029118601040569313,0.047998001739522,-0.07147464546478625,0.008254296290403227,-0.004730848264600515,0.0716810389863146,0.004658813211533581,-0.10357999375812049,0.04676813729988508,-0.11428166759210422,0.02464009006096114,0.01334954889625142
POMC,0.013876164029639631,0.011912317501109661,,-0.0313879602306836,-0.01228221680922117,-0.04232684182259061,0.019296079269436283,0.03234966666405451,0.03071331852690054,-0.02489589510852551,-0.013435131499885379,0.04552856667122446,0.08878423470690673,-0.021464230791557053,0.03292586180508057
CCL18,,0.04146066037421039,,,,,,,-0.008290246244103521,,-0.019964883929448833,0.12431283967200665,,-0.045185384174250595,
CCL17,,,,-0.00045980663324309137,,,-0.0006493943693649803,-0.015263946019111355,,,,-0.02438620510050857,-0.02571716161835924,,-0.016605067012975518
VEGFD,,-0.002546315740880079,,-0.027263223585048547,-0.021547501355209754,0.0278540178117078,-0.017946941142961692,-0.011196288998412855,-0.020126941895484515,-0.05212913987312358,,0.05522032953271386,-0.027123667922953947,,
TNFSF13,,,,-0.016879441174178406,,,,,,,,0.06903728145410575,0.062592360638333,0.08724748334625708,-0.011767682573339771
WNT5A,-0.01395392367369778,0.09891939109358569,0.0018376250533771793,0.01288875283091125,0.051491811489092966,0.12128787278038386,0.011076064591214992,0.01962542498322871,0.0182791731505089,-0.05108535233647807,0.12043428008211708,0.03474200020332635,0.0649468944796384,0.001686948355403849,0.00021212503112228435
CXCL8,,0.015280664999289999,-0.04601940321340119,0.03416322340540868,-0.028849856090965832,0.06631122886087791,-0.006972385527211928,-0.010426471146152526,-0.045862570728828815,0.06620365876085031,-0.035151321493671464,-0.048407949142572924,-0.008558782382516358,-0.005522149623237968,-0.0036678345454436018
