,MGH258,UKF248,UKF251,UKF259,UKF260,UKF269,UKF275,UKF296,UKF313,ZH1007inf,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,-0.020303955004201884,,,,,,,,,-0.022612178860632503,,0.013361415666823794,
BMP1,-0.005889910745531479,0.023863725596505504,0.011122670256280673,-0.020399386984562593,0.040738596961706036,0.13342840152080723,0.04780509388699007,0.014769884927116778,0.009666778049484064,-0.00011513113691248133,0.05728960847335126,0.06412839322516681,0.05113311309440504,0.024052530378124472,0.036151618132299085,-0.016576792704395688,0.09133779462491394,0.09084961262370245
NDP,0.013608910993253452,0.03675201764189674,0.012630288057254777,-0.05275307317635802,0.027542175878915654,0.007064971725911912,-0.03820498660783038,0.013830201590522227,0.07345889422821814,-0.019481855599068967,-0.10059339153813061,-0.13297132013859048,0.02781224727240204,0.017699835233118674,-0.025232068078713053,-0.009827039783050622,0.10036525635526618,-0.03954345186293383
TNFSF18,0.043614619662432505,-0.037088176722871104,0.03152330959689803,,,0.07460771564125607,-0.006413552306380473,,,0.042065364147085386,0.028823966635749897,,,,0.01973881347070048,,0.10699967846917226,0.17960136953794872
RTN4,0.11577280928656426,0.017615494966092504,0.03922671644215762,-0.019274316816749328,-0.010736882887036102,-0.09336453844153632,-0.02157915509720036,-0.019750482467788218,-0.009461126638169903,-0.07688792894255148,0.017567279854030074,-0.061248780364142996,-0.003807452514825567,-0.08946379130580602,0.003009807302246935,0.09468165470001469,-0.037412693810135726,-0.18714617142065573
HEBP1,-0.00655606689065618,-0.03291910573355203,0.003085550159212699,-0.012869487594592319,-0.052147828818574646,0.03814285586054961,-0.00998921034127498,0.004699105948240555,0.0034842321689561723,0.01380390495767615,0.08744467222017488,0.07116762879351742,0.008491492989918149,0.026108957404476395,0.04300571959160237,0.0341823176073455,0.08351177088431934,0.00952671089858249
WNT7B,0.03778843329350281,-0.013265167654058227,0.03791747089871467,-0.015655114909415502,0.07722190171234278,-0.032722596938268095,-0.015339190021891977,0.009736081589791688,-0.022723948940641284,-0.025697307980637834,,0.024580858243023918,-0.04628543547003693,0.008152678556706346,-0.00735053866190058,0.06520662131331308,-0.03568568444740892,0.04402381387011735
PTMA,0.045397362475505895,0.10361899917999384,-0.03258245514792354,0.009769513499039293,0.0284352333855347,-0.12325123379298172,-0.008610357264049701,0.08102111975567321,0.124754225521167,-0.03437701603065471,0.05327048700682627,0.011009256894834864,0.012540407405073414,-0.044443693517998706,-0.017775905367292223,-0.009784545002364616,-0.04081578353437844,0.030465784661627374
FASLG,0.08718063811138078,,,,,,,,,,,,,,,,0.004648050367802923,
CEACAM1,-0.020665693793821632,0.03682239735653347,-0.0167648470810811,0.0037137411022051107,0.0249838665373667,0.030083480622463972,0.03860896337314286,,,,0.18136068335621816,0.05453310458320316,-0.0259360123779478,0.02070791850623212,0.09321441479539483,-0.024408380196761878,0.10105962090113971,
PDAP1,-0.09943558394731002,-0.050083216282998444,0.04207768934035088,-0.011912469949462968,0.06794574053975827,0.08173637827641628,0.026136618733751428,-0.0007844558771164213,0.06327869548846907,0.03581559929465214,-0.026394332055179413,-0.08104309048551482,0.02965518495041853,0.012046479535869199,-0.016268567974752627,0.007286412757944659,-0.03818938187435848,0.013755346022582908
QDPR,0.10794541134518168,-0.021488980868454785,0.05858650569451132,0.013601544203702024,0.038722483645311535,-0.14136218052155392,-0.04614109828980756,-0.07665560555029194,0.055528220656236124,-0.04982106657391097,-0.001874792908208258,-0.048185739479467554,0.0591812512493411,0.0375846140225562,-0.020207221857101474,-0.04557557472037835,-0.03651279894876577,-0.05681082060909912
POMC,-0.05499725912192293,0.02130383095770572,0.04633379064196322,0.017774604829029414,0.08335841355599095,-0.021089082031266193,0.03634139072337473,-0.024121344525968067,0.050319445489241554,-0.06290603853835515,0.009349573505138707,0.07681516586549636,0.08350746010119744,0.08455460614752243,-0.057324763781368096,-0.0008400185522640656,0.03816924708195999,-0.0011729422693827426
CCL18,,-0.029457568501938515,,,,,,,0.14532137784788116,,,0.44273150638420794,-0.018832561500608937,0.163625113520001,,-0.033687366057859054,,
CCL17,,,,0.05435777695058385,,,-0.025192250278894365,0.17273612522249795,,,,,-0.018400345443868205,-0.01686250055399994,-0.02981285163480018,,-0.02417041536622836,
VEGFD,,0.029031967690666228,-0.024012279923005767,0.0019377765147367441,0.07328993148679132,-0.03401457104136592,-0.006030829733381219,-0.01768332195179513,0.06531873768153285,,-0.008313389384469853,,,0.0034117151007488616,0.0021260095525602023,,,
TNFSF13,,0.03818486294644738,,0.04859211143961533,,,,,,,,,0.012461227303538226,0.03979348044583215,-0.03197042788762131,-0.027408975049441422,0.016869130933669797,-0.012331099418919775
WNT5A,0.028850731595000494,0.021905821057912528,0.029596324103559293,-0.030669390713310905,-0.009801887737811751,0.11366071748819143,0.008482171845414903,0.020576067857547117,-0.0041990307751058,0.023205158435308813,-0.10464520940602512,0.0419430205268951,0.0101021791644685,0.009122832596638032,-0.026023273908082786,-0.008668871178466797,0.07875321591127055,0.06498324689066516
CXCL8,,-0.01327546056395262,-0.022483675666681427,0.07099584717178442,-0.015712970086428964,0.040940483619011606,0.020493082849237277,-0.01646747829791226,0.06757989825886207,,-0.042356123690884484,-0.02344781454367188,-0.06927232681945099,-0.07407063454260497,-0.0015776109080277087,-0.02091155205035231,-0.027728861137821484,0.05085494361732679
GRN,0.14930326191923074,0.008502736700277817,-0.019805152270673986,0.0272095841627397,0.03709024168638688,0.11442468488799659,0.01675662756458734,0.06166883682400619,0.04592530018237814,-0.10870619815548394,0.039432526655148264,0.09280736957323689,0.062481429381349894,-0.003233959610899163,0.009713568616512763,-0.09940652992375487,0.08203626041034955,-0.01667671619061685
MIA,-0.010325257539910664,-0.052139436921679855,0.04012943199776915,0.023832809812851755,0.02113631342398149,0.09551234707284227,-0.01925095027284114,-0.02011105464723977,-0.01758136688468824,0.1345319499702004,-0.05380399706180315,-0.03507010738233916,0.026052031061721208,0.11456659807732412,0.00923559673708853,-0.044331419955470616,0.0714180251075521,0.01245209898912411
COL4A4,-0.01742565034354409,-0.03537830043497699,-0.017598904168168825,-0.014164303279809703,0.03365987096651381,-0.020008040592187346,-0.0037040168495150586,-6.736894243806378e-05,,,-0.037108564224637895,-0.029046446724720763,-0.007237635365126688,0.0067553486136981995,0.04710114970919282,-0.0263001352698437,0.08192198232972821,0.019353218635719285
TAC1,0.0034592179383852524,-0.007152845733200758,-0.023386927940051618,0.0017090472195866405,0.07770762869956312,-0.08824252562708196,-0.057444575557779806,-0.016684967728942252,,,,,,,,-0.014802149887533157,0.029764001115967862,-0.13174542772225706
RARRES2,-0.09341569485840255,0.002479545283704258,0.015926914715554887,0.05959104192407956,-0.05952888957545095,0.09005349824005521,-0.004169511066770591,-0.007213572296395817,0.044171393164047786,0.07730980069407062,0.04712221277585183,0.056339318253017204,-0.019826105266343617,0.00171576568922754,-0.06332607613245066,-0.03852317779062083,0.06481130954786124,0.061354220897874734
FGF7,-0.0350172641867228,,-0.0030376506274116706,-0.01867409640920754,-0.020623968435284464,0.06291131708168227,0.0031838095707561282,-0.015894833026129894,0.01696950987438378,-0.016039093711140668,-0.013257135860398511,0.04044787546718936,-0.021058335265299256,-0.00848321238290323,-0.01197121109878683,-0.013559233032055619,0.11062913497912269,-0.006293692379817553
EFNA2,,,,,,,,,,,,,,-0.025451528604783072,,,,
