,UKF243,UKF296,ZH1019T1,ZH1019inf,ZH8812bulk
IGFL3,,,,,-0.0166030601412264
BMP1,0.020053752294070283,-0.014539422045208526,0.036309254350244236,0.014581893987919002,-0.009997195064244518
NDP,0.0017613845025653482,-0.005535252761070954,-0.08878871015305302,-0.10459619387356853,0.03869006159981966
TNFSF18,-0.019872591406875053,,-0.04155880655725696,,-0.017122442862425265
RTN4,0.025119816822376507,0.04076782890490132,0.008852025548519831,-0.07736911406190852,-0.07843026965498545
HEBP1,0.06291090289078834,-0.006515267030226441,0.070233682689865,0.06342848355783669,0.03140915985275314
WNT7B,0.03328448717367006,-0.013333401732465127,,0.012927692841320339,-0.035804413194916215
PTMA,0.04925515225174122,0.006631467037912675,0.02967344984163202,0.09050952537898324,-0.06261315048551401
CEACAM1,,,-0.029222894136514767,-0.028971561083192668,-0.02460316278607509
PDAP1,-0.034368906320860454,-0.02059653087304041,0.03592103044419427,0.01181109123060775,0.0299941590161979
QDPR,0.005294230401047961,0.0795737742503343,0.02782285018511352,0.010512987910826216,-0.014367114064077664
POMC,0.02857963358371556,-0.03586156023400252,-0.0046391834037406935,-0.049444330047445216,-0.05321161687729709
CCL18,-0.026650779085077767,,,0.11783152904250357,
CCL17,,-0.016503013619510867,,,-0.02189017572012084
VEGFD,-0.030027638412477,0.08289291906522117,-0.039727884193121496,,-0.023087378996902986
TNFSF13,,,,,0.01951466047648627
WNT5A,-0.011043510315321517,-0.0515263468418617,0.01517468331266237,-0.037592150795348146,0.039287342988203425
CXCL8,0.054814405433803594,-0.011272851405066077,0.07627768399073741,0.12442911727003172,0.0029148805876723547
GRN,0.027783351995459556,0.008027408137961878,0.07726707076108015,-0.07401247155767517,0.05798420766691261
MIA,0.027789173491343494,-0.013767070254237986,0.06193704575744634,-0.0158163542617833,-0.01660732328178173
COL4A4,-0.030228058514553225,-0.010569113215101785,-0.031107715733359433,-0.025970638017215383,-0.03372004620392477
TAC1,0.06818190794865024,-0.0010499886201873981,,,
RARRES2,-0.06896458515857105,0.0733980864929604,-0.07830378385504763,0.005658487675280521,0.03617223375378611
FGF7,0.1313770355670577,-0.02258580212391167,-0.03893274856398355,-0.032779372807205685,0.030729603747915737
HBEGF,0.023759027572375857,-0.03108721172861851,-0.05945521838113619,0.02867694514027825,-0.004138480355224056
CSF3,0.18214533181211165,,,,
PI3,-0.03580961459769657,,,,0.09065615497118079
PCSK1N,-0.0256326407972056,0.047328118310103286,-0.06919963708415004,-0.036436306182759545,-0.00454661108651817
NTS,,0.011810752162248314,,,
SFRP1,0.04605057808638468,-0.01650301378570977,0.054071193122463064,-0.07222723933243812,-0.06525186171976659
MICA,-0.05995546795188919,0.04542910635088549,0.0060026265575163894,-0.014229587393372564,0.025735923070516215
TG,-0.024096568313039798,-0.011943159290104385,0.05537101965410095,-0.03344606031689569,
ADA,-0.03563488797250262,0.01121035179964972,0.03189383789385632,-0.021972044682935846,0.021281678303845235
LAMC3,0.008488361567373209,0.049150621803899376,-0.025901255080996978,0.017358716398377744,0.06697118179417277
NGF,-0.01741523000039274,,0.036168316745146215,0.13673979466624642,
TNFSF15,0.16545248710478866,,-0.022532604990955937,-0.030828364195561193,
HMGB1,0.05979915544481637,0.0008550268749310396,0.09432077616135773,0.0629214463344694,-0.006364752075122909
ITGB3BP,0.018213968365065582,0.014698028345714844,-0.06637376504443139,0.022922825057991116,0.04347255173802934
AANAT,0.045268997588916095,0.006441962375129308,,-0.021394638695353015,-0.027077445083463828
RELN,0.10389958758097138,-0.02414390279667171,0.047861820504012366,,0.02721180092039686
IL15,-0.030625579772068336,-0.029589947360906966,-0.045379643253838524,-0.03616631040815291,-0.033720041930705213
BSG,-0.05496550772505287,0.011385516512467537,0.014244048404497651,-0.021980252803494423,0.06470475361615699
ADAMTS3,0.0743088630235855,0.04153519570197497,,0.16419191759984034,0.010880585244328776
CD34,-0.05044440540139836,-0.025757816073629675,-0.019717886450047028,-0.054952782688677745,0.07960349060494394
PLAT,-0.04707040641300949,-0.014432204625505903,0.012480970186734214,-0.07924908862297608,0.056656442718241246
NTF3,,-0.022223336823332093,,,
CKLF,0.002433728446863098,-0.004864763001017099,0.021961024718851647,-0.0739983607710568,0.07257610188396567
CD24,-0.08344709164365711,-0.016927257220710108,-0.05247836489834697,0.06676545619408016,0.011069430342204749
HSP90AA1,0.03200698987177727,0.008895020098872834,0.04025467272671273,-0.0012007311012517548,-0.01830362605601846
BMP4,-0.03769081771073193,-0.03758071145610179,-0.0495262785558765,0.007806501406048611,0.009534993352508445
SCGB3A1,,0.08524385235735324,-0.042627123115905885,,
IGFBP4,-0.07535929468311792,-0.04469407517095637,-0.02643254438070861,0.08639175283163103,0.07015492752810289
RSPO4,-0.021274488920601707,-0.011612657358200384,-0.038976272277051506,,
LEFTY2,-0.035634906559716524,-0.012733420819186759,,0.15437470864995875,0.05723527496352299
ANGPTL2,-0.03161091404778773,-0.07189547219882496,0.05011935978942103,-0.07905047157788712,0.006226812003043593
LRIG2,-0.06094947744415872,0.038315843374234625,-0.061462184600666485,-0.004791888249360891,-0.03350344833837522
ICOSLG,-0.04825265948880448,-0.02203865509614174,-0.02906134176458872,-0.01363116859794412,0.004296946297817415
WIF1,0.03376620539957997,-0.021852616802440238,,,
NPPC,-0.02911265786875416,-0.016138751864007907,0.06502940594645404,0.16725527398008894,-0.02568859855651978
LYZ,0.03022826977029842,-0.003961289080906837,0.030663128629671292,0.11910410055401328,0.030694324476041503
SPTAN1,-0.0016584781646972425,-0.025428369914279735,0.017143277079219282,-0.11224779791225148,0.015007787696593012
LIPC,-0.030557444568200903,,-0.029320015641030497,-0.03916046130923306,-0.014324041385121274
COL8A1,0.03705532360105991,0.026688834139529376,-0.06595874547112032,0.03287332422142028,0.07559906943174513
GSTM2,0.015984855703178244,-0.0007966721893972295,0.01787314840346529,-0.0516278731271894,-0.0453892617502068
SPX,0.038980169612158916,0.001846083279802924,,0.022975061261302953,0.06315474886306525
MFGE8,-0.014453960001840885,-0.03634517867078875,0.0034434506989131503,0.04858825148085675,0.021438317936310326
TGFA,-0.00925054018978621,-0.007351947476290201,0.0524952713997724,0.022340023237723997,0.0004624624387787307
SLIT2,0.04367543174052245,0.013102845288314941,0.0870174902025587,-0.028971525685018498,-0.0381926380259264
PLTP,-0.028882480944951074,0.025627693331171913,-0.09681141833825065,0.04161749484002725,0.065380373078795
APOD,0.043187214718528745,-0.012225362686358597,0.12274188665714865,-0.06502481389114714,-0.08591774936990984
B2M,0.0117716049503114,0.0003436356328028236,-0.009213890598054197,0.030092862944191792,0.057927478872538345
OMG,-0.005270601197099125,-0.018997080490097105,0.001991872292357295,-0.11333535582907206,-0.019209050855011837
CXCL3,0.0660670145841304,0.03409023802950127,,,-0.019067949867629726
CXCL10,0.05473172131029037,-0.018871581045165554,-0.024587996446950467,0.08974230974595335,-0.025688595763307617
RSPO3,,-0.030167030956272226,,,
CORT,-0.023852450399018708,0.038029012461986075,,,
NCAN,0.008365417441783218,0.0288567862082304,0.07398033329730423,-0.10729599511845615,0.056668086307211485
PRG4,-0.03255299447258127,,,,
ZG16B,,,,0.14936675665329432,
TGM2,-0.005697840683188081,-0.029455989105726416,0.0842494354543784,0.03347595061082382,0.033382108053963425
VEGFC,-0.023357423476288105,-0.052574419928378496,0.045424758508016604,0.013376203699933068,-0.005226389001836223
WNT6,-0.029623435587397693,,,0.008116196213453565,
NRG4,-0.02207643504941167,-0.016293000292321287,-0.00018277716330219288,,-0.020195841604188688
COL9A1,-0.0006032252140040228,0.02132365516013346,-0.0783416689381866,-0.0022473087828084833,-0.02743108791582794
GDF11,-0.01480503765169357,0.04216759054974682,-0.02984251674074939,-0.05495652037893185,-0.015936622124134703
SORBS1,0.012348850075835343,-0.0049135193541528024,0.011352289870666974,-0.05423771994535347,0.03253355678658174
