,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,0.004784260104640261,,,,,,,,,,,-0.001456758949793003,,0.034755854531675213,,
BMP1,0.047365272047097215,0.023663425813372704,0.07457490470350378,0.06811483898360497,0.11246232044239453,-0.009000991233823138,-0.01689849302175866,0.050911842630257644,0.06894720705213556,-0.016117222770863512,-0.018989297264368054,0.017727982182355717,0.008666362327611728,0.016793322456024072,0.09545685811470091,0.027408367513300266,-0.024132136742392153,0.030905424786646776,-0.002722073234829737,0.09917672212212364,-0.03474292729164175,0.08884565905253382,0.029401438997058837,0.1774818365685755
NDP,-0.003961987670783684,0.06681372902310255,0.02651200213694409,0.0283047674214034,0.08806832040918261,0.017914399192103993,0.0017210402643350424,0.005758294755695236,-0.005297568649300445,0.015031997802559729,0.1126509520458229,0.004091932890427249,0.04367075516685451,0.0021757852100617904,0.04828970197292675,-0.0278569863020157,0.07763615062066546,0.05375498482285373,0.05071133201098184,0.09571331960652457,-0.022867098756253063,0.11150217715466897,0.11444045613100232,-0.03282234363631229
TNFSF18,-0.025604032123897984,-0.007805361437558816,-0.010335899156436873,-0.021175918718336788,,,,0.033317079612294846,0.02041493054966904,-0.040211914575300524,,,,,0.14083693977093895,,-0.04874954990039219,,,-0.018852401984464105,,0.03732366854908777,0.012589913554296941,
IL36G,,,,,,,,,,,,,,-0.03441445235439394,,,,,,,,,,
RTN4,-0.04810610016907872,-0.004561284782980733,0.03880554704611271,0.007521558013555554,0.09800238029351171,-0.011227540726356747,-0.009865128422172976,-0.019131652179983024,-0.03448499497703004,0.06058182575577235,0.027763094018830523,0.07180764296727024,0.05319975520027137,0.0064751500660571604,-0.07489773708680203,-0.029653012530328354,-0.003203479798348431,0.02214051028016563,-0.036648980114134734,-0.0945447380932893,0.1340476585933988,0.016850493872869098,-0.0022024908709700267,-0.05685247421445523
HEBP1,0.0035123336547283417,-0.043550468433991484,0.016183222920982572,0.05116599048484419,0.05878893301738055,0.05873901167466693,-0.024896582279981108,0.042305971887106386,0.09923584802312439,0.029629113291458432,-0.009901863437000679,0.031708753905463766,-0.042756080005644126,-0.02057557423783709,0.03347829645622433,0.06316136917013748,0.010514102955861184,0.03338285356316007,0.08676932889214062,0.09312780587456707,-0.011060462498728265,0.040542634514567216,-0.032233031159667545,-0.08734618124515003
WNT7B,-0.0225563503605677,0.05448689454156,-0.054184924253071864,0.09726597692718973,-0.02109436966975755,-0.045141589787572094,0.002939904415618068,0.07875399185983371,-0.007299778910834968,-0.03962346715907849,-0.02125450635989249,,0.012158653163256334,-0.03782544910713078,-0.037685381801309516,0.1380010613134682,,0.04538686617662208,0.005122222642592243,0.009784636178146084,0.010901524039735476,0.046841228037205446,0.041493833007368815,-0.02552780103992714
PTMA,-0.03065046254746859,-0.061229160125287195,0.027671421360617746,0.04059413430272318,0.042092076977579274,-0.04683457524512584,-0.06890889619931165,0.08500842542579977,-0.02487668217364851,0.004010117945049202,-0.0627563974507875,-0.06847854403087042,0.056897765500917574,0.02999799601211156,0.004773627348253342,-0.05116113776224671,-0.04032853656542483,-0.03819332764565244,-0.040329116283676934,-0.06331401530199622,-0.02118586251084934,-0.09248831866402933,-0.006710342139499142,-0.09280756256467451
FASLG,0.02049557418030123,,,,,,,,,,,,,,,,,,,,,-0.04652179282515876,,
CEACAM1,-0.031319698735767246,,0.059480721387924276,-0.023302518508109046,,0.03621592210215677,0.014814849120158522,,0.017874358805407022,-0.02678834016751199,,,,,,0.04212046395908189,-0.05212616504404735,-0.05537265090601854,-0.04993809843801829,0.027960180750307904,-0.03428339625946317,0.10686533748470847,,
PDAP1,0.002334908536713963,0.03771594115307264,0.011055837930770862,0.04678071792392332,-0.041528753428507946,0.04093949703796359,-0.02475345070922146,-0.014179867410506844,0.08365714911596192,0.006765088086263426,-0.038048483064617396,-0.008090877047729329,0.03537401475982366,0.020004026829090527,-0.04301990358694606,-0.030452088497268322,-0.03720004776086095,0.054655876271768766,-0.09904907787978305,0.0035607956189663767,0.05857483552729775,0.0013080946697957992,-1.0999954948904652e-05,0.1078422479885637
QDPR,-0.0443469455973406,0.06831873596830437,0.01966793191609798,-0.05465109347931287,0.005229710513407104,0.0443336407890898,0.02436728517815137,-0.054698503483776896,-0.11903062225056948,-0.02861330304181155,-0.0007088862125940124,-0.026429611777436544,0.00854146741058717,0.041028234982300904,-0.023669449137951992,0.01710078920224705,0.10173458810488842,0.056946580277050005,0.086435559562472,-0.06739143435838432,-0.056303251902822635,0.06858209852314495,-0.0243620396523623,-0.06288835739596402
POMC,-0.022879247532324974,0.027789985369902324,0.036728267857702446,0.03870525333620871,,-0.022537138197849135,0.11086187352510074,0.004452740393314265,-0.013751799739525906,0.01346259751622141,-0.05215426550318502,-0.021705540389018854,-0.022595477476933412,0.05572130832287697,-0.016131694396465942,-0.020403356719806445,0.05723668910232607,0.07763356422130584,0.02231814028881452,0.046624674314979644,-0.033541376590342,0.01841937203108348,0.024724311578929473,-0.025679434467420416
CCL18,,0.09776118118058709,-0.014174463926493798,,,,,,,,,0.014821343612879796,0.030694512953784423,,,0.020598977478497874,,0.06137641441518437,0.06301751602310858,,-0.04989441178957894,,,
CCL17,,,,,,-0.006596909236324245,,,,-0.006924631573574329,-0.015352452297359822,,,-0.02038059622880803,,,,-0.039284215706180264,-0.010935479071356936,0.045391830423253315,,-0.009051749551539963,,
VEGFD,,-0.015033515010684523,-0.0014618406133469015,0.016419064591168358,,0.10266675575752278,-0.03953847977131454,,0.02483023803519633,0.04731546345671967,-0.019296591133510673,-0.02482666057136273,0.035189256628625085,0.005699311842100499,,0.059108089289239774,-0.04100655203498406,,0.09767506048706387,0.023726579553353427,,,,
TNFSF13,,,0.015938675996027992,,,0.06782332116038624,,0.07835362325975329,,,,,,,,,,-0.028518463413717325,0.0306910996615707,0.046717329485097256,0.022503740118409367,0.037228344372491194,0.04633554078500704,
WNT5A,0.03736281261219329,0.0349559118276986,0.019681697359938615,0.046731701311287344,0.016459862350830894,0.03129123441828243,0.024559266802664497,0.028900549505473033,0.05404062074229824,-0.03344308888796497,0.030458875846374616,0.09022076279334088,0.04604436622693747,0.0257683758236907,0.042198741853948826,-0.031589749581297816,-0.09221967292317972,-0.0346981817035363,0.016678078936531383,0.017625065562471332,0.05034992816846744,0.020043650592706356,-0.009370693066333055,-0.0795593189624652
CXCL8,,-0.15436361615282626,-0.0154404143164473,0.021792944111093154,-0.10261570455057545,0.0012379588719605345,-0.0017163811984444019,0.00793825272932248,0.030115410160822143,0.0033862464838758438,-0.01796982470720186,-0.023593054999447603,0.0012831262531615133,-0.04282427776274628,,0.0771587516547379,0.028032428098263708,-0.11202521083167294,-0.1850982246640475,-0.010851547284479405,-0.08787899011393711,-0.04273606309233954,-0.03152899562716126,0.07262437462355215
GRN,-0.08800029077099653,0.048072876767994856,-0.007863854376300668,0.012449127823868332,0.028017981246890103,-0.04028015635145885,-0.040268183927151306,0.05487849533556098,0.04115921807560729,-0.016422834921475688,-0.0534341492700848,-0.03321336757383552,0.0015786382149009983,0.02607352986901574,0.0318056602271132,-0.08342732403392028,-0.03509724373431686,0.041299440736294435,0.004947335056615036,0.06304345643494054,-0.07174490874203322,0.009836073523535863,0.022881182118267132,-0.03260849701080328
MIA,0.03346728872754672,0.010435409924201895,0.025581266374387863,0.0148273905807881,-0.049195236389332576,-0.01599716009624041,0.026815863672153387,0.032099172547492276,0.08276802770578283,-0.028949525684319622,0.004379150860512746,,-0.020704005424740594,-0.014780876950873871,0.02767817191663661,0.06797102731429727,-9.27949306051804e-06,0.10717778342485709,0.2218120017735507,0.020256504338005448,-0.09323503260952393,0.08870775845787376,0.006705718711590158,
COL4A4,-0.02612300957909453,0.02969383275837901,-0.045095183038853334,-0.04991702782188874,0.02239337758358147,0.007363309643974767,0.01891321425317198,-0.023845101764186423,-0.027905870636919027,0.03694505210321884,-0.036867213139132514,,,0.02357904845725098,,,0.055343700194529874,0.04427490211719325,-0.021054695427397498,0.013713441439847795,0.04362575516175932,0.010551757759425769,-0.02433897014891701,
TAC1,0.10200892110368755,0.04921940942925183,0.048903451627162274,-0.008706375201476288,0.016428270221181835,0.07417066235683872,0.029770478898221837,-0.024594192796638124,-0.01909513234909041,0.01861223820125126,0.08641268416880013,-0.013069913721006755,,0.030089726465682348,,,,,,,0.005127863553017201,-0.032459563154647326,0.047289884181882284,0.10155542197199056
