,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH881T1,ZH881inf,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,-0.06370218355774138,,,,,,,,
BMP1,0.005667355647968424,-0.03779644791406546,-0.024439719843044695,-0.02759581537403468,-0.014995096617084803,-0.011411740544829978,-0.0713564621067223,-0.07005203204857399,-0.3950063467321359,-0.1102045874888835,-0.042762395044133164,-0.1629195307035533,-0.3203990233347095,-0.07210739159426344,-0.07477291548757291,-0.056792002573196845,0.09714997089389263
NDP,0.05459785082552144,-0.03286088664559878,0.06297547505669367,-0.04999363751504159,0.02750234581003209,0.05131772424084445,0.20671125601444068,0.05257155670358965,-0.10642857605290341,0.05190080154896066,0.005209801454947837,-0.12013732300070827,-0.03456876935491996,0.0667222239554755,0.03469283815269788,0.0743972362387264,-0.09860256253730176
TNFSF18,-0.02191121487854922,-0.021660902779543925,-0.04075449216899661,0.021761589987257447,,,,-0.05829720388653098,-0.05772544433951526,-0.04459422283702694,,,,,0.1432952716378384,-0.08584334268839469,
IL36G,,,,,,,,,,,,,-0.02854569634296387,,,,
RTN4,-0.023941956922003228,0.24943190579687088,0.04162215701164288,0.00042621980068215895,0.08704517216641544,0.05293566048109972,0.2517069723496702,0.2582770407535133,0.4870524402192166,0.1640630744803063,0.07025036181053879,0.48941096404550083,0.4492532262718186,0.013556521358289964,0.03359811640415769,0.3611301871428589,-0.04407138495615507
HEBP1,-0.0249864066874311,0.008816310501415143,0.01900222365040513,-0.0016506254771431546,0.08954171538992468,0.004373397370188902,-0.07298701558091673,-0.10215764956467019,-0.1852820511161815,0.019317145086132928,0.012783399023538634,-0.14153964901311708,-0.04238800191205101,0.03569765570874716,0.004951409026480088,-0.016303997110522165,-0.09321972405791068
WNT7B,-0.01930309402966789,0.2845587363927423,0.05892930251608162,0.009715610494225698,0.06431772618693457,-0.021770963110653897,0.11141821647767758,0.10112806344450617,0.33075416756927134,0.01653529192073657,0.052922755718869674,,0.12939359612986182,-0.03355129010769038,-0.03161386064074024,0.019559784534448656,0.14060654741905454
PTMA,-0.03735704695867934,-0.007412007907039106,0.060405398032293466,-0.09525950217331505,0.07743769264103778,-0.05864352695083038,-0.18105290224751092,-0.29954621560889816,0.0739779672586835,0.11594701293660013,-0.1465005625997609,-0.5553107345226197,-0.44730348041819334,-0.12589672779610117,0.052428622989592916,-0.17472235631716776,-0.28929184807767144
FASLG,-0.01930309948660312,,,,,,,,,,,,,,,,
CEACAM1,-0.02680252257183728,,0.028223424715862803,-0.024241167269902268,,-0.02542097141135381,-0.014922732361518563,,-0.09874831438232354,-0.014561691663598393,,,,0.011401739564842275,,,
PDAP1,0.07255947160346489,-0.07401689067381005,0.05267964555491607,-0.073801671696533,0.004610225736868449,0.005552159199052478,-0.09245853531432092,-0.08293655681104024,-0.2897550080914192,0.015240417106077937,-0.01558650386738365,-0.0171410539794343,-0.21205036993089435,-0.006422491169979361,0.07101707718801359,-0.05989729564602981,-0.05812034150424642
QDPR,-0.03212832804750924,0.11293941224623427,-0.014212846049809562,0.028236008640175597,0.06102760327106014,0.01048413441821231,0.24935789716940604,0.07243763226277966,0.09017393300328304,0.08753234382489841,0.021218883993196037,-0.3481131706891987,0.08134317963586848,0.04991313801006549,-0.014264271424894635,0.31606634750634244,-0.06197901128660736
POMC,0.01758869305506497,0.09187555022627215,0.01972949898916731,-0.04307268673982184,,-0.00953595977738748,0.19660015909198778,-0.0016536918384536712,0.005178936281900245,0.015386514433998253,0.019758838962026924,-0.0708934360604396,0.1310088475373739,-0.02542779741049295,,0.11896279418545604,-0.050272615752381886
CCL18,,-0.030130071665131448,-0.05927744860634037,,,,,,,,,-0.18056471851863343,,-0.07668697972384145,,,
CCL17,,,,,,-0.013786875240200565,,,,0.02151039982750536,-0.014409638736370942,,0.013210261021762103,,,,
VEGFD,,0.016469824548393793,0.032258826479574024,-0.03472060862411173,,0.04505334665873734,0.020429427663532257,,-0.062404062229850836,-0.0038721039260708,-0.028380578870981773,0.09557534584908939,-0.01256988620878218,,,,
TNFSF13,,,0.0278855691718079,,,-0.002960643586752594,,0.0350403956701544,,,,,,-0.02500600965659418,,0.03353783731158763,
WNT5A,0.005578967341005584,-0.038248160373856005,0.03429100219568778,-0.04580027232179159,0.057154566819347996,0.034422603542271966,-0.1086100386865146,-0.1651554112141616,-0.3317633246686488,0.059919289508970214,-0.0640717348617195,0.07303199895537159,-0.11742037613849093,-0.021805282418399647,0.009967988215699415,-0.17999022911037058,-0.0017834174667487699
