,ZH916T1,ZH916bulk,ZH916inf
IGFL3,-0.023059392324105397,,
BMP1,0.04097822300804371,0.06641796891939525,0.08416415895352215
NDP,0.0668533920394475,-0.01208550941073345,0.04598553143553388
TNFSF18,-0.03889707225459323,0.013007768507829828,
RTN4,-0.004003917066198609,-0.09058925713414118,0.002427030154516499
HEBP1,0.029654406662743535,0.0951925536766179,-0.07066356402986236
WNT7B,0.062123951123075304,-0.03990378759550112,0.030204445698224294
PTMA,-0.07608511632205704,0.022537028952789133,0.02785236112819829
FASLG,0.06072702310813345,,
CEACAM1,-0.027826232030257674,,
PDAP1,0.05342005414340823,0.014025215537447046,-0.07599904284296996
QDPR,0.00725331876348061,-0.08688793818508184,0.03644474712255197
POMC,-0.035697657372500295,0.03544177804071558,-0.03535773321536735
CCL17,0.16226744558848236,,
TNFSF13,-0.015795539995215345,-0.02866348701937654,
WNT5A,0.01625288643535819,0.08875394515394777,-0.07052237531655094
CXCL8,0.002778216438350747,0.012780825288373567,0.061938375180937325
GRN,-0.01460096567361293,0.0011391118610066754,0.07996627778454238
MIA,0.008926484779556626,0.044692951551287614,
COL4A4,-0.03498222774056412,-0.032035786907653595,
TAC1,0.11954713564028611,-0.08185028740443911,-0.018954754350548754
RARRES2,0.09799581216400084,0.013398153170426436,-0.0912595562180349
FGF7,0.012323028469490745,0.05253435267351202,-0.007560515562951085
HBEGF,0.02443293041147141,0.029838089614246246,0.030874427048775573
CSF3,0.024678286556119998,-0.003801534037837873,
PI3,-0.04146570877061677,0.013926948797957623,
PCSK1N,0.030131787305199432,-0.055089288806704904,0.006293638854457431
NTS,0.1063207106102679,,
SFRP1,0.003907644166393657,-0.04204094629030253,0.0784096121016084
CXCL13,,-0.00871491195180107,
MICA,0.07071323701598181,0.05578398173356079,0.03662691147157765
TG,-0.037219699219296416,-0.030121814100186724,
ADA,0.0138464694192697,-0.00944477928796528,-0.005050261619790016
LAMC3,-0.009655643898409333,0.08566271205122009,-0.0009663301511880416
CCL7,0.06119247497601797,0.1282104914767177,
NGF,-0.0036782559545578517,0.018247474833832704,
TNFSF15,0.03556196169282648,-0.037295103215761606,
HMGB1,-0.041505998786829694,0.022178642136369338,-0.028561939212769817
ITGB3BP,9.135992170884449e-05,-0.004126893855898965,-0.01837512451826148
AANAT,0.11389951425781734,-0.02057594656397223,
RELN,,0.011762673385433436,-0.06505251682671574
IL15,-0.015371165314713865,0.03509972931153957,
BSG,0.040250915344247885,0.012191715720676356,0.03892672310292019
ADAMTS3,0.04333867775010088,0.04416922323742793,
CD34,0.010168196541568891,0.003862314908895049,0.0492863459581844
PLAT,0.0011158031499074877,0.02812384797921959,-0.02911156330835198
LTA,-0.013981197031317854,,
CKLF,0.024101718387305543,0.05836587278977927,-0.008134089370932287
CD24,0.040479829480503424,-0.029095558903994335,0.15321671800603828
