,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF269,UKF275,UKF296,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,0.09088669657472184,,,,,,,,,,,,0.039261083254559216,,
BMP1,0.001450375353414457,-0.030010439215239704,0.03665373370047887,0.010247769749302502,0.07078932968902403,-0.05132241601101156,0.055753806550945244,0.1445647675705564,-0.0010991228225149597,0.04011689842990788,-0.00029526991242180523,0.025953180414986707,0.043707843096849545,-0.0383605698000302,0.0618416379229958,0.060866876070846024,0.051862762687556775,0.03460361394977247,-0.0012980876605905272,0.11493051169278136,0.10498907865838338,-0.022883155832623424
NDP,0.008082911141820774,-0.020664366490883476,-0.031039775724198956,7.737061683465707e-05,0.03545513354750231,0.037794159158435564,0.05143217205322467,-0.0018781586955951678,-0.04080186280454264,-0.02352477649149098,-0.03652152609544738,0.009357258278078186,0.08234167055556199,-0.003494264676963023,0.018429541788876538,-0.003928656851462009,0.0007077578441290053,0.005939274913445108,0.0186387348436534,0.06086606290436845,0.0057044809520101864,0.15621506149990205
TNFSF18,0.15250670592652302,-0.0195811466710045,0.014959859800441528,-0.0038362815296497177,,,,0.08370160055111628,-0.02657297788269052,,,,-0.028076726449512167,,0.102287805950126,,,,,-0.01658937040210077,0.02258151407261531,
IL36G,,,,,,,,,,,,-0.005509301957691285,,,,,,,,,,
RTN4,0.036566666436142946,0.08911059571524171,-0.01062343223831931,-0.032038575036293926,0.016916734776762737,0.05506835036317547,-0.001521877710224354,-0.16602303932058032,-0.043305277914998316,-0.003607422726408444,0.021315202044317236,-0.039518104940455406,-0.007776589564748184,0.05896344501788514,0.05023454641226539,-0.0862615942242353,-0.01610282335466997,-0.046740948239882965,0.08311285686683713,0.04076146180066098,-0.02397698663962454,-0.04786607521091367
HEBP1,-0.04568651135071126,-0.026878571923533164,-0.025414940299284577,-0.04714106529912518,0.03769102531586637,0.01909978598202564,-0.048251774323683716,0.03957459506043369,-0.042374308545482874,-0.030400863346393296,0.03132354173424482,-0.0025395441935048375,0.008747828687940091,0.0036517720317271233,0.014660423428840537,0.06224734594648009,0.02603778792901702,0.022065185250716105,-0.03384161052381425,0.02603737673526413,-0.022332521014347143,0.07900505269626452
WNT7B,0.12144142932847213,0.01654732909841831,-0.06213799437038972,0.025450448724046792,0.0927358876603623,0.03252477372079999,-0.010810581684110249,-0.012469346021189103,-0.023946325998511757,-0.011246855396774986,-0.0001507296738890888,-0.032448396607457665,-0.03090973538052016,-0.003381175542518164,,-0.049464433837650035,0.023543916236137545,0.08925429967485277,0.026418709811875198,-0.014827650287342104,-0.0685782336667223,-0.04128142003929113
PTMA,0.09549476049459449,0.07183943945656898,0.012609661520428887,0.03733055172956797,0.02752983500981116,0.0032294113302938437,0.03390150027569819,0.0032017405950223693,-0.05721878609674413,-0.011274706813740987,0.06194536344660277,0.039305396673256845,0.022934382609996664,-0.08034830263763339,0.020494471546979375,-0.014202758252803774,-0.036644597746619274,-0.031593588108975106,-0.05853914304268784,-0.033939091257125534,0.11227201322262408,0.031826062701104
FASLG,-0.016485147707189434,,,,,,,,,,,,,,,,,,,-0.020321796667283655,,
CEACAM1,0.13770523508018317,,0.14435138524381663,-0.020160208837473534,,-0.00015717320113391696,-0.0316668041995361,0.03681202687307446,-0.013879589633969154,,,,,-0.04772870255041082,0.03305183950520145,-0.01174545755322164,-0.02919008128364559,-0.025816661946262944,0.03738399827516998,0.003703008925882862,,
