,UKF243,UKF251,UKF259,UKF275,UKF296,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH8811Abulk,ZH8812bulk,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,,,-0.004587884629524292,0.053579032526076716,
BMP1,0.02848192377548879,-0.011347984312309562,0.027595029904351486,0.006916613933038555,0.027401043822419733,0.07095076910824341,0.05713007297570956,0.07508298672655875,0.04216599197236113,0.023641218068740102,-0.005116684655649443,0.03195465133073198,0.0614787640364078
NDP,0.09124259654276945,0.04294094162869756,0.015941663364949562,-0.0017524812479898524,-0.01862512942433489,0.007685372845857625,0.04180862451319912,-0.04534675451825035,0.15796979740857617,0.014437911139964506,0.019664164646836416,0.08175121015021332,0.08279984815145101
TNFSF18,-0.038191672763008784,0.0015411950507348098,,-0.01313425182360137,,,,0.020547027689837793,,,0.1278234216468734,-0.0027043866689834095,0.0018670447977350787
IL36G,,,,,,,0.03366755656647062,,,,,,
RTN4,-0.17448258496510252,0.025858990019589006,-0.022774688861940028,-0.03261317927253065,0.021822815961613222,-0.04491546433341014,-0.12685680214965353,0.006442493570784864,-0.1084971568471511,-0.05724808123414756,-0.038459485988645084,0.006756814523190737,-0.055436388638314564
HEBP1,0.01886598447472893,-0.002171027686353814,0.04574033432289667,-0.015389643566709228,-0.011491498876864254,0.036374913610456215,-0.0007205759361377632,0.04825212387859106,-0.03139584699408502,0.005725928911208919,-0.009542295730377171,0.0801562405823438,0.02068837566152911
WNT7B,-0.03209132843692768,0.06506221789417302,0.013928462814357308,-0.0008547748984053063,-0.01347064249292936,-0.010781232408513334,0.014596784970950622,-0.032004427265925395,-0.050795934918077844,0.04298850687058507,-0.0027101143332313605,0.0215533449900614,0.0045414278769648755
PTMA,-0.10708120274956867,0.0022804402858855517,-0.013510765231691691,-0.0317921441059812,-0.0574998085683943,0.09446079195896091,0.06786380438505102,0.05288863733312971,-0.038442053907021705,-0.05943332735110275,-0.048393653649023406,0.005098882330136329,-0.007088159544368043
FASLG,,,,,,,,,,,,-0.004098273008732067,
CEACAM1,,-0.012055896488437145,-0.013114389568074356,0.06117774041933449,,,,,-0.05189000434768006,-0.01675809190811207,-0.011511648555013632,0.024443191457383193,
PDAP1,0.08103918851371658,0.023204974157780896,-0.04395371323499128,-0.028143096623831177,-0.012480293826370354,0.08449495853417284,-0.0015931240247274313,0.10716942895832766,0.06252362579738897,-0.062144836480732046,-0.014891722254918211,-0.02800101578848358,-0.054657611046957474
QDPR,-0.0020226784752736746,0.024860105098447046,-0.03402668125058925,-0.024758001503880463,0.019230691904140833,0.016078154838225455,-0.04713197428905836,0.013220051446860464,0.03047469960243912,0.04854703646458908,0.01835722310389918,0.024071363379795242,0.0004785698560486625
