,MGH258,UKF248,UKF251,UKF255,UKF259,UKF260,UKF269,UKF275,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Bbulk,ZH8812bulk,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,0.064598051494275,,,,,,,,,,0.0065903749420724266,0.031060374871547336,,
BMP1,-0.03943444812569053,0.017069674833067556,-0.001134721163293095,-0.012566782953670936,0.008165740179034507,0.07653818696204308,0.09302140828433561,-0.006148168424542738,0.010510644334132574,0.033296722100727365,0.08925670494913589,0.042349244258504386,-0.03673036660978796,0.009689167648908597,0.08210934531692478,0.03917590060436498,0.04763377186311626,0.11268673138703464,0.025955473701498755,0.10400651639853042
NDP,-0.0028089335774896147,0.0020627670753249183,0.01493744722939608,-0.030871129475237603,0.006887514210360605,-0.03575141297462044,0.046141955953216726,-0.035757707210890784,0.07007096203560463,0.02621282632721419,0.06380314015235371,-0.0042087786064936355,0.0015209197327544159,-0.0021611472685436023,0.005620048070916544,0.0276031358528787,-0.04505569714399218,-0.00952046779554922,0.02117408169184508,0.004527357299810805
TNFSF18,0.05692874804524507,0.060349457500490304,-0.03478197891239418,,,,-0.013756779518824203,-0.02231040158964125,,,,-0.02907105849828604,,-0.03135330561308961,,,-0.020329361103601687,0.015772660556965724,-0.003921640487250311,
IL36G,,,,,,,,,,,0.08435722469138764,,,,,,,,,
RTN4,-0.07919362135010015,-0.01291591414947004,-0.049167737718713106,0.03262414028084283,0.022438016502912286,-0.03041339487672059,-0.09924451852801189,-0.015057870612559183,-0.04943420284775563,-0.0005169649425536769,-0.08960136003373839,-0.022008121460975888,0.10297549077328931,-0.08708310234384804,-0.0653050443131379,-0.04462610308187886,-0.012146119129318261,-0.04405468800072551,0.04855242849188938,-0.006124189997274065
HEBP1,0.03437341843333135,0.002183109704906938,-0.007020274913377909,-0.07438874817226682,0.002655126887126205,0.004467993571008293,0.03357427943498778,-0.0055280278994424056,-0.0015014713311128235,0.010971202883508212,0.026125596871173384,0.09036581521564871,-0.0028833372273844807,0.003917984759670742,0.0062370745928246605,0.02844320463194898,-0.024717643161419355,0.05697244764070421,0.04624580792820792,0.03833507516511451
WNT7B,-0.020161091839479856,-0.01600616442751809,0.02557872684550964,-0.013369566448935662,-0.026941392132044793,0.014231842504656658,-0.07297955083967869,-0.06395068933354232,,0.009468829143031243,0.009529880898188625,-0.03200439791403304,0.09689913366461403,,-0.009658338838451328,0.051443913109150544,-0.018926932890311977,0.03318350154953957,0.05776277485180072,-0.022152048416085205
PTMA,0.009918821809347758,0.028883501205778563,0.01896800944138438,-0.02505127318179962,-0.02314838359615128,-0.04146951079773867,-0.06571421155883408,-0.005591890299963841,0.017907515655832016,0.06284044352534135,0.0461737676348938,0.0495970635371768,-0.12290554697117974,0.07417512765533708,-0.06070676768246548,-0.03361237655740923,-0.029856744836640043,0.06356326923265637,-0.014418165163368793,0.015573518163516147
FASLG,0.002536098159029865,,,,,,,,,,,,,,,,,-0.008014237289500653,,
