,UKF259,UKF275,UKF296,UKF334,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH916T1
IGFL3,,,,,,,-0.020915617667524505,-0.014460791563522831
BMP1,0.01269365100682168,-0.03925296059366037,0.07083894299458267,0.07860905800035747,0.15928350621631782,0.16046737583359108,0.06691118841243895,0.010891022650815348
NDP,0.025881001652716135,0.03745101096516999,0.010069844861106477,-0.0006221204697747977,0.036877162195650466,0.016835174607262277,0.0381782814214057,0.03673812556047286
TNFSF18,,0.021859460345966232,,,,,-0.021569907318185942,-0.024392770043509013
IL36G,,,,-0.014899819545487539,,,,
RTN4,-0.002140684660096945,-0.025772439205424234,-0.008231301435889935,0.01657641371325013,-0.06528682903127977,-0.0047900912535392415,-0.047339628691549236,-0.0520640290627469
HEBP1,-0.03478815228770205,0.033749077507272005,-0.012288579982151554,-0.037880476910638484,0.06814380702320127,0.01175125577074942,0.04981298017226389,0.02021023510570575
WNT7B,0.00859809721418356,-0.0427305902141797,-0.015983161727350478,-0.0163766187565473,-0.029906493353486784,0.03763087913694884,0.09202871971589179,0.025931263795805983
PTMA,-0.04931354023308738,-0.02454355391456026,0.021685111976849546,-0.02170303750351698,-0.07844611349978667,-0.03280442403889024,0.005074622840126073,-0.08237277634517128
FASLG,,,,,,,,0.1492821577910298
CEACAM1,0.018898275731349695,0.06293196785225415,,,-0.016758083270042266,0.04120152406655992,0.11420986469489,-0.01745012772809007
PDAP1,-0.07044986693763777,-0.012206225323630816,-0.054456072139271346,0.06899903412461465,0.033262073537237855,-0.036302477677433734,-0.008124170906935386,0.009891399773955298
QDPR,-0.04586291903070193,0.01068230995589455,-0.03333772184281569,0.036557980549116346,-0.033138539020118776,-0.03208023357359291,-0.024798734209741775,0.04112698926919833
POMC,0.043313780826837324,-0.017297334030166495,0.06577793324128407,-0.020398444749863607,-0.04023730513744552,0.023420255148397354,0.09737414797076428,-0.04537363980328145
CCL18,,,,,0.0004617541374078048,0.04345096128871854,,
CCL17,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
VEGFD,0.019500782456736414,0.035281515289470995,-0.014510830392911482,0.008584632033454935,,0.028258038626204098,-0.029084204233255844,
TNFSF13,-0.01608469718600515,,,,-0.02281329920332679,-0.027834636255584116,-0.02957172992863662,0.18838995000124062
WNT5A,-0.0018227236779592001,0.05623167844388621,0.002546882632151425,-0.05122075085585776,0.09062460393325487,0.12461825532205714,0.0010476289775111067,-0.04120963280188985
CXCL8,-0.01850936281209191,-0.06812545856901053,0.13282531263162178,-0.04385983571752957,0.17479400498117545,0.1783332074338998,-0.02528364991598219,-0.028190372862155377
GRN,0.013774596506878355,0.055898554664058527,-0.007331086289476988,-0.006997398490322878,0.0966050635081445,0.0016206204288996603,0.007686229821500629,0.03548692051067438
MIA,0.010954792976298491,-0.028737096332710325,-0.016503013619510867,0.09933055545666528,-0.051058949467803684,-0.049010192469163126,0.015845439646059157,-0.05269198962820493
