,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF304,UKF313,ZH1007inf,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,,,,,0.12346165324651599,,-0.03871161450376486,,
BMP1,-0.025465081720934313,0.0015760764453052196,0.02916281410398263,0.08270517520688458,-0.049603223255929564,0.18397508657823472,0.14295614501497514,0.107388112820142,-0.09210809619899658,-0.01816589663563054,0.06193142270524739,0.09116792729420017,-0.01396817998896953,0.10572918641826734,0.04931584605624393,0.05184663658993419,0.03483771138950795
NDP,-0.09778629435011053,-0.04172947875530211,0.014673410435520607,0.12109462143549624,-0.01762874709034991,-0.038926896665440275,0.07393410972103572,0.03492812246850174,-0.0287899047498766,0.010924292250047702,0.03738748727224218,0.10861309632243288,-0.06874968478383833,-0.08997143614142442,-0.08210568971102254,0.018080675734143865,0.030303197986129064
TNFSF18,-0.028592021042728594,0.07718119657513119,0.013108461821747755,,,,,,-0.023736421830835547,,,,-0.02460418321930663,,0.05241810906728879,0.05306983029722141,
RTN4,-0.016959711951796127,0.016332121336013247,-0.004156771880220849,-0.035117411652052066,-0.05519642757050911,-0.018332791531309973,-0.18346410252912074,-0.07323246448455217,0.0974360675474135,-0.08737798683274342,-0.018481767453321366,-0.09823763757398399,0.0018512421638618767,-0.11979471774836616,-0.05616471307701485,-0.009001303833650304,0.03568442240202157
HEBP1,-0.022031979434085518,0.011692535283296869,-0.05154288042076486,0.05569734929015631,0.01987916898436466,-0.05775594598917202,0.11969502049548417,0.004110896360628079,-0.017200945648441993,-0.026093945753339124,-0.02199447503676331,0.07940794422861627,-0.03413132687877972,0.0023364941398735474,0.005141488142990443,0.038720523594657656,-0.014050865146526629
WNT7B,0.0624927773424772,-0.036211646256648626,0.11186994323787312,0.034205363227539066,0.04794744130950517,-0.04657468991650965,,0.05487776975033389,0.0014717279778135772,0.008068583889176492,0.033879285174723724,-0.06320329155560794,-0.008218978735758494,-0.01707833223816113,-0.015448714075903355,0.06338108791041631,-0.10229162053257071
PTMA,0.1282519392926787,-0.013079821787699362,0.050660615012792856,-0.05058203216091988,-0.00362246802011195,0.12340600553156489,0.2718028563204835,0.24519918880164354,-0.03663738401225216,0.02490992171877807,-0.04141230905598436,-0.10930961575000564,0.08049320719238036,-0.012295910283043875,0.10192236772675212,0.01087180891724631,0.007328347027898336
FASLG,,,,,,,,,,,,,,,0.11919111622414426,,
CEACAM1,,0.006288285405184561,-0.024790028681118764,,-0.023896204717786564,0.06332939831447669,,,,-0.00879881079107323,-0.041591697052985994,0.008666069530164057,0.023456797264718048,0.0022622068399170622,-0.0168596048431525,,
PDAP1,0.017949592119717007,-0.07191198454158679,0.03505470331728745,0.060251023431945556,-0.057913813186816585,-0.020774040080557412,0.040708328360252115,0.14963836000483846,0.0181124797152436,0.03952190348686481,0.01224322676550401,-0.026629695976761757,-0.023996458995198682,-0.0190049221128426,-0.04932572201574384,-0.08891797973310119,-0.0009670655791748156
QDPR,-0.06633629282884419,-0.017413899548399087,0.003386881516749718,-0.037981456321396094,0.032194250122340125,-0.05669862610608376,0.14760760700469178,0.1610525839923634,-0.043596077862288994,-0.07605792833135727,-0.020107567278091442,0.01964488916743482,0.08089890402514563,-0.060092423692923884,-0.0033709520643906868,-0.09617506050283062,-0.0338515098811565
POMC,-0.011356702636639562,0.026979115547976096,-0.0063523028552816855,,0.046056546683265934,-0.006304086921898447,0.08697263001988213,0.044835704877266826,0.005310787598006415,-0.008410465952917542,0.03472091183950105,0.07708156350136808,-0.023968666701780342,-0.056425163818145906,0.057722898292670424,0.050369243430546655,0.01160083454274818
CCL18,-0.005092040228317147,-0.01943480355206394,,,,,0.18171353202766885,0.20363531321754297,,0.20705308039343018,0.0027780256780762153,0.11519607284035403,,0.13924139142410089,,,
CCL17,,,,,-0.013850535812759766,,,,,,-0.036000733544261115,-0.040287157957951236,-0.03145520171672416,,0.07938286641903991,,
VEGFD,0.12443292346479613,-0.01943480972352434,-0.017740891383003294,,-0.015431026406212562,0.02981160264647609,-0.06341065882397366,0.08893300559046713,,,,0.017422142128714204,0.027508530485143234,,,,
TNFSF13,,-0.014666131076757218,,,0.04981432700386004,,,,,,-0.02518359485078843,0.0988291040789637,0.09015334519706616,0.04197779776127031,0.012175190270979361,0.04558282390794684,
WNT5A,0.12099608147558909,0.015342788289498553,-0.044856241059356275,-0.012744110410688814,-0.049355973521115995,-0.10060104163024802,0.003452766230874301,0.07222294164566637,-0.0055076773201536535,-0.023431297393690764,-0.03926079774051888,0.046384962855609634,0.056610864756151326,0.10142961349459881,0.05458271114768729,0.07954082555393116,0.09338762573893429
