,MGH258,UKF243,UKF248,UKF251,UKF259,UKF269,UKF275,UKF304,UKF334,ZH1007inf,ZH1019T1,ZH8811Abulk,ZH8812bulk,ZH916T1,ZH916bulk
IGFL3,,,,,,-0.012030816748186757,,,,,,,-0.024374731783991112,0.0770256405789318,
BMP1,-0.02687085852548955,0.01317315385928008,-0.01812755194045182,-0.03838439377993378,-0.04567237934531571,0.01014006141420917,-0.013206912356082675,0.020315846596481796,0.03811097043364298,0.0009646455423517299,0.0627347892099939,0.003975415229985379,0.048987834054123505,0.016803684342296368,0.06961254001995892
NDP,-0.010583959031476383,-0.032230351679445095,-0.007975649888441464,0.011996510721750817,-0.05853862491876831,-0.020806925144341914,-0.013833129089594364,-0.057614373397560745,-0.05173113595058794,0.17514071349265564,-0.001431773131827074,0.0360795908605311,0.02881866173692365,0.05645832008689106,-0.039180595089055234
TNFSF18,-0.02089569857425004,-0.02127448774029577,-0.024151018373674196,0.02113677551034778,,0.1295201516909803,-0.010647509681371023,,,0.07280715715972172,0.02418753701325263,,-0.025137230649548228,0.0860787434018408,-0.027315565949842448
IL36G,,,,,,,,,-0.017456437850336015,,,,,,
RTN4,-0.01722241286245963,-0.07621927557725723,-0.058146039614368816,0.008548936471092347,-0.07995899434798595,-0.02137174486336032,-0.017805219817415202,-0.021180350861914662,-0.04522330567966765,-0.002300990340358663,-0.02718139966382115,0.008289435238606778,-0.04420570750605809,0.01960225061473173,-0.05230601121233278
HEBP1,-0.0002225534296585875,0.025529265822412845,0.01414525938377314,-0.030938800555125635,0.06061520892214055,0.040893013744816395,0.04117218560646496,-0.0664855201173855,0.0030160645364470115,-0.042387211279928824,-0.05848617053440559,-0.024504845093906772,1.0067748549636442e-05,0.025207988486980117,0.054385289415211105
WNT7B,-0.018408455972435442,-0.04965489087662709,0.012356499492864952,-0.017227635528266325,-0.006532599753652786,-0.04979517895184685,-0.01150748244246539,,-0.01918663690184718,0.014459673257792748,,-0.033606443475513274,0.044385611747512044,-0.037447498810546785,-0.015597587151944271
PTMA,0.04701798401346798,-0.006939746693011884,0.0009046392099464793,-0.008483232956660178,0.03681608174538604,-0.012079838198080024,-0.011791811437539632,0.010131731433792673,0.060329057881490414,-0.015327027975219154,-0.003502876714004744,0.011646344859890896,-0.005959450907815952,-0.04524027992578057,0.04270826207411378
FASLG,-0.01840846117645879,,,,,,,,,,,,,-0.015216437385822734,
CEACAM1,-0.025560309448607217,,0.0008542122961966397,-0.013221174095439842,0.004129388287371723,0.04146073066008869,-0.016745996129576765,,,,0.014304040522311585,-0.02469763331429004,0.01936827154704841,0.05786778535886531,
