,UKF248,UKF275,UKF334,ZH1019inf,ZH8811Bbulk,ZH881T1,ZH916T1
IGFL3,,,,,,,-0.011167608796367091
BMP1,0.0833788771546002,-0.03086663099291793,0.032415552721373406,0.020938004173925603,0.07905094537918025,0.06026394425441965,0.06280591965059738
NDP,-0.03316172749778864,0.0402552430710121,0.028800538962027045,-0.0017086547570949954,0.020082365741753972,0.005596084930007192,0.07024204865055735
TNFSF18,0.06852908336095981,-0.010647509681371023,,,,,-0.017659183362008047
IL36G,,,-0.01375291054121208,,,,
RTN4,-0.0013841839339540274,0.03185322836988455,-0.024070001154592777,-0.03732966631402689,0.007075945992198747,0.058978470125176236,-0.017263080919104345
HEBP1,0.04518305416453812,0.01894611467420359,0.010163373565664468,0.06441210389552762,0.011174834010444942,-0.06160825625734997,0.08749585159478483
WNT7B,-0.016835629068894364,-0.021377120677891548,0.006910289883933264,0.04302068108346718,0.04011241086301529,0.015374811878394321,0.0520058476971678
PTMA,0.06849819207735673,0.005359729947026137,0.04514262513950662,0.0038131098159569334,-0.037594210237637406,-0.06122024957864695,0.022320178460389997
FASLG,,,,,,,-0.02328878375975913
CEACAM1,-0.028370262729099927,0.016153733367027284,,0.11602827448307586,-0.01956087866646515,0.09347837671614269,-0.01937296415946835
PDAP1,0.035103033180554584,0.011671798927481354,0.01823272152080802,0.023977421312445332,-0.0002197357527162706,-0.04131088411918317,-0.014346578088608517
QDPR,-0.08411020110948082,0.03587683299000455,-0.05078327916852313,-0.09895976641383082,-0.026869246991952537,-0.0071624644885507315,-0.01569450855308745
POMC,0.014182683330754054,0.03301064900004925,-0.02946575824007698,0.11598100965199452,-0.026382065001695126,-0.023053858284182438,0.02604411452261795
CCL18,-0.024879173911962493,,,0.1331592089601275,-0.047766370389412796,-0.040148238662331026,
CCL17,,-0.013279517579130084,0.04173912476667688,,0.09156257905769008,,-0.021108666690904606
VEGFD,-0.025346981702137433,0.08239141545732576,-0.013464878805196949,,0.06688238909701309,,
TNFSF13,-0.001824435495151364,,,,0.008610256157559913,0.07885399868522204,-0.009212499341612791
WNT5A,0.043339735993276694,-0.03423789812306888,0.04648242169771824,0.008320011418057344,0.04025380644482756,-0.05775631948681686,0.03174778297230112
CXCL8,0.02995487704916777,0.01843388404257617,-0.011888792678490126,-0.040900809118566056,-0.042689628185540875,0.019759182313359172,-0.03298809171415982
GRN,-0.020199129274071408,0.01362162718635269,0.025858529411003767,0.1020705792255776,-0.005681667253069652,-0.039015445474316096,0.03721208707863913
MIA,-0.01079549042262675,-0.026101067462027047,-0.018440768586261945,-0.022102945933819923,0.08746215756463184,-0.0343638152111376,0.07427392049003236
COL4A4,0.023340957960559187,0.06664464427814121,-0.01788822966456258,-0.029370507316017917,-0.005579646453526121,0.06860309339863532,0.009010189173461821
TAC1,0.06654975693603014,0.014986321954128717,-0.03170168665463845,,,0.007623993418555932,0.07598620018446821
RARRES2,-0.024467871385599676,0.05167656895507161,0.0692805782857371,0.014183813623475774,-0.010655093690813645,-0.03178682279479548,0.018286352396750957
FGF7,,0.006066410318520938,0.039225895609686395,0.010125950062578812,-0.005182760423145064,-0.026572791716366746,0.07236712371331648
EFNA2,,,,,-0.01859130609828247,,
HBEGF,0.056995170285372425,0.009456031105830542,0.021748637405865086,0.06723385104757058,0.05050502276404204,-0.07096045249934113,-0.041887280578945967
CSF3,,,,,0.011903703252955252,-0.020203856399153963,-0.003386470035702794
PI3,-0.019309965103186208,,,,-0.042305986029805606,-0.042426496685731244,-0.04828573734800124
PCSK1N,0.03694113673098549,-0.007421292941192629,-0.07490833048113384,0.0027790235322195083,-0.031100990898516288,0.07055932018172589,0.04995826933422269
NTS,,-0.015838267966539643,,,0.01331661857001188,-0.04671411721202175,0.2033500395244412
SFRP1,0.00653809181174342,0.022646521970672927,-0.03587485420418281,0.03335084179558115,0.08670201960755358,-0.006647057243220268,-0.005063694654702153
CXCL13,,,,,0.07726570440581498,-0.021526193812144653,
MICA,0.02531933165333837,0.03282610586863355,0.06356178487029977,0.11052866672077472,-0.0028244516184973466,0.0032645005792267265,0.0457383053428526
TG,-0.04294069691363589,-0.013378611417638507,0.05414998390692241,0.30187248582898973,0.04659820224656426,-0.016628084280695923,0.07179173264748492
ADA,0.09526545717130123,0.010236150487502016,0.012907934578173819,0.01544384729199627,0.018070626907437038,0.08810177433780185,0.06319455601072559
LAMC3,0.0961051818037231,-0.02485229472603947,-0.013681124497521673,0.10292655068770408,0.0860895375600105,-0.00045976391483622985,0.036199526368806044
CCL7,-0.02251955787485225,,,,,,-0.023288775478545607
NGF,0.034857955075285815,,,-0.0345218684434496,0.06887978005708142,-0.0013601015649926872,-0.011026576244900364
TNFSF15,,,,0.045382830738126816,,-0.012546247966457418,0.021480790132359092
HMGB1,-0.04622564511457844,-0.03423657898539592,0.06216011381866748,-0.0375878976718455,-0.03787610456222624,-0.048250996239989206,0.01083148737225189
ITGB3BP,0.0423955577165742,0.043953917040601476,0.06278839370322259,-0.016726244824779447,-0.0020807571067434924,0.01612527913498108,0.00912853996469303
AANAT,-0.03267245236488361,-0.012031463432730795,-0.016852967243606326,-0.024195454571000207,-0.025018862634196264,,0.044244543077081824
RELN,0.00402986103982336,-0.015937812764462773,-0.01865768937793396,,,0.057686457915884316,
IL15,-0.003555119583685791,0.03733398368760303,-0.015630348186969834,0.02835041584843765,-0.015759787010839493,0.01731209413170129,0.026764134391659627
BSG,0.05597552013221285,-0.028794597559340957,-0.007175296933733328,0.04326429241816385,0.04675781727728515,0.012713261400055055,-0.028362747886252846
ADAMTS3,0.0784075606262555,0.0458747706334584,0.00016124396815803002,-0.028971593649393206,-0.003533784355640902,-0.039016670869054755,0.042471230427146754
CD34,0.08282323514171895,0.0781038716425692,-0.036197382109677004,0.011514495591081614,0.057145949138360116,-0.00747329319145122,0.04958306521913591
PLAT,0.033853589334260116,0.024190053003789107,0.003208318727531916,0.022589187796109092,0.028282210228297043,0.02063905937057683,0.06349561082824677
NTF3,,,,,0.0642728778167057,-0.026191128538188977,
LTA,,-0.011587553160305459,-0.01563035011638731,,,,-0.03316239373169206
CKLF,0.0066188630195384525,-0.06542686205663335,0.019870494584892526,0.10103075181242742,0.015772143603347343,0.05548930501265923,0.0713041621021488
