,UKF243,UKF248,UKF251,UKF259,UKF260,UKF269,UKF275,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,-0.01617970901096977,,,,,0.11076324719952124,,-0.004198731997427627,,
BMP1,0.08911505875527669,-0.0639104340601928,-0.01096135598956283,0.030338877669159114,0.04310195171410839,0.04360523517562154,-0.003822228430547611,-0.03501355204890148,-0.011209797852523573,-0.00706996354750592,0.03844498654972211,0.033036374555665195,-0.0018729128551213936,-0.02615847991409829,0.0363943697301792
NDP,-0.048304713973112326,0.009996890429201622,0.014765630277707671,0.01504223956624886,0.05517575263679355,-0.006744161502475989,-0.00013878508255174023,0.06402999211035541,0.04682186886299493,0.04681610030456941,-0.03647324049465099,-0.006032631397829572,0.05109506117446811,-0.07162164295816764,-0.02315241505653498
TNFSF18,0.0015972447144586024,-0.024469139276943337,0.002816286851717501,,,0.0406081010890993,-0.013506323914214895,-0.05713108475334086,,,-0.028471732681468888,,0.053640044640397164,0.024243029490351484,
RTN4,0.06049943386338678,-0.012433651491455248,-0.004163764330410918,-0.042654333623836346,-0.012460979611648113,-0.06916638434848509,0.012310752698395178,0.01809603636654965,-0.04733127764771285,-0.05225745700628206,-0.038067654106317225,0.008441926173243519,0.01771259338926979,0.024269725701014218,-0.009094926686071748
HEBP1,-0.08028266926774882,0.032778849804234345,0.0035860239621661374,-0.0267085371680775,0.002258894150230367,0.0169357822458299,0.002516118016238616,0.03404997925153377,-0.03754064974767469,0.04797195813497387,-0.007133862630977224,0.005619966549226409,-0.029209270079809616,-0.00567185010505063,-0.005716946260640911
WNT7B,0.061432675741435204,-0.01632376538495263,-0.018434579141698017,-0.02495039913686606,0.01665646833832889,-0.059811070355751665,-0.03871462022795615,,0.10034961715355108,0.03860541771860049,-0.059536696340192645,-0.023907316054256302,-0.02924941402894952,0.034414179893557426,-0.03996478900599379
PTMA,0.06818717826992413,-0.012854502362171536,0.08446949714473044,0.057634615553243396,0.02505506122233252,-0.0297655327053294,-0.004289612052117133,-0.04662625038763431,0.04523180112184408,-0.07270233162141797,-0.011203797959217578,-0.024394918082820793,-0.024966661904619,0.058175629705290645,0.0049685933551778605
FASLG,,,,,,,,,,,,,-0.019403849072822527,,
CEACAM1,,-0.01557393655595631,-0.01414743072597848,-0.028810557833521995,0.0910992706116962,0.02035992866483721,0.030521285663403227,-0.04017284854777911,-0.022267299555531802,0.05720326647281183,0.05099174845985284,-0.015867633366053097,0.003170529025346118,,
PDAP1,-0.010526027307584628,0.0549690075254692,-0.012936171785258386,-0.03752239751568203,0.024599857932791,0.021849334686888672,0.001448478299727818,0.12964431210777339,-0.03689215164095702,0.04974167721847148,0.004601943530500485,-0.03807068289127974,0.02255976183601422,-0.0067969118096369765,-0.15504668563452623
QDPR,-0.03409333929842157,-0.011279123594059495,-0.034479397232658276,0.041313364926972254,-0.037537147955532306,-0.0478117915328886,0.02773684541544555,0.03291547929223505,-0.034902445191711665,0.002531681871627132,-0.037381068710494125,0.012125363165907404,0.028123695998623733,-0.03048000835719308,0.04985420222009652
POMC,0.025691978746403544,-0.03691196927383905,0.0016972812400053918,-0.02682956040042279,-0.027505149957671546,-0.011664796470086433,0.01921156478434402,0.019600029296941462,-0.019101549393443513,0.08371049203286314,-0.007713572389361953,0.0031443047180975217,0.026160314144639724,-0.03854294008220983,0.07685090508940291
CCL18,-0.03132420817875404,-0.019434801333588804,,,,,,,0.031032205623016295,0.044612365067585015,,-0.018521300448309505,,,
CCL17,,,,-0.01669895566143044,,,0.015535477307652937,,-0.01579757126705604,-0.007088786196424179,-0.03639966776127308,,-0.017587409751580144,,
VEGFD,0.08149317279405567,0.05352707787968709,-0.020263356124905447,0.012545625452099047,-0.013077672804847985,0.1638796456788314,-0.0020881968096777307,-0.05461410725981983,,0.03199753409255361,-0.024369556887076725,,,,
TNFSF13,,-0.014666129402624156,,-0.01151856588159125,,,,,-0.030313166429872467,-0.02618429599352233,-0.039033936355714706,-0.017818288781060992,-0.02865721622875414,-0.01051878400898311,
