,UKF248,UKF269,UKF275,UKF313,ZH1007nec,ZH8811Abulk,ZH8811Bbulk
IGFL3,,-0.011819356407600283,,,,,
BMP1,-0.028777249903007115,-0.04329233940849849,0.011217238727159308,-0.09403944500624031,-0.117325863400013,-0.04503586835983498,-0.028011508055351655
NDP,-0.08757564455408687,0.04948293728118344,-0.08896173765968496,-0.0396741923934803,-0.043875840881107214,-0.01792547821135072,0.03792487302218156
TNFSF18,-0.006328815943944656,-0.01755138943848374,-0.015987502425148924,,,,
RTN4,-0.040865439667128106,-0.02239473343874444,-0.05175489857056817,0.03885716604168909,0.07919896869656319,-0.013304240550079319,-0.09732535791078006
HEBP1,0.007003930932632817,0.005062178159341181,-0.012114873393504557,0.027737783909784066,-0.025164450554883196,-0.017959694831147992,0.02776532889107035
WNT7B,0.003575397002942379,-0.039591840494814075,0.08067675850295196,0.08945492914376588,0.1453814476252953,-0.032501345273279754,0.1615598304291825
PTMA,-0.08615600444642792,-0.01159027914819163,0.05925723041114091,-0.04158414588960164,-0.01455251441698583,-0.04282120410485972,0.03293813606654778
CEACAM1,-0.018547730644692097,-0.023096628848648892,-0.02514453254750825,,0.04978764459619763,-0.01821210678364319,0.05865350583045001
PDAP1,-0.07458783541113675,0.031265860445319496,-0.0859039312855246,-0.0730064448821086,-0.043230813999065185,-0.040203943158652396,0.040873329506671364
QDPR,-0.03930744471721495,-0.07432090401063224,-0.12252962983478162,0.012460876209891046,-0.025688127115268064,0.013073324944007737,-0.05472906795934457
POMC,-0.0439601934421954,-0.02977283505710847,-0.0038120388913431527,-0.028851592045186888,0.023441975014598476,0.009514081169823994,-0.04747030800754662
CCL18,0.03515500175295698,,,-0.03664709073993713,-0.04035741098315198,-0.03332793201354447,0.06051666806039187
CCL17,,,-0.019939528195273955,,,-0.012920608272248437,-0.014956403652257214
VEGFD,-0.023145822730170056,0.0764021261883461,-0.021243880783566104,-0.019493301866703346,0.12494082675666965,,0.039661171329014006
TNFSF13,-0.017466580577280927,,,,,-0.024792706569308137,0.008301797902436807
WNT5A,0.0198188672550605,0.05547001961738027,-0.07691729697551052,-0.0663848088668173,-0.08999328227963121,0.0026923424515730297,0.0484249354504358
CXCL8,0.1434334638153497,-0.02833053524962134,0.10844605691966264,-0.06839709196834441,0.11655963277752977,-0.06498535809879286,0.05848382198820198
GRN,-0.06548899914642183,0.0037984918696532008,-0.11464435658507267,-0.06738843758175324,-0.028969758516378508,-0.07410065708062259,-0.0398225677277884
MIA,-0.0057931676359769205,-0.021392922491801747,0.08966804948539994,-0.026436419359836497,0.0761721197899852,0.073689375690136,0.1114443234164027
COL4A4,0.06109246559681353,-0.011647098445985344,-0.020817484338378663,,,0.016767856031226894,0.13456458767760646
TAC1,-0.04263993353343971,-0.05011761805856029,-0.09732268466118343,,,,
RARRES2,0.07750805450377894,0.06295528800447785,-0.12611782499027288,0.01641057381666717,0.0431187515852917,-0.04095499387015742,0.0970898055775543
FGF7,,0.01923437639050865,-0.022831206150781568,-0.042472191872053484,-0.018258047427494165,0.05142356670146869,0.08373747448798666
EFNA2,,,,,,,-0.019259166480619837
HBEGF,0.007210426840681796,-0.013452604603195797,0.08152981635669043,0.005394032216834007,0.1016299227093928,-0.046798731549019104,0.0340468085564962
CSF3,,-0.012322405977045306,,-0.029285298883898817,,-0.05555175090412516,-0.01743363266490669
PI3,0.047636765428793866,-0.013875191768307862,,,-0.00840668289643098,-0.07676074042155451,0.02106001840283642
PCSK1N,0.0012197400331810365,-0.07517529126063231,-0.05968701866815013,-0.027972884655352342,-0.027168113508147344,0.1077751301936586,-0.09276651720212233
NTS,,0.0354353061033288,-0.012211101893242465,,,0.031579814140174,-0.023463639671263838
SFRP1,0.03596429013434354,-0.025300930271819972,-0.018713119599913026,-0.022854358289597546,-0.14206821146562554,0.011136366372529016,0.014604138385049426
CXCL13,,,,-0.04791076956626152,,0.04615742039555018,0.009527704642621627
MICA,0.002191510014666813,-0.012048080000685734,-0.0019132197590217258,0.025854957236998297,0.03695166735890422,0.03443298254544313,0.048035972272758146
TG,-0.036449044047165875,-0.014872041553579228,-0.020088320075336067,-0.041607157259608986,0.010460575299614852,-0.017168258056613594,0.08465010906217212
ADA,-0.04980716222112601,0.011554831195158132,-0.03369904582736669,-0.041607041276102305,-0.07456169102827263,-0.042609737365475506,-0.01029539379129561
LAMC3,-0.04818325288302971,-0.04544106620135023,-0.04824755705673456,-0.011145290879536614,-0.12424382214078422,-0.04290094973349539,0.00357324397291052
CCL7,0.008502655333999808,,,,,-0.019365013591858826,
NGF,0.13550446816547326,,,-0.029491232234793933,,-0.002530915659938834,-0.01900029088177822
TNFSF15,,,,-0.01864945395071869,,-0.018878713748580796,
HMGB1,-0.10813953957199489,0.06691928436726348,-0.06578812464877927,-0.08751425214185515,-0.1440343356696774,-0.08465345317274153,-0.028023991169117034
ITGB3BP,-0.013382476082302678,0.056606400186994345,-0.03274306791783195,-0.04635015343533114,-0.004505091841829048,-0.029310140448865853,0.012943007080632021
AANAT,-0.02136038893090013,-0.011115143659266587,-0.018065543640257663,,-0.054961246795345385,-0.016988581047711213,0.035776703013679426
RELN,-0.046114452213044436,-0.018714667927121485,-0.03977449551902148,,,,
IL15,-0.01139418984046701,-0.028992824037806317,-0.04048079837316784,0.001269954220720826,-0.02416124538304545,0.0890644162087496,0.008666937824159164
UTS2,,-0.02525416654751503,,,-0.014661533569276524,-0.014467020115401626,
BSG,-0.1340694868980364,-0.02196146504661765,0.19543308762867415,-0.03670892960318724,0.18380877030371442,-0.03936266085256478,0.1109835315343622
ADAMTS3,-0.012125190302600947,0.019204804562893116,0.011044500094682826,-0.036589382314042684,-0.07068592320292698,0.1098917746018919,-0.03704777085515162
CD34,-0.08252167506531682,-0.04297609683830127,-0.06945685831022479,-0.038845559820572154,-0.1365120981478029,-0.04888477814832583,0.04245599127502822
CCL23,,-0.012647269071321616,,,,,
PLAT,-0.06983111608855452,0.047695566169641386,0.0069553534957575705,-0.016409603515082822,-0.08322312468149666,0.04042462948674161,-0.0707921237539544
NTF3,,,,-0.018042480791493457,,-0.044021628608598644,-0.042205534450372784
LTA,,,-0.017399001249658517,,,,
CKLF,-0.09252186313987433,0.013117083511225907,-0.03017782105793717,-0.022540302170943053,-0.023708796164476905,-0.019995926806659934,0.04616139558239717
APELA,,,,-0.03437926885378685,,,
CD24,-0.03742422156455871,0.009206451416619263,-0.14774431316714162,0.004601103658677121,-0.19240084314595474,0.042660092907510334,-0.012156175226026557
HSP90AA1,0.10196175458763196,-0.045967212141051705,-0.1335516182912806,0.06841649137093189,0.10693744332208323,-0.055991468707526644,0.03475981577489743
BMP4,-0.021836663780182553,-0.034046064188887705,-0.0090214982501649,0.13193481323514933,-0.014143863659261334,-0.0061322600137733605,0.056447151332394294
SCGB3A1,-0.014722692416372082,,,-0.019026942854955632,-0.04546709048089256,0.0487001107216194,0.010970290139528069
IGFBP4,-0.04786860404132977,0.0011917546729154594,0.03491467014101359,-0.03264807991117978,-0.04648775715065173,-0.08600402373702142,-0.031757736556852996
RSPO4,,,0.07603590948534525,,,,
