,MGH258,UKF243,UKF248,UKF255,UKF269,UKF275,UKF296,UKF304,UKF313,ZH1007inf,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,0.03099157586952451,,,,,,,,,,,0.028090397113423093,
BMP1,-0.006856486243321775,0.022544241400864116,0.03872138631366192,0.06874347810236028,0.06390958419161018,0.040954068263590306,-0.0007870802984509429,-0.041561859349532194,0.09358483612714533,0.07182061893137272,-0.009606160065115256,-0.019024013260717103,0.00887994828529455,-0.060381934111368586,-0.0010942040958522848,0.002594795385102836,0.09103338367686743
NDP,-0.01133197770922893,0.10339871950601921,-0.0061770863689942545,-0.011601885163784612,0.003758949952177584,-0.005904816403589928,-0.0017045878295953133,0.025512944316600086,0.07891292226278937,0.12849785132953528,-0.0475990674778919,0.022364514078209746,-0.03167781043458562,0.0515012624681279,0.029835762818289955,0.07661693964049947,0.023398199875049226
TNFSF18,-0.02037041200827757,-0.015521707065513536,0.004392409630365538,,-0.024026384252151697,0.04774624423859725,,,,0.05512364448622645,,-0.008741880781463218,,,,-0.06604493905368877,0.08239645196047492
RTN4,-0.010271557224842635,0.025035556251143426,-0.02742476046262399,-0.02060475824799427,-0.1110121131845988,-0.012345507040088617,0.029314811162496773,0.0588462761775546,-0.04119641548190995,-0.023761192242192995,-0.1194342204569128,0.012535064368709404,-0.050633901170423185,-0.031197486429489572,-0.08876236956070836,0.024331200698996348,-0.14421005113936944
HEBP1,-0.05460246166773817,0.06439895201933596,-0.007339320938481481,0.084502954116671,0.005091261134671553,-0.008931421051487564,-0.009359927106692123,-0.016990698808586252,0.01866449705099042,0.07090786185400853,0.04136215334001924,-0.007097818629803766,0.01822275105984196,0.04543817668619648,0.04433875891233523,0.06623501157814833,0.07736914543411766
WNT7B,-0.01794569496024645,0.05263409530290067,-0.008952224235119658,-0.006402445447162746,-0.03236539034258252,-0.03602664834725187,-0.01786092424887134,,0.03907609542963306,-0.04990644268634971,0.010402220274532109,,0.006665602317718023,-0.039496704135401475,-0.028986526927630273,0.022826911041610415,0.05984288508287373
PTMA,0.03507419705419054,-0.09742448731268007,0.03936938847621511,-0.0187849312739389,-0.04212807208127917,0.019094430788505853,-0.02084053652705414,-0.06110135962599746,0.06987329803783404,0.058086813692636706,-0.14495381372336313,0.01950509904624102,-0.06496700377895796,-0.042420566615778484,0.09795925642651943,-0.15587728244884985,-0.0029243798100682147
FASLG,-0.017945700033448447,,,,,,,,,,,,,,,-0.021169559290115377,
CEACAM1,-0.004956188890420215,,0.004202667330784467,,-0.005883469586447829,0.014580068710542373,,,,,-0.051832311569169835,0.023078388425200234,-0.030088381531186637,-0.0023249491825437295,0.000300178996893263,-0.028449487641188473,
