,UKF243,UKF251,UKF266,UKF269,UKF334,ZH8811Bbulk,ZH916T1,ZH916bulk
IGFL3,,,,-0.017257033213816015,,,-0.000650960832741817,
BMP1,0.11073023809370658,0.04497860119743623,0.11834238037600174,0.013397675623932076,0.024002237815759823,0.02413981851449262,0.08449523425270836,0.027926331622777172
NDP,0.1083690405921282,0.024564733073479342,0.03829516476635762,-0.007733078009823813,0.028371526441471447,-0.0018708431993007767,-0.03570070702323655,-0.016895118990751964
TNFSF18,-0.02181211104418764,0.020368194456580096,0.09421968702614841,-0.025626176252183015,,,0.08623003462602713,-0.025685309398268272
IL36G,,,,,0.18307454426906183,,,
RTN4,-0.1403491381770742,-0.014321637332684036,-0.07130994168475041,-0.07334805410349961,-0.0771689704605045,0.03152015474291088,0.027246640702455496,-0.1015333544148419
HEBP1,0.01949582118451388,-0.007824090452982217,0.01622879272687893,-0.00832752731992571,-0.034237747053380674,0.02940927348825624,0.023581882300596952,0.035907019687252954
WNT7B,0.0596768075816469,-0.019754887753026442,-0.008411742340409653,-0.05400356311050987,-0.01657785934728936,-0.030854028589763226,0.03518935932401843,0.1447028559876239
PTMA,-0.1320940221544529,-0.0032671752413852883,0.11797247765968623,-0.03387263355484926,0.04865676838752342,0.02467859194756617,0.0679245329366851,-0.06689746775043424
FASLG,,,,,,,-0.017837378828429756,
CEACAM1,,0.13131337386091035,,0.028251272232245144,,-0.014947340403963446,0.040846959443445074,
PDAP1,0.0750994307154874,0.016251662510954196,0.033767517160247354,-0.004374900546108363,0.010676296305275206,0.0048702486300815015,-0.04465448610236498,-0.007928090992893379
QDPR,0.08487941579555336,-0.010316577156294322,-0.001321633974269943,-0.04878566505222639,-0.06002720630251754,0.0011996415875721374,-0.022235405006989787,-0.06306832733554588
POMC,0.06201097698756665,-0.015111884972781535,0.004607909919950565,-0.043470286006402195,-0.032315302342683344,0.038439256879717734,-0.00924510405701494,-0.0004094268625256446
CCL18,-0.029251834394216036,,,,,0.021412291714922087,,
CCL17,,,,,0.05970668526713598,-0.021577424258689998,-0.016167580420379,
VEGFD,0.08891169916384976,0.06796702310655754,,-0.014816125467151414,-0.014767026392204306,0.17945988122190965,,
TNFSF13,,,-0.013221205201223765,,,0.0488091471034013,0.05253705437453159,0.0072323154185428215
WNT5A,0.06021690968253663,0.07593380474607372,0.11288128434255529,0.081758518150967,0.06038596797151141,0.017629057312230943,-0.00011059017623403486,0.035555927644630086
CXCL8,-0.06725987505714871,-0.02033230569526727,-0.018806306882535526,-0.0028863895180667853,-0.029427864748868684,-0.07580612074491395,-0.06813701146416067,0.10228685643905497
GRN,0.02155759218547243,-0.06071886116626057,0.010745018654970014,0.07703811605711167,0.006037308929164981,0.04573861078202313,0.024063613286494215,-0.08591632288270303
MIA,-0.024653309723759384,-0.019311485922789997,-0.008497793103508226,0.02712568042175477,-0.020224119380915524,-0.03154898133240397,-0.007195288482183568,0.07836860737045383
COL4A4,0.08898712764201802,0.02824700131405465,0.04523237171571909,-0.0170055253260412,0.048044218720005256,-0.006631369719715659,-0.012374423393619442,-0.031229363254696954
TAC1,-0.04155316919261761,0.041967416721385355,-0.02681427952154342,0.0011736684188584587,-0.03476746061210387,,-0.021253928451360968,0.0004712031642011511
RARRES2,0.042485040334261606,0.046721325382095905,0.03928826480256705,0.08162363395873547,0.11650904751163138,-0.015369404788784596,-0.03562536809962125,0.07609986535029738
FGF7,0.06006554351468593,-0.024508991110575504,0.027722941775373478,0.04701215368334708,0.03627925228902783,-0.048597221449349075,0.025514729368456255,0.0373930556295437
EFNA2,,,,,,-0.014206446731951804,,
HBEGF,0.08129282820226083,-0.0008255915058474732,0.05215217597788247,0.03302622584059218,0.022825785287310215,0.007259609956006125,0.0731400836720416,0.13624615943390347
CSF3,-0.0331782218770851,,,-0.017991518479234216,,-0.032630559518214225,-0.01702196803899848,0.028049353244315105
PI3,-0.03930455138247846,,,-0.02025868726995859,,-0.04446397917498439,-0.03698308155424538,0.06510549521937865
PCSK1N,0.053579672928479025,-0.040425230154820926,-0.03662580631769673,-0.0358111411621287,0.0003973913705646193,0.02537342821891994,-0.045619912539023894,-0.11605818386721735
NTS,,,0.03179228761268643,-0.022113740435291466,,0.006574353529221732,-0.025207213529470942,
SFRP1,-0.004922056358047052,0.04068425478335262,0.07025351752944167,-0.02790439402016219,0.09378370792570621,0.09616259983492341,0.04175672547909396,0.007795855311695454
CXCL13,,0.12678250729762983,,,,-0.036500411486900676,,-0.026645582764215057
MICA,0.0025226938022497323,0.008283100163318825,0.09200686305669854,0.057290039692294556,0.003877746459270919,0.062365526943160214,0.05526890475726684,0.012177606391862342
TG,0.061769219752084284,-0.02061548127585909,-0.01772554181973529,0.049960699366756484,-0.020697505123743316,-0.021316520981620346,0.04636693925937532,0.09326856460464067
ADA,0.03698823018392066,0.03767486132013204,0.07354872501204533,0.06302433255290323,0.01987258818921921,0.06197134426237368,0.10540146521493046,-0.029072908253274563
LAMC3,-0.04012573717297685,0.059478703906557816,0.11799136879702657,0.008990605028295556,0.004914043730386294,0.06472631827037806,0.0758357002601607,0.0014358200968613729
CCL7,,,,,,,0.07698366626442414,0.09435808241292634
NGF,-0.019114916764062198,,0.004557035298538476,,,-0.014015488187154637,0.014738612452820711,0.14643335777471006
TNFSF15,-0.02364753764386858,,-0.020538422632242804,,,,-0.00821668058952381,-0.03635628896220992
HMGB1,0.0279538652174384,0.02001348458527352,0.053951442830566444,0.03739657033103595,0.005479064263651922,0.029068362066860677,0.010494878163139465,-0.11297388499948241
ITGB3BP,-0.0025505912532951492,0.015287075342809568,0.08701070583178513,0.034354528439604216,0.023731506744091597,0.039853827012020414,0.05168115340769302,0.042533279768709985
AANAT,-0.03426046585591671,,,0.0798854788492691,0.10786936635252464,0.06752386722654938,-0.018872683947125612,-0.02005799674619532
RELN,0.001895847102164321,0.07186187646847134,0.006527793259608107,0.010201826651586582,-0.02046201792437676,,,-0.0026440763378303084
IL15,0.034513347536736495,-0.013923249369511732,-0.01461430869795755,0.013354591476434696,-0.017141911749494594,0.014911123649315676,0.033368647673742875,0.06246395354372571
UTS2,,,,-0.03824614671816697,,,,
BSG,0.04993490222040656,-0.0348382578184357,0.05007026845036495,0.00923866840400725,0.03905263555303225,-0.03989821413574808,0.0023541995339509507,0.11829435960746887
ADAMTS3,0.045436281552804554,0.011337807730473456,0.03909669871709266,0.0867819445153089,0.018744443161278608,0.02246080178997188,0.09635272150171716,0.05663110165782306
CD34,-0.07540209907568296,-0.04368032862449495,0.12692372953445638,0.012674047541793269,0.014950981212173661,-0.014532638912803533,0.0880312302198658,0.006740765709450505
CCL23,,,,0.023144475445190216,,,,
PLAT,0.11295538047789888,0.020783163029399906,0.09191783232053756,0.10980317647332614,0.0386931796446099,0.058303063880743904,0.06392426454105743,-0.0277747572674295
NTF3,,,,,,-0.02034208768456322,,
LTA,,-0.015160689729715526,,,0.16542189486950912,,-0.025399788411099647,
CKLF,-0.006281975989096326,-0.008491161988840137,0.12676654311817545,0.06260135576429618,0.018544516725671655,0.06678418084025944,-0.024490598882623827,0.035143290656887954
CD24,-0.056927683354277066,0.06123406215263689,0.019567145761248742,0.08188932816394072,-0.025152915853449965,0.029547121467855618,-0.05075319420459934,0.006943197396708678
HSP90AA1,-0.03242636943394577,-0.013232595603614936,-0.09915568954460398,-0.0505467803800502,-0.05474991274231886,-0.056319485992946595,-0.040865145405885546,-0.07259103126137204
