,ZH1019T1,ZH8811Abulk,ZH8811Bbulk
BMP1,0.047894948759924845,0.02439399351932347,-0.06305820688854442
NDP,0.027923556908483128,0.04336464082196685,0.006216342923575754
TNFSF18,0.013770929734818863,,
RTN4,-0.018789568571168685,-0.019710935949350517,0.059895253235320446
HEBP1,-0.055662704918937565,0.027338328926980245,-0.02820954641107864
WNT7B,,0.057512163092963794,-0.027186396446832035
PTMA,0.08853728173570488,0.061188176009179245,0.0016405615443940398
CEACAM1,-0.03871608569144936,-0.019563788796540887,-0.018272034012226886
PDAP1,-0.04505923236436855,0.0740822880759446,-0.002668485745911974
QDPR,-0.05884237612108113,0.047734068015687095,0.04287262678105967
POMC,-0.0663149701469135,0.0010787590167938444,-0.02311613215624738
CCL18,,0.06236530502785426,-0.03371777548811899
CCL17,,-0.013879561237150924,-0.026376828204600862
VEGFD,-0.05263367007988994,,-0.018272034012226886
TNFSF13,,0.13822339122165778,0.015401475113688654
WNT5A,0.015845178674689386,-0.04160696448180127,-0.04834508881516258
CXCL8,-0.019612896875412726,-0.09989162572608581,-0.0666062496502119
GRN,-0.05163109650195459,-0.018794362247847904,-0.070664168617942
MIA,-0.004811126373362685,0.09254126395684727,0.06862637042543328
COL4A4,0.05391744324301127,0.0613085346397732,-0.029256383448945735
RARRES2,-0.028869142369148986,-0.06844267918307764,-0.020426184935359526
FGF7,-0.05126135827739773,0.0004019795267129134,0.03223742812433923
EFNA2,,,-0.017366345507879265
HBEGF,0.03215707811587753,-0.016212715119878415,-0.021124586303604632
CSF3,,-0.07420773086838639,-0.04787212240920062
PI3,,-0.05206769092999488,-0.10548999860263691
PCSK1N,0.005452070030242695,-0.055214599091503905,0.07722880893841608
NTS,,-0.03237957155719556,0.03816631263874964
SFRP1,-0.03749432430710501,-0.004192564397865751,0.08710230918229335
CXCL13,,-0.03117634024741503,0.0025749406053536227
MICA,0.07317581428674827,-0.029640709018656168,-0.020646773526620234
TG,-0.02797260585809928,-0.018442466794987154,-0.02605789296771725
ADA,-0.013663418012610987,-0.030488126253619057,0.0020898721323389753
LAMC3,-0.01847084430447517,-0.0012590588054282735,-0.03757581554300196
CCL7,,-0.02080226304699291,
NGF,0.02574529117870482,-0.02402494847220401,-0.017132912607365804
TNFSF15,-0.024287463044783686,-0.020279870578142078,
HMGB1,0.08223902777400113,0.06373705048769333,-0.015691767865984585
ITGB3BP,-0.06990072018354017,0.05346209606019718,-0.043868357835251684
AANAT,,-0.018249454361251728,-0.00501021739809949
RELN,-0.07862624332091209,,
IL15,-0.0601214290636496,0.13753351236553962,-0.002789928004366023
UTS2,,-0.015540746022158346,
BSG,-0.06326128877512395,0.028502525459789586,-0.008677020451771891
ADAMTS3,,-0.022139750430135927,0.0483407720043172
CD34,-0.04932149330646352,0.008358081866695071,-0.02671715303707036
PLAT,0.040647190921587965,0.017456847797039186,0.11613682274240547
NTF3,,0.015607761884515282,0.06551528627846394
CKLF,0.043013295739667376,0.10909377796789431,-0.005859023253812695
CD24,-0.013518227401881962,0.01695511600963048,0.07758253356090244
HSP90AA1,0.01407254320413994,-0.07689170603169142,-0.053818300209300673
BMP4,-0.018338097392202858,-0.016771063826233508,-0.010232172968567162
SCGB3A1,-0.01811037604211305,0.06739764625223875,0.029211350308268207
IGFBP4,0.0027377912253679594,-0.01331404136790965,-0.060207568036515335
RSPO4,0.02464809404489975,,
LEFTY2,,0.15641055599694734,-0.019968177172178102
PF4,,,-0.015917457986081886
ANGPTL2,0.06925731193457199,0.08677361776620453,0.09895979996426425
LRIG2,-0.06832686904269222,0.031681418035492855,-0.013285553370266597
ICOSLG,-0.0687129311407086,0.016596035396456415,0.021466286880464314
NPPC,-0.07952275683236272,-0.0028646232864532463,-0.016052439743044686
LYZ,0.045280794975648915,0.06389299416059308,0.04185278119750372
EREG,,-0.022123923864973888,-0.05057840568717667
SPTAN1,0.0984847898111728,-0.04518994531573435,0.04613593032667533
LIPC,-0.034611894250123426,,
COL8A1,-0.04162652968447303,0.05795438216009646,0.0093372621757883
GSTM2,0.037834541129006104,0.047608363609776466,0.006623294324257238
SPX,,-0.02097379984783436,0.061182748629220254
MFGE8,0.06587341168743964,-0.008269759661772519,0.038172135742163146
TGFA,0.0023193114886412717,-0.014865645199033687,0.019815791353979834
SLIT2,0.0038289562629697823,0.059238922844590966,-0.049359148984273134
PLTP,0.06910753608297869,-0.016180578077752077,-0.008012775069508574
APOD,-0.037749040714786096,0.11440973992012432,0.07650909915463108
B2M,-0.03361092224608747,0.09999309556726071,-0.026952442421781523
OMG,-0.020371161990216366,0.07071565740391597,0.11178122290250735
CXCL3,,-0.04558669530161286,-0.05519097494818825
CXCL10,-0.03818768288824112,-0.02148100526827494,0.018499504845761117
RSPO3,,-0.047249787574350006,-0.017184380106169468
CORT,,0.051719340861988816,-0.01665681076006051
NCAN,-0.005553337709489961,0.06142763002048133,0.08109476076409323
PRG4,,-0.022784234607780455,0.1621452280210555
TGM2,-0.07549230009330735,0.00941207209056153,-0.04658781474020239
VEGFC,0.005698471458716206,-0.026771317502553935,-0.03337417805010517
WNT6,,-0.03105403157098715,0.038673817602501985
NRG4,0.04841687814482454,,
PMCH,,-0.021144068453097725,0.012062357678699504
COL9A1,-0.03507767439039625,0.028161425038093917,0.025270095664396464
GDF11,-0.0747084093557655,-0.05529636331219792,0.025885017183080596
IL24,,-0.015764507931485768,-0.015663662211227003
SORBS1,-0.00016889984055037545,-0.02530579033360601,-0.03935162835101311
DLL1,-0.024866525818707883,0.01417434621182413,0.07259373402776756
TLN1,0.03198978458848888,0.009476710957809806,-0.018561522617640155
COL2A1,,-0.00821123636752078,-0.04082429535406453
SHH,,0.007740512946567471,-0.01428648343270858
PON2,-0.03161248453214839,0.07056940417670153,0.025998053623853927
ICAM5,,0.04449371494023543,0.0005432344853498317
HPX,0.021498094474633054,0.09317107605566596,-0.020217835971609092
SFRP2,,0.008691502908293713,-0.0013984001516207812
CD70,0.0498831211685964,-0.06048374598220295,-0.031804859562895554
HP,-0.10333654086327042,0.04029769356704255,-0.05585996642349008
CXCL2,-0.040601576755809936,0.002454311419788901,-0.05933587016983815
NPPB,,0.04542067053075338,-0.035236756891901096
CCK,,-0.018108635861686418,0.02600388153843561
SEMA6A,0.07928232363101016,0.023234068421760595,0.04921995754790709
IRAK4,0.03156470715258353,0.05047195715858155,0.00356830858368227
GSTP1,-0.12126629919400295,0.055158136802309556,0.03964199758428462
VCAM1,-0.02110574483175285,0.03143520127406156,-0.046250655554291725
NXPH3,-0.0034682283369385477,0.07310919281480462,0.0031654087200570485
MTMR4,-0.012259411390817486,0.011653614317843085,0.03408777736574772
LAMC2,-0.04121317949791236,0.07079858437259107,-0.020570783622618445
IL10,-0.043565111607191905,0.010485843220310894,-0.028561656338200896
SEMA4D,-0.041531000350334114,0.038874354994613974,0.10683311175667477
TRH,,-0.024950148061531077,0.10610270423214839
SEMA6D,-0.0645433426214842,-0.026189103022794768,-0.0037691927080032955
CEL,0.05925637899175346,0.012029761996200391,-0.025573005612442235
PDCD1LG2,-0.024805448466431495,0.07402489209042445,-0.012633391322423238
SPINT1,-0.01764547845596756,0.01573102050104007,-0.04839191525262092
CTHRC1,-0.07599039830180315,0.0605744774109759,-0.00668448995510751
PODXL,-0.010049813799236128,0.009075614056904878,-0.03200930902465891
JAM3,-0.04919602791226261,0.007001628058615849,0.005865075304491382
TGFB2,-0.02494519781411858,-0.012982489442064064,0.04200348413267718
COL18A1,-0.06966599131273524,0.0048934260487369,-0.12609533343205914
NODAL,-0.06487330289520583,0.014597275429807615,-0.019348312604302764
INHBB,0.00046976008783863627,-0.018239080020261884,-0.01923139190079859
LCN1,,0.044242280465320666,0.003617007360204423
ARF4,-0.011666648850222582,0.12194785151668211,0.03554089671466416
CXCL14,-0.062450516584634005,-0.05187058416420766,-0.03958911875777339
