,ZH8811Bbulk,ZH916T1,ZH916bulk
IGFL3,,-0.018807319122279117,
BMP1,-0.018887643010444488,-0.04934476449635284,0.024224529093540472
NDP,0.03165977515661405,0.015658988697941335,0.09326382418796934
TNFSF18,,0.06629765344951823,0.03327765038629567
RTN4,0.00173200621113061,0.0032875712764142443,-0.06746191379518879
HEBP1,0.02642749688915905,0.06610817830974706,-0.039315377424879554
WNT7B,0.004862495307103801,0.01533913152709988,0.11506144590460347
PTMA,0.020846358975902562,-0.010218361192837087,0.0010698898320440108
FASLG,,0.009494251437269197,
CEACAM1,-0.019381569263788898,-0.022695169864323125,
PDAP1,0.0335683595473699,0.01661979714234398,-0.029527980018432206
QDPR,0.06911254792914436,0.03923388029140736,-0.007268411833289252
POMC,0.05776043118757901,0.02394017872174479,-0.03767515493361697
CCL18,0.029046232451318207,,
CCL17,0.02994456599134,-0.014784616481555834,
VEGFD,0.06315870244829845,,
TNFSF13,0.022805030984709165,-0.024090298534898327,-0.03483644641001061
WNT5A,0.022941600206390484,0.0171615079737561,0.020784740788419003
CXCL8,-0.027120208651015346,0.0021060677071327075,-0.010550335492493958
GRN,0.025942160774846974,-0.060302596987865574,-0.0674593889528512
MIA,0.08289690227802256,0.050038363822562125,0.0012308184684639907
COL4A4,-0.03103292287242203,-0.0015558836221214348,0.10910884003841123
TAC1,,-0.019435881728085667,-0.04043108257911954
RARRES2,-0.017568732594387498,0.0386282839105978,0.05259930469712569
FGF7,-0.028524419638238308,0.049855594139398406,-0.0019525967236886232
EFNA2,0.0037631456643411314,,
HBEGF,0.039687794550627924,0.005260311293719714,0.02420085209484109
CSF3,-0.0377734805520417,-0.01556592035878638,-0.028726859221209308
PI3,-0.05812795184672464,-0.02120705350589692,-0.011458420800218498
PCSK1N,0.009903977993592735,0.04485911629560815,-0.10022008868170906
NTS,0.01575098459690995,0.06853159221703617,
SFRP1,0.00824957291745532,-0.022515358494921783,-0.008623422488522077
CXCL13,-0.0473285035512122,,-0.033220205473378416
MICA,0.025350573011818426,-0.0014925570810428097,0.055147356659260974
TG,0.063322278085228,-0.030356513780321726,-0.022771740910334223
ADA,0.10356299273249626,0.011359497595332198,0.016307942496378673
LAMC3,0.05423322555522615,-0.047625124422227404,0.004181552192287625
CCL7,,0.034114330577090325,0.03780794096541842
NGF,-0.018173276832119504,-0.014786453544862549,0.044329287247742766
TNFSF15,,-0.01083213544093079,-0.022227909271175
HMGB1,0.013453845452759064,0.047452771655886454,0.05181571264492674
ITGB3BP,0.059678376305877315,0.05921246443075993,0.0024411216514824796
AANAT,-0.008251560420010516,0.006513825436372036,-0.02500717583057875
RELN,,,0.030649648725959853
IL15,0.031341568380552354,0.03131988225662281,0.06761887111625488
BSG,-0.03195033882862604,-0.007356139346698006,-0.03164923099273834
ADAMTS3,-0.0034447592087581912,0.0075530202658133025,0.0361430952019586
CD34,-0.031034203976953785,-0.028612329779273436,-0.004516290991009082
PLAT,-0.009059594505197093,-0.031370950328450914,-0.03306791672734923
NTF3,0.04174227486795438,,
LTA,,-0.023227107619482098,
CKLF,0.05007167302002967,-0.017075615391418813,0.023426845512383478
CD24,0.020910968167824052,0.01741359771250975,-0.010912930733032102
HSP90AA1,-0.03958993992438477,0.030505440843468064,0.012540958874963943
BMP4,0.009406380734027131,-0.03448688062616712,0.044756699796238815
SCGB3A1,0.0287559378244333,-0.03420101313260956,0.041052364304220205
IGFBP4,-0.012210189316122335,-0.03735362959057217,-0.057812237857078265
RSPO4,,-0.016434544107377765,0.0020433063244991224
LEFTY2,-0.0023591262194533934,0.04192625704540138,-0.015154516525754391
PF4,-0.016884015991556107,-0.005043629886847555,-0.004901409564985021
ANGPTL2,-0.017844423938951453,0.002682906821099312,-0.08112904412919117
LRIG2,0.0027394638177146657,-0.010693014556354973,0.05032151368321813
ICOSLG,-0.009878742957824626,0.01502992258838273,0.04049337628432485
WIF1,,,0.04576207796681043
NPPC,-0.019106968852491583,,-0.005209593340900327
LYZ,0.051871622572699616,-0.0035991179700140805,-0.03751064877252988
EREG,-0.0071152478932424235,0.003635175841840528,-0.02843889212291685
SPTAN1,0.03196410503349357,-0.010790715775740336,0.02400524485206013
LIPC,,0.028160369458165527,0.13863034010599942
COL8A1,0.0884948002266615,-0.008581049861618778,0.05385403189106657
GSTM2,-0.013446422394964524,0.019011392279786064,0.036801862279072735
SPX,-0.02096366394458537,0.05666430117419963,0.08210681685498868
MFGE8,0.03173270388226032,-0.022960068415549744,-0.034793658675861316
TGFA,0.06105015967919194,0.048075896943676276,0.008093232377763854
SLIT2,0.04837164008874153,-0.04776178599325217,-0.021597600597264358
PLTP,-0.029257804483382534,-0.019870158628427823,-0.030448893722682453
APOD,0.005707315338443767,-0.016757532383544056,-0.06496348207621873
B2M,0.05272977645369799,-0.07231282561785464,-0.10132880315244751
OMG,0.04575698377676726,0.0176894375691231,0.05706185933487428
CXCL3,-0.01679390906351734,0.006066738077845733,-0.04283325459322641
CXCL10,0.12241077013456854,-0.055377666350982235,0.04461800097783689
RSPO3,0.01435594043964242,-0.016553059720228833,-0.03426032684982199
CORT,-0.01766826458641163,,
NCAN,0.03992162101371169,0.029725357041358966,0.041387894695775335
PRG4,0.04008934122876292,-0.03749714137465896,-0.004480523931393893
ZG16B,,0.06061549997909838,0.02710793730846794
TGM2,-0.011463214499844184,0.02796693928912255,-0.10899077814621737
VEGFC,-0.03540076288536326,0.027370297590973057,-0.022649323344003474
WNT6,0.06641242706321264,-0.024926901946206288,0.025498146649118137
NRG4,,0.033334623302293885,-0.0004922633329701058
PMCH,-0.024789520456537862,0.010568319277187252,0.03275568104843854
COL9A1,-0.022265526362245325,0.056223942793449166,0.0403346587669271
GDF11,0.018858651230509525,-0.006383580641695544,-0.05565964716496856
RAET1E,,0.07224694720384046,
IL24,-0.0166148089407201,,-0.03660881732238404
SORBS1,0.01046982782250865,-0.042504217598490976,0.03189649460081766
DLL1,0.02589979861888178,0.027284463123485952,0.011405642390595234
TLN1,0.0010115528080298522,-0.042032895382188316,-0.051117035445887145
COL2A1,-0.023610759052853196,-0.02409029667263507,-0.012455772972404536
SHH,0.01054679476760439,0.02501853457814988,-0.05966664413681095
PON2,0.06595168683692723,-0.015399964944247897,0.13545241846405548
ICAM5,0.0498111411719535,-0.012765055707381881,0.015453580064500401
HPX,0.037617016242762875,-0.038200162557194266,0.0064057404273328246
SFRP2,0.026142858254193924,0.003667837433592612,-0.03782139321896015
CFC1,,,-0.02897496163495211
CD70,0.056448485945010174,0.05742138082990267,-0.04008349206922498
HP,0.0441959887898864,-0.024761569637519968,-0.024687548949710134
CXCL2,7.781323381348681e-05,0.035890831022240825,-0.0001732682731726739
NPPB,0.012598712746336302,-0.01679123745015951,
CCK,0.00760659378335904,-0.002857898696463673,-0.056188865168466086
SEMA6A,0.01628243457683073,-0.002971846095539255,0.08733180104711448
IRAK4,0.030324067671960133,0.04072278562377905,0.0826866183796745
GSTP1,0.012971282131560466,0.07829753691921072,0.03310330979772481
VCAM1,-0.015325126649289993,0.026246391394619182,0.010222831111598803
NXPH3,-0.009731400643525812,0.022918023089492874,0.06192697757497858
MTMR4,0.001320640123080012,-0.012017947349305166,0.004350896354089893
LAMC2,-0.021819906165093845,-0.031992456582323504,-0.03153307552441123
IL10,0.039394451356916674,-0.01765271185079275,0.04169373195493336
SEMA4D,0.0027929930649961215,-0.019337819638736212,0.04753470105246803
TRH,0.037420375268911746,-0.018807311989313548,-0.06896261378875419
SEMA6D,0.03993355352112677,0.0086366359445609,0.05989319807476084
CEL,0.03673604621561211,-0.05381966530118421,-0.01856518562626067
PDCD1LG2,-0.005812228272315156,0.028474234394453214,-0.01111544194591616
SPINT1,0.03606693862598805,0.005040803127036203,-0.04055810508045923
CTHRC1,0.021892584920211428,-0.039092427964440825,-0.012412110478497945
PODXL,0.0028087257322259515,-0.04266800493134927,-0.04947070865800196
JAM3,0.015873089493341902,-0.05586790224671561,-0.06362220384772509
TGFB2,0.024562460735498094,0.05994897872236342,0.03465583073009996
COL18A1,-0.02965710935909776,-0.06080870296842001,-0.0077105615624401365
NODAL,-0.02052320286985012,-0.02573951678468747,-0.04970022634810228
INHBB,0.03851965747811007,0.062485676011331134,0.028285603845222305
LCN1,-0.019381569263788898,-0.019018977544320574,-0.022117762142684443
ARF4,-0.012119654888076647,-0.045539788080345256,-0.038262787109219744
CXCL14,-0.029743479672948058,-0.0018709541079221896,0.07076026553545196
LIF,0.007697967007722453,0.027487046538138736,0.0077550737370887315
IL17B,-0.031032924704849533,-0.0036714021077494945,-0.025007170808453535
MMP1,-0.03194568808946866,-0.022887117301515277,-0.05596413103119531
MATN1,0.06394846927865575,0.10328958143689042,-0.0010309438845255811
ADAM28,0.018823272097994944,-0.052405185055249194,0.025798584461797135
TCN2,0.02566673863165073,-0.007198172975897401,0.03306770070119676
THPO,,-0.007539867617405864,0.026075689985633102
CUBN,0.019324285964370476,-0.011858961055672506,0.12093182685172568
TIMP3,0.0722478954590874,-0.0027370286830407874,0.011134174833246963
PIGF,-0.02658205258811045,0.0753258419199192,0.037891757178174265
CRH,0.035191450355180696,0.060837841254161015,0.09519112862202878
BDNF,-0.022483703141926333,0.03887342971857296,0.06796703377671459
CCL5,-0.0368944791498475,-0.020537012437287866,0.031891286287572325
GAD1,0.019824658670317845,-0.027045775316588524,-0.011418187509818356
COL14A1,8.210202739747744e-05,0.011582951792740749,0.10778303610684459
HLA-A,-0.038896810278048144,0.002863361972971617,-0.06050619833552955
FGF18,-0.030254700030534477,0.06966123125441313,0.08478390980240727
ADM,-0.007459177398116831,0.015979017577921216,0.04295271417846297
CCL15,,-0.016311581536924216,
GNAI2,-0.06393258051419345,-0.05795522380384184,0.0047287337835273625
HDC,,0.021671970029344605,-0.02278927554740833
