,ZH881T1,ZH881inf,ZH916T1,ZH916inf
IGFL3,,,-0.008383324161638414,
BMP1,0.012437472758959586,-0.016854084612029998,0.03379503390123766,-0.08620815359157277
NDP,-0.005266256254199174,0.019038694638447554,0.04006535263605433,0.08518934022237604
TNFSF18,,0.08568992448816355,0.06791546588483123,
RTN4,0.08363882572624838,-0.07549336823995287,-0.010016076674223304,0.19739925781598952
HEBP1,0.01561196327416082,-0.057408317472843355,0.018744434113643297,-9.360188105941263e-05
WNT7B,-0.010370272878726503,0.09144553930110705,0.005510141375580134,0.004819469526933866
PTMA,0.025031804283418096,-0.026936857030968472,0.021522685692109696,-0.04497363011768703
FASLG,,,-0.021834923446295274,
CEACAM1,-0.026825833977474255,,0.08244244517801645,
PDAP1,0.01321027274722092,-0.10126559278636378,-0.01206372931668861,0.046033004683735196
QDPR,0.004734291798629119,-0.04604410131527361,0.053671939423792565,0.08963448787754587
POMC,-0.008402980334765237,,0.014699733265987228,0.020736769872636576
CCL18,0.005925364516988945,,,
CCL17,,,-0.01979090561378599,
TNFSF13,0.03416830767740203,,0.019680386052888535,
WNT5A,-0.018271545091816943,0.14777956927004626,0.011572556402599904,0.10523871116901978
CXCL8,-0.032675536898641916,0.06136106542843654,-0.06394431448102865,-0.03332177697646899
GRN,-0.05664322546800668,0.10409387941768573,-0.0016564678261585225,-0.12425773034243057
MIA,0.022427527839045093,,0.04164689252092874,
COL4A4,-0.01614717870685367,,0.11681536840232166,
TAC1,-0.013312102146242663,0.018310935819210998,-0.026017157853307587,0.15216640071522056
RARRES2,0.027806393164951215,-0.04657780953519364,0.02639145289469396,0.08393510842500233
FGF7,0.09107310305143698,0.10117071616509761,0.009528637365137378,0.02372866517920628
HBEGF,0.03299278980276926,0.004105123302217653,-0.0018745910685090432,0.03877200334696325
CSF3,0.03595141989248361,-0.04625229110294344,-0.020836770503771123,
PI3,0.0012835596264360784,,0.012605230494779487,
PCSK1N,0.06207431187933043,0.09293926652734731,0.02639636740686259,0.09458142435353536
NTS,0.05744530140978238,,0.02509528818561115,
SFRP1,0.0017184044762489816,-0.04902923435762295,0.04125955317942737,0.006012871219386447
CXCL13,-0.056448964510699466,,,
MICA,0.053938379154528426,0.0936631370694888,0.019589270076098956,0.07703122340366729
TG,-0.0316519343192181,,0.021400749451471458,
ADA,-0.04405030682223935,0.024508294928356905,0.06677283287520826,0.1399596759134964
LAMC3,0.022890646728202464,0.09270730366191175,0.028218473953772256,-0.06175670798519771
CCL7,,,-0.021834915682057122,
NGF,-0.015855950909864986,,0.035733022168130436,
TNFSF15,-0.02388206662194725,,-0.010417104971463774,
HMGB1,-0.008098414444729576,0.028685510538602358,0.003969103355627043,-0.028751559046806808
ITGB3BP,0.06964512096992097,-0.054552297210280376,-0.02175950199723605,0.09866331490526326
AANAT,,,0.0518649999815659,
RELN,0.11178885049801993,0.08787664922137284,,0.15832117705084736
IL15,0.08197611089380845,-0.048076666952601814,0.07647629695603667,
BSG,0.019801582909182193,-0.06614614183125776,-0.020070376944360292,0.14703128123888332
ADAMTS3,-0.02547554880496891,-0.07511391609715984,-0.0051612838047896325,
CD34,0.011734826757451878,0.014400426655953872,0.047457514544294956,-0.015322830781473956
PLAT,0.007079963545738077,0.03507832347933363,0.022029589693163286,0.05137320282168853
NTF3,0.03869191551067042,,,
LTA,,,-0.031092148731209114,
CKLF,0.01898597298624384,-0.0592791260899087,-0.032794420208498175,0.08030753091668323
CD24,0.017010858325435325,0.05214307629321782,-0.026526752571928075,-0.030622297026132686
HSP90AA1,-0.0059088378891142285,0.06767567192249332,0.052442162490246816,0.04660891984838866
BMP4,-0.024703072973839436,,0.01805907149707067,
SCGB3A1,0.04315350475733011,,0.00865794250282775,
IGFBP4,-0.027936284668227736,0.05699631103604958,0.040814922546822396,0.19750815715481335
RSPO4,-0.0334004697140157,,-0.02007378149218451,
LEFTY2,-0.037443224788105085,0.08636354932569903,-0.02316583099280113,
PF4,,,-0.0021627644330525445,
ANGPTL2,0.019714009082666073,-0.03639632187594374,0.021118887375079703,-0.027662998743097914
LRIG2,-0.035252003777128726,-0.004725650714566372,0.06732134719309465,0.014583902973810679
ICOSLG,0.03665111491148507,0.006405687347599303,0.04602896377138588,0.00961638205816337
WIF1,-0.031048971832337954,0.0949597907760689,,0.1780542648591588
NPPC,0.009881883970366195,0.09289693217682707,,0.07368858912024095
LYZ,-0.047003524596302915,0.06236756488162345,0.032391979935958264,-0.0723703544921525
EREG,0.03925688845182177,,-0.029248422413421363,
SPTAN1,0.041493508047424466,-0.03733702395525699,0.024826642692705066,0.10097710242449122
PTH2,0.03490900138892346,,,
LIPC,,,0.004872695265973357,
COL8A1,-0.021078952951170037,0.040503975686038876,1.6435581595232577e-05,
GSTM2,0.005227825721452006,-0.03533805315524405,0.021507307457182382,
SPX,-0.0590212223949051,-0.09285697206679595,0.0643409298774442,-0.014254267300951898
MFGE8,-0.03964784218894555,0.014921704324715197,0.03553194476773914,0.08643783296070451
TGFA,0.011873991803530104,0.031803253700081795,-0.010360668702110757,-0.02880785848845895
SLIT2,0.0584612486739077,0.026951380359830652,0.030049010939868285,0.21962091917245521
PLTP,-0.0319454154715114,0.023186898210967564,-0.004952443234489597,-0.02738481403803048
