,MGH258,UKF243,UKF248,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,0.005971062742201615,,,,,,,,-0.011306153506417003,,
BMP1,0.07758769771663451,-0.09130680273145557,0.03399565620567482,-0.10563290713163588,-0.05527401124046776,-0.010105305407192514,-0.03065625516558035,-0.07989764901374305,-0.07595941540537109,-0.12504758299834656,-0.0530621036334234,-0.023800274712632637,-0.02099938261495658,0.01669064826114314,0.03184455128354155,-0.08085193277056352
NDP,0.018741223094281757,-0.03893514471843676,0.0080033253686447,0.15365752862666926,0.06120108873923673,-0.06933591339976224,0.02467676416190345,-0.006457698525364386,-0.0025742774074130783,-0.03247997780903542,0.06362161609639731,0.0858018539913686,-0.030031713662911564,0.04954936782917365,0.015836069915907924,0.017564218620830123
TNFSF18,-0.01927998321590006,-0.02795777803907072,-0.04409499797224464,,0.0019170613014987687,-0.03623971277288807,0.016064170746038012,,,,,,,0.06164171392559034,-0.02024633111252089,
IL36G,,,,,,,,,,0.02941690844386163,,,,,,
RTN4,-0.03975851547653435,0.11146452619331937,0.10177520927928597,0.16214370409276302,0.150023034132031,-0.0058576663216909925,0.11934740538112651,0.04239718787813052,0.3506064965254142,0.16787985833101765,0.01958122598480902,-0.0024977682065500245,0.10359948277594037,0.010280605572262494,0.09960179317401885,0.08433374130245944
HEBP1,0.06264694796042998,-0.06954569421283814,0.0022385480115645106,-0.031800600423020915,-0.0787590893382384,-0.008282549799508385,0.01074706940557596,-0.023747670741674994,-0.06939382364730103,-0.0013010029727130502,0.047899510345097276,0.0640701024015396,0.04402853692158678,0.02572015788028939,0.06091284092479737,-0.08627023700562601
WNT7B,-0.01698506134734137,0.17006077973290462,0.03184097892432586,0.04115119350351035,0.031700899658112604,0.018261652465147837,0.031588378787834215,0.09579330453599395,,0.047837409918199666,-0.06232053345724239,0.006486557427200659,0.06916790605962068,0.01752241203125836,0.056637335151094745,0.029041462707261524
PTMA,-0.014601515032450581,0.006893774289834692,0.0356011572779514,-0.10886346386475365,-0.14503644620927672,-0.047653960869319466,-0.02222992589874642,-0.08195912972507241,-0.361787451305144,-0.19361241117936506,-0.060245567317855755,-0.02747886985994196,0.00593380125568564,-0.036142951138548145,-0.059046177353747877,-0.15318400759069328
FASLG,-0.0169850661489747,,,,,,,,,,,,,0.050718864285453906,,
CEACAM1,-0.023583912995837508,,0.048445188836183775,-0.01030784620719967,,0.0027861349139635815,-0.02562899507783939,,,,0.02628563861555455,-0.013164185830738712,0.0001541419959819348,0.02172963639437352,,
PDAP1,0.022649038448072995,0.015114072419333756,0.03322438848278232,-0.03265555554850935,-0.025036223947583498,0.05023610448025312,-0.02565403224600151,0.036518733385582154,-0.0056191367863062235,-0.1096142341362891,-0.015918301445796316,-0.007402931296194171,0.054747547181093634,-0.00410732693344592,-0.036071770373261806,-0.043627004507242044
QDPR,-0.06893512762912392,0.07710611714171216,0.01586539542964068,0.12857316167163502,0.09918525045983469,-0.07284823840811998,0.10082776384269353,-0.01874880411075288,-0.1885124382880182,0.02283864789665619,0.08015939925267802,0.08709244370253354,0.015659086716086373,0.017431658610739767,0.048459041392214366,-0.06789568807961328
POMC,-0.020960806056273238,0.057431652651482014,-0.0025791789333550474,0.16222094028443515,0.006683140242430182,-0.03083044143439451,0.047749575761191036,0.02471003111482376,-0.0240698007969539,0.07879957169630206,0.004836231852532173,-0.0037347547032413214,-0.017861172262842888,0.04274068982107365,-0.020603749851007738,0.011206439817203288
CCL18,,-0.037493679157069644,-0.04872516225465783,,,,,,-0.12946698193350306,,-0.019452120580364912,0.011544921375403354,-0.03459638323311486,,,
CCL17,,,,,,,-0.00440232131510346,0.011482174102730029,,-0.022656484727911905,-0.02942379179977697,-0.021131334871984264,,-0.021224958607315898,,
VEGFD,,-0.04224441757923294,-0.034296242792022216,0.0398085822533783,,0.02603111457329109,0.03448598733654026,0.012706874480587375,0.01276208574522281,0.03221061569250011,,0.040860788122939355,,,,
TNFSF13,,,-0.036769582694710846,,-0.03792273985864599,,,,,,0.04157282293556608,-0.007106515702353362,-0.046055187409343154,-0.022563736344921714,0.0029586049813802723,
WNT5A,-0.05660150728958765,-0.013564443101137098,-0.038586287711709896,-0.08761726533221702,-0.09139358374958882,-0.012762646040586158,0.025218378180029824,-0.06433381379909406,0.06965983055484325,-0.07427912922808935,0.04979738346757308,0.0008451357725395083,-0.02740013831403677,0.008661922733802223,0.0087073772537802,-0.00472078309015497
CXCL8,,-0.13967137656942685,-0.04407314772589956,-0.05953232937864855,-0.023857794918963896,0.020646069207356683,-0.015076379097890676,-0.022325188885900904,-0.13182725621209215,-0.014437876358201235,-0.07082482507868636,-0.12904797268927162,-0.07977539639478391,-0.08230969205055175,-0.09876349175759791,0.02983025310077773
GRN,-0.05837909650167439,-0.08215745713633399,-0.03359600886687193,-0.06758291817309936,-0.045838348438170966,-0.019901909295593875,-0.05236733311287298,-0.02105438095602296,-0.2123699285939234,0.023098790488521224,-0.03115890593837476,-0.0921626201911599,-0.05730197216906422,-0.02965533223211152,0.0462520134393958,-0.08115911210529868
MIA,-0.02223198659047734,0.0050735366284161395,-0.03350719692558579,-0.05121070668369788,-0.04985631040856154,0.0450420847057672,-0.024653035762537048,0.02662340137393407,,0.04129545905660883,0.19055523016703366,0.19221689126641467,-0.0017101084937902078,0.11579175970811795,0.04698424698673383,
COL4A4,-0.019670776219798874,0.08731350564953144,-0.032535684077736854,-0.07225807371517244,-0.024143987479419846,-0.005513332766355486,0.009087729494970978,0.05307144335615882,,-0.03225842973686747,0.12116336793015305,0.07866432510756732,-0.0028512815182732873,-0.04043691157304986,-0.05330034031516492,
TAC1,-0.016985056908099077,0.159129737289847,0.05721143934626309,0.1778570726878068,0.11669027629786384,0.05642370971734903,0.08641642934662612,0.006103999905655862,0.2018141076689038,0.17493109710481286,,,-0.0255711886307829,0.04969820742452867,0.0470319436705234,0.01692127679452119
