,UKF248,UKF255,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,,-0.010784304190046822,
BMP1,-0.016094609951829188,-0.04880223291722976,0.046168511029034846,-0.0183604048979889,0.0015535788721072735,0.00293922642730553,-0.020681187516495773,-0.04623317158309566,0.0023391018424692416,-0.018088238939551676,-0.06810001673931736
NDP,0.008801257535725833,0.02085131423791175,0.045316221158254115,0.05300530051116728,0.07627133191743514,-0.021782515366700537,-0.019398360921964883,0.047102660039072625,-0.06180418466454359,0.046629989104963965,-0.0428442010915464
TNFSF18,-0.014915548581467606,,-0.028742980334426474,,0.08999914967386496,,,,,0.03262878054684085,0.031159905922072184
RTN4,0.04660471175843404,0.05035385085751243,0.035416554159765926,-0.14371326421898223,0.03553032094013184,-0.04154401386681058,-0.04441141126762992,-0.0061754048401941155,-0.01065208653510483,0.019744276610717554,-0.0070093817858547045
HEBP1,0.0440948662870574,-0.03816317207967383,-0.02487117131224678,0.03517690009396331,0.008749777303367037,0.009097491563503203,0.00030735843699316554,-0.016273596318673696,0.029509308854969968,-0.001998185287016903,-0.0037553202110934174
WNT7B,0.06992466401021011,-0.031103833501492564,-0.007769162907908456,-0.053273271359868334,,-0.03139835667390247,-0.012688631217234913,0.007998865213466565,-0.029643505865378485,0.017344977489816144,-0.019601618151541343
PTMA,-0.009700958253486937,0.05173159035861974,0.03168152927495751,0.08387503645663731,-0.06914609735703237,-0.020972442126864426,0.058418213341014644,0.06330616431634434,0.05407111727299714,0.027378676062389605,0.11210573352899356
FASLG,,,,,,,,,,-0.02290017582695277,
CEACAM1,-0.01733250418104153,,,-0.05188999026364675,-0.05242126252013248,0.07655894405331896,-0.007850908440069783,-0.03308178602954615,0.06314967181376363,0.08953974931945051,
PDAP1,0.014821132928921035,0.0024229984456457816,0.01948723717339145,0.02949193416370549,0.05060226048506952,0.10576245718459214,0.02516931450197122,0.06978833050731811,0.04839286906934258,-0.012764249853985268,-0.060168962312043224
QDPR,-0.05355902183610394,0.036007595495059656,-0.004272359458543439,-0.1180470434611391,0.02641679704275941,-0.0063486468410783444,-0.0033446129143849747,0.02295394686364247,-0.03293289061707759,-0.04421662113349159,-0.00020049168382717402
POMC,-0.041079970980401025,,0.044482252367517724,-0.04269403636749185,0.0016260745412891417,-0.04412063760974915,0.0511399204318674,-0.0509252750782122,0.03039413655017793,0.060323987803438436,0.03951639203649694
CCL18,-0.021629327573143894,,,0.004438413925094325,,-0.01996487434210964,0.014711347834091264,-0.03452287668662297,-0.008982686964713264,,
CCL17,,,,,,,-0.02487678763732801,-0.04775563498944897,,-0.020756437248110552,
VEGFD,-0.021629334441468452,,,-0.050126285994132415,-0.07126555764559944,,,-0.03308178602954615,,,
TNFSF13,-0.016322189850802967,,,,,,0.030589246876768585,-0.015674620258774776,-0.0170524045426743,-0.0338208820263728,-0.05087711065281834
