,UKF269,ZH1007nec,ZH1019inf,ZH8811Bbulk,ZH881T1
IGFL3,0.03700475470585754,,,,
BMP1,0.07001412286469436,-0.017896936157562944,0.10153077339300148,-0.041264560006849034,0.027296877807899408
NDP,0.010177338440932408,-0.08518334438970744,0.02517537426192777,0.08580254581922284,-0.04324539710018041
TNFSF18,0.06459010381979714,,,,
RTN4,-0.07586649930128334,-0.07677791298107083,-0.10785628599549708,0.002830247566547126,0.004116108652740518
HEBP1,0.08749913086554181,0.023768384139278977,-0.005548797499015024,0.0005197090982321085,-0.030696384740777318
WNT7B,-0.026542926783608613,0.038105287598164145,-0.033623424995178966,0.053908522117124914,-0.02260738296478609
PTMA,-0.06748510233488082,0.09286550159613177,-0.017016117898924765,-0.0010444042057630887,0.04180090019962411
CEACAM1,-0.01637416954436147,-0.045795380859535634,0.016331311711565343,0.07318279743484844,0.03473963500837361
PDAP1,0.03716620936705041,-0.03324032710740472,0.07184397421326738,-0.07638080126655836,0.0006416739414229983
QDPR,-0.0890150997369037,0.023254962529865673,-0.04772858027711143,0.03878810477396557,-0.06228359843361768
POMC,-0.03786441053626799,-0.02973204081363343,0.07681386317071023,0.030523509340607782,-0.024545961627801614
CCL18,,-0.03926714491043454,-0.021379700280239628,-0.007253412130778386,-0.017942061516851033
CCL17,,,,-0.02610108793047738,
VEGFD,0.00545228076225085,-0.04423882807670376,,-0.01808102030776464,
TNFSF13,,,,0.05842603387478671,-0.016849439616576325
WNT5A,0.07006214933470006,0.0010937191181757354,-0.030931493405267844,0.009835319158487076,0.04638213976311188
CXCL8,-0.03491163907863768,0.11393757922631916,-0.018107833761381045,-0.10531555708383879,0.03219046704632759
GRN,0.0970047551767799,-0.09081424490101346,-0.011578095694903763,0.015017094518097922,-0.051003128049812635
MIA,0.06944505488718059,0.08271370620638252,0.043080348456003024,0.08799665642115229,0.03332403003908804
COL4A4,-0.014812513362237692,,-0.027030621311518732,0.027059186755621262,-0.030239956626275197
TAC1,-0.05216390928299121,,,,-0.025887638917310024
RARRES2,0.10774246274345388,-0.028279555675510878,-0.006685756443836521,-0.04806235677860938,-0.03141281342053479
FGF7,0.1372180110317249,0.07285896925942548,0.012328927410586252,0.016801436419528856,-0.048057678916574406
EFNA2,,,,-0.017184799765012786,
HBEGF,0.06378604449999394,-0.0475735081763967,0.032039489747859966,0.0008453005560748458,-0.031370597394869394
CSF3,0.032193901822848994,,,-0.07618566957049225,-0.021511500495667867
PI3,-0.017646151479256522,-0.06285643364985309,,-0.1199124507980612,0.02137489831962468
PCSK1N,-0.05840739004360564,-0.07940327190031538,0.020139186538319115,0.035204616962818985,0.008496960296668618
NTS,-0.019261979233608607,,,0.037955843492101814,-0.012965017024991898
SFRP1,0.01869362761319355,0.0018543407920864632,-0.04457823460260747,-0.007636116573050395,0.017753903274243633
CXCL13,,,,0.012521480052225442,-0.035089733762831775
MICA,0.0345082455750742,0.0006606316639742535,0.0645233557310416,0.032858554724638604,0.003340413366576781
TG,-0.018913922232028476,-0.06204542675094232,0.0442273200131409,0.08592870567158231,-0.017704295466145555
ADA,0.08139326866111699,-0.09190872808395541,-0.005212612404094634,0.008378693322861447,-0.042551178842677825
LAMC3,0.10819890842779407,-0.05034672314000979,-0.012060968712422113,-0.046587140565760445,0.02169151822037239
NGF,,,0.08056397876756302,-0.016953807144713375,-0.036930545467224074
TNFSF15,,,-0.03208661403202394,,0.09640645015277195
HMGB1,0.05279085804215721,-0.008940650587274682,0.008275131697345745,-0.05410892646953856,-0.0034833232062917046
ITGB3BP,0.03390941416462697,0.06640215263242753,0.021423167624843784,-0.0016000551463186488,0.028003674214591486
AANAT,-0.014135985433593463,-0.05347645425698778,-0.022267854039146162,-0.023126086055715197,
RELN,-0.004647871277959958,,,,-0.016135345514014823
IL15,0.029106517560813724,-0.027126716401252242,-0.0376424268140656,-0.03178462025381175,-0.020915117847588146
UTS2,0.10563763497424535,-0.07998283721898825,,,
BSG,0.008757878166335355,0.011248059961117171,0.0009281087879978451,0.07105309705977028,0.028542227308834312
ADAMTS3,0.08653278633804676,-0.03416014419360246,-0.02666348825036656,0.05682132403929564,0.009200527139242404
