,MGH258,UKF251,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916bulk,ZH916inf
IGFL3,,,,-0.029219754547098947,,,,,,,,,0.053635814040480345,,,,
BMP1,-0.056750554901234734,0.0472343197300279,0.014112407254633398,-0.08797994779162711,0.025843830709177985,0.10396903609328309,0.06106207172491584,0.05281624888702706,0.006200950823875034,0.08217525296928295,0.010965804169049556,0.026819088984484683,-0.09276181450600948,0.015445235839999105,0.09334762445345149,0.008665934419730724,0.04021456949823882
NDP,0.004980854368270269,0.0702022015486548,0.009336967129963583,-0.00797773539995929,0.020877984784030156,0.029604695190629374,0.06687535003868414,-0.030510942808624843,0.02180713731843745,0.04440717085046987,0.04777634464124268,0.02705257773665925,-0.004720454138218773,-0.007889959818120271,-0.04253094968243107,0.05618327701761571,-0.038795168905684865
TNFSF18,0.1022201174975193,-0.036028861531233525,0.04852690595120919,-0.05799569168097127,-0.017684541271001587,,,,-0.04996537775273876,,,,0.03471601631008574,,0.058269588240059685,-0.02297332038519451,
IL36G,,,,,,,,-0.014774766112154876,,,,,,,,,
RTN4,0.11152096433601955,-0.03860986522306984,-0.10864187579144496,0.033093143216633314,0.00401684599144583,-0.11397114456042674,-0.09051731991512434,-0.00397850677334323,-0.05937264280261761,-0.009211977554711464,0.01883740279337793,-0.04635433552907349,0.03017027886839522,0.05898411941972607,-0.008532797033623382,0.11156434388162983,0.05318252512966401
HEBP1,-0.015089359210860492,0.020627398202903546,0.028209564904731633,0.01481440706294542,-0.0003131447676074057,0.040330100592110556,0.11294619709981345,0.029141156073713252,0.030090966559473128,0.01883747086799367,0.005324865682766196,0.020183497756722832,0.02225214763437441,0.06254323948248915,0.025849278956283517,-0.009919817396392066,0.11562840031426434
WNT7B,0.018821628771874207,0.0018053025019123285,-0.008303972975061462,-0.06696272368774361,0.022459137285857352,-0.06813089510589225,,-0.0020842579226194604,-0.02724353042527741,0.0029636088548649726,0.09458032439616366,0.0009793483678051484,0.005298215279555111,-0.025860405958167635,0.16252366781376448,0.0902031832195359,-0.06720082539369096
PTMA,0.07524678502863691,-0.016714857672499802,0.1831527288197414,0.1405398024748346,0.011036752306848866,0.014131058045890576,0.21332808509570658,0.11804692732244197,-0.0005434606848666885,0.005152177584654097,-0.12351831413774682,-0.06744856650606272,0.0785343617529846,0.005191947178105241,0.090167478682789,-0.03444193209786498,0.03907200367517093
FASLG,0.0324203739264532,,,,,,,,,,,,,,,,
CEACAM1,0.08587630795538681,-0.02339780982129344,,-0.0231628870016205,0.03214947750518338,,,,,-0.06331016183636805,0.08814993316648223,0.06565907396427469,-0.001436653544894668,0.02759266872207196,,,
PDAP1,-0.07772721946022178,0.011912076124291508,0.04007328125673173,-0.07237050985745429,0.009021255463028123,0.0008905587492426164,-0.07024681118940865,-0.006940881168108041,0.03680682352466773,-0.03837350705122164,-0.03751700148764989,-0.05703906405743221,0.0033698541438328226,0.011575542995828855,0.05420157500734196,-0.1069888930696261,-0.017000791245695895
QDPR,0.11685426372239525,0.0005141199105177211,-0.015062188946849932,0.22130676175802247,0.00976601427097892,-0.05059697497072504,0.3243922619896697,0.08381988717119172,0.09618951713082566,0.07269221337923057,0.045199538897517155,0.08320557489537633,0.06676608160420487,-0.0011018522761698925,0.1131810025864596,0.09860243648556641,0.11263368469371135
POMC,0.03284939503763117,-0.01068486027167682,-0.04349348643021712,0.044041381174016486,0.07581720857372723,0.05695139016773405,0.056129744011627514,-0.048011276828463074,-0.027604114687260355,-0.017303213581459923,0.12371767903520972,0.04345584438039234,0.04152150059086021,-0.0008860757953690452,,0.046055656877849085,-0.03252164151750068
CCL18,,,,,,,0.10507510279788662,,,0.01553660396079578,0.009433777463643498,-0.03674026658256481,,-0.01610048190144412,,,
CCL17,,,,,-0.009653802664613754,0.008280746638945275,,-0.03143858111895792,,,-0.018825847846875784,-0.02771747502311136,-0.030615320034789312,,,,
VEGFD,,0.004271503444219155,,-0.007995865089669011,-0.023498872837213216,-0.0044529693195220444,-0.03743881137262408,-0.013345569644264681,,,,-0.019200740984732952,-0.03695546167263887,,,,
TNFSF13,,,-0.02151103915385653,,,,,,,,-0.03612397433242594,-0.030127947719799972,0.0007267573524833303,-0.019273940257968247,,-0.027143303919400265,
WNT5A,-0.03900555348552195,0.018953091991471084,0.1463095471346409,-0.09830860052302928,0.027697735978683757,0.024559795803290305,0.014520592746073126,0.06479147441352277,0.01261617204132521,-0.009830870523998293,0.020406256708421083,0.03827503258324847,-0.00833223456580201,0.0313249452571935,0.12410575587637837,-0.042767330652092636,0.08754203225667603
CXCL8,,-0.031379276219364774,-0.017841813557547884,-0.014505851641683928,-0.029340356318152468,0.03433279050493724,0.0375987776264897,0.005546705329209337,,-0.07375214517639275,-0.027671864474410484,-0.08171939751419052,0.04893630427941619,-0.02594582709205678,0.052984151464627295,-0.15327623691599113,0.05334460250880021
