,UKF251,UKF259,ZH1019T1,ZH1019inf,ZH8812bulk
IGFL3,,,,,-0.017543369715412184
BMP1,-0.04747499146846353,0.013439069111274434,0.08821641785651713,-0.0097490353373803,0.04066757473200542
NDP,-0.003926384131294339,0.09210366259429054,0.16917018011202462,0.08156485127258183,0.0659610078109976
TNFSF18,-0.011999820913094435,,-0.01702253460007229,,-0.01809216752884439
RTN4,-0.027201841182310938,-0.05458221532342517,0.05018997711757841,0.030936348471553753,-0.11154748622768286
HEBP1,-0.04166519777653896,-0.0199793657394335,0.018829307648870832,0.02314971124241369,0.04741644154314058
WNT7B,-0.015709236383796548,-0.012421204733568518,,0.04744292529330595,-0.03783218592108286
PTMA,0.015966525241677763,0.01764846618582341,-0.11055914334672161,0.048389609432292716,-0.07727937209537629
CEACAM1,-0.012055894077618265,-0.012266738401104574,-0.028694963123403406,-0.032764249290091904,0.050883024801726025
PDAP1,-0.004373840106938427,-0.025620207274579816,0.010948488290237946,-0.06080465631017319,-0.024054076794144785
QDPR,-0.081190301704502,-0.023775431792096638,0.011684201476676346,-0.005990984234683219,-0.05419817644913063
POMC,-0.021421400347270428,-0.034264163914054915,0.06574197836249698,-0.0006793737277857647,0.13239062628780907
CCL18,,,,-0.023230391442608533,
CCL17,,-0.021326318636505557,,,0.1577952936458794
VEGFD,-0.017267649499801408,0.025963342982087856,0.11263612587518224,,-0.0243949261194806
TNFSF13,,-0.014710417298356619,,,-0.0045807267716870895
WNT5A,0.015951087556608116,-0.01560548580528636,0.09824027763500581,-0.03396500518307025,0.03260180803178094
CXCL8,-0.01616840350538735,-0.04058806017559424,-0.028539230445956357,0.158416944642492,-0.0029534764726837177
GRN,-0.0027267929690063548,0.025727699787168982,0.026227531811223757,-0.051899390399127006,0.12101268285917462
MIA,-0.01535663988963903,-0.008857595450825446,0.05123059057994272,-0.052387061015326274,0.09991855831690107
COL4A4,0.06584511619603944,-0.037785675670307176,0.006131170258298001,-0.029370473195261208,-0.03562977140023399
TAC1,-0.0023238012074431767,-0.05202770508980175,,,
RARRES2,0.012266970598864457,-0.03293086541013424,-0.1260692478114479,-0.004959582279646597,0.02710769640394947
FGF7,-0.01948973538588769,-0.029739795478371533,-0.02392140060450216,0.08451504990947871,-0.03114825639703386
HBEGF,0.01284336440978149,0.006283622487400152,-0.009950480015659943,0.019832510642183124,-0.03892330955349723
CSF3,,-0.02541911230821714,,,
PI3,,-0.043865713575161266,,,0.15851069184895594
PCSK1N,0.006103280817946415,0.08795744878512268,0.0104901760780417,-0.08141288715199753,0.0023500207776179457
SFRP1,-0.036936918338511864,-0.01860803734913831,-0.10035634290895284,-0.03164384132500651,0.00791659686983333
CXCL13,-0.01734830099143409,,,,
MICA,-0.03497742112925158,0.0014603497144545004,0.08238007688544201,0.017902687562301376,0.02028502080062993
TG,-0.016393586872119174,-0.02008102045004168,-0.026952657934827776,-0.03782450848428564,
ADA,-0.0237404203272359,-0.05253131177252137,-0.09947509734475421,0.09843852237043936,0.03114483573134942
LAMC3,0.018858997581172342,0.021994559342551415,-0.013875876786773047,-0.07158340987849823,0.011860606956714509
CCL7,,-0.014518545701345266,,,
NGF,,-0.00636413127224563,0.016520837556589934,0.050973213031974864,
TNFSF15,,0.0020902524000609773,0.1164540113043157,-0.0348641278531271,
HMGB1,0.020239510654255076,-0.008019797005542987,-0.05138054001096235,0.05511976405712249,-0.01839611184210481
