,UKF243,UKF248,UKF251,UKF255,UKF259,UKF269,UKF275,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
GRN,-0.022701163188917694,0.09480480541185184,-0.027978316343144006,-0.04410162493782698,-0.046218256526889503,0.08901272290279541,0.010385623590178375,0.058770603067679776,-0.009644188990304007,0.025782725221391578,-0.002317443081826934,-0.0056040383719122185,-0.05165330949100444,0.08903991114858434,-0.05253628267624473,-0.01271990336355661,-0.02972189790779167,0.014746308571456854,0.19679908744361677,-0.054921786949842934
MIA,0.06548279351547615,-0.012696411006457388,0.010918486940404837,0.036160192318828416,-0.009334661885301953,0.048521045973897524,0.0282888851203967,,-0.012490656004529867,-0.017058805411855883,0.06043916298450435,0.11249867574327221,0.03370741253098845,-0.06333199773739259,0.08731765937632827,0.11309038220471462,0.03915266334589618,-0.049119062513672415,-0.05017782930868552,0.04348142696703958
COL4A4,-0.010337590166388726,0.048161197299092906,-0.0125197264802585,0.03613319566123828,0.02277973572962595,-0.01715226255552843,-0.014452029736127954,,,0.023281668264194408,,,0.02228042687829042,-0.025241790436631602,-0.009028264719352423,0.06876131657772956,0.020878828041211963,0.0748352306388658,0.03249582463534995,0.02258486226726137
TAC1,-0.10150586074786502,0.0300087523266635,0.05997968943247926,0.010563128007909851,-0.01624540037652277,-0.0444818119514015,0.012379738107757651,-0.00791153441269586,,0.04567624895138487,,,,,,,,-0.046628440593973974,-0.0207541150148883,-0.08631694960227293
RARRES2,-0.024090451107281072,-0.0077044020651851315,0.08972600545617933,0.04097911434960961,-0.013292471403304727,0.09000308756556348,0.04250755425728612,0.04318782046490023,-0.156870297105149,-0.005606842203253701,0.019851450950567544,0.11063461217178407,-0.11260342549918737,0.05860437201874786,0.012615226339783675,-0.13081001304016043,0.03360636910826134,0.08648728280994566,-0.02512120685514751,0.12887714271622067
FGF7,0.031100884894766274,,-0.023557077799959254,0.0020818894331453915,0.04505614594514327,0.04305263536347125,-0.0048092749815309335,-0.03651466054555404,0.0007655818381322242,0.03118014256332301,0.028165178000461047,0.010607299460018954,0.10723143892684349,0.013131431185453138,0.00677020997402903,-0.0465616081306105,-0.022690576661226057,0.060998510076907195,-0.02335112160784446,0.051428655685291265
EFNA2,,,,,,,,,,,,,,,,-0.021412490363228804,,,,
HBEGF,0.01812741936876088,0.09235921404759823,-0.009263792902737012,0.000679117778065057,0.043988867180808605,0.06028121114508908,0.032381818268104046,0.027603695199099852,0.1839290423391749,0.0402210871865642,0.01096383053719044,0.09715668440283029,-0.003934531976002572,0.07783405835447248,-0.061380252626524696,-0.00550286099818898,0.05000041841046918,0.03305433569550922,0.04313935555456365,0.04470922590802372
CSF3,-0.12322588822663734,,,0.11594492662205899,0.07897851363298296,-0.018146763643690753,,,-0.05630809563932547,,,,,,0.0042504188441192334,-0.08257229609842695,,0.011086020041935742,-0.03985284497256409,0.08150130500842825
PI3,-0.015611241371541688,-0.058238668216628355,,0.14063513036380412,0.025041838009488133,0.05449329205949258,,,,,,0.11255065347726129,,,-0.061944530460841675,-0.1614393581576878,0.07865632586684576,-0.002883852312245094,-0.08658699231559328,-0.04689153526826432
PCSK1N,-0.04120593046833193,0.037899312360364826,-0.007562489096596683,-0.003769432710908505,-0.02477271922868674,-0.0753870599962556,0.047961618869545884,-0.06284881678474169,0.06531633856011894,0.05141091856781211,0.023600637415561017,0.05568434452868397,-0.07179749558340526,0.010425818681059634,0.025860053269194796,0.059928813979655424,0.025994334573034638,-0.0219328420678039,-0.16661258187454414,-0.10702135947834655
NTS,,,,,,-0.022304555417061264,-2.7555151909033085e-06,-0.018917991196702167,,,,,,,0.02200660227728758,-0.009436110289266744,,0.07017096250237204,0.014588606649302463,
SFRP1,0.02752506933928271,-0.005351560843067547,-0.0034797113205793768,,0.028449645287121475,0.028340746667771685,0.04563480559609207,0.04611270943515165,0.06195628171530442,0.08750604520396679,0.008748742098431765,0.005849045115225911,0.008559175044094255,-0.0702002329645238,0.14938485176540214,0.08968513550207034,0.02860125162933435,0.044596803362581955,0.13071021687555584,0.07422321950021762
CXCL13,,,-0.05004224503918908,-0.0279108445732573,,,,,0.1632681581797584,,,,,,-0.009890861078224612,-0.05997797454102493,,-0.036364762145089484,,0.23246784086623062
MICA,0.0737630011786839,0.022081076455372755,0.011285884973485052,-0.05635656847932023,-0.0004909998860316436,0.1277575723952858,0.0067791676915363005,-0.04909219599383916,0.0444489831334166,-0.01106283273515296,-0.02308211881887537,0.08021065531963535,-0.0030390683327701663,0.08104976335867524,0.009274611812506703,-0.011741166916627256,0.008282840420755038,0.05027926429771995,0.10780622645346463,-0.014915934863622573
