,MGH258,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF334,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,0.010036917000402875,,,,,,,,-0.015610214177583442,,-0.031029719224494195,
BMP1,0.03857788945306402,0.022182285147120024,0.023792494008000403,0.014870177971843444,-0.020606804987746846,0.018304203499339738,0.06791558711347702,0.057911824222302316,0.019742035293076995,0.00048683629559709654,0.10801601095596798,0.004468127050160288,-0.006166983246101191,-0.013904029224083181,-0.04251078133446454,-0.015601659522052395,0.0898555081020369,0.08210303125521727,0.0908103817852745
NDP,0.001993272739929441,-0.049009902892134444,0.007224311150834425,0.04396559049952651,0.01002332493357865,0.042126924462921315,0.013384665735285104,0.0013018032466279952,-0.009012842023162397,-0.003669254249477411,0.04803793464360999,0.03929033884530378,-0.00459010063318939,-0.035324603345030306,0.07877610059946684,0.037291917239062486,-0.012826766099990172,0.023097712294870412,-0.0314307367236383
TNFSF18,-0.02516931104934397,0.1333840275580674,-0.0012938974330020379,,,,0.013754014611869673,0.06258423078414173,-0.00405987119501842,,,-0.051271894388062844,,,,-0.01609853834488068,,-0.011196828363643677,0.01714233940479746
IL36G,,,,,,,,,,,0.01286204773675321,,,,,,,,
RTN4,-0.04751793944105963,0.013569358242201762,0.011787967882231007,0.02266371871070503,0.005161158787833318,0.01287897682484515,-0.07512274978760233,0.010796272612514767,-0.05836120373729745,-0.04664589725302595,-0.1191649861312867,-0.07119516897969488,-0.0012343685110077632,-0.0505735678398173,-0.07248874911346585,0.009954753719861778,-0.04135241019007984,-0.0005020063010495773,-0.12605679677697515
HEBP1,-0.06720251472769283,-0.04534186455063453,0.002647919073830605,0.014856420428404571,-0.006183721295079079,0.06485350118056371,0.019607685940196417,-0.0038711688693066912,0.01085060011935587,0.03260320870315177,0.05284091473440672,0.033666816640289976,-0.006931596820563219,0.033818161336023334,0.04005263932806857,0.039136174048220035,-0.02018563972322072,-0.017831609525069958,0.022894329498133806
WNT7B,-0.022173374709728293,0.06608955636178798,0.07313447775971707,0.07311156285989565,0.0009319648257273926,0.0634634554390488,0.03173108042984408,0.014451020160037522,0.009779526418898747,-0.011566943884060652,-0.0501442843116036,,-0.003946100802889244,0.048321440990760876,-0.03533444718164221,-0.0045120197794007565,-0.02834309876354318,-0.03166470380311007,0.07444313453834135
PTMA,0.04085181616199213,0.06161018033559592,-0.014244431345939272,0.15805300892111784,0.012739622014761495,-0.002585524484953999,0.10987414491215379,-0.12362993327119329,-0.028426366836928504,0.004880364957904763,0.11417440640377376,0.007154728262907941,-0.061314673235080205,0.047736170642903586,-0.05429083636596958,-0.012461571239486624,-0.00938890700368307,-0.03029060648241428,0.05789583817665987
FASLG,-0.022173380978084523,,,,,,,,,,,,,,,,,0.020756840552528622,
CEACAM1,-0.014455446642952693,-0.01534065130716381,-0.017880851555933202,,-0.0065966273336707,-0.013656958745548902,,0.015226805875962939,0.009334301046730152,,,0.33049964688233113,-0.03587407955727492,-0.01821210648801332,-0.008088838537704217,0.019875281380698367,-0.018811726862901768,0.05109020753905123,
PDAP1,-0.015309165393613938,-0.02891766091299846,0.009632689115000787,-0.011266225064142764,-0.04471978713948289,-0.02047687227767676,0.048217331869351884,0.03971003454099631,-0.054064682278125636,0.019390144500251543,0.045323283051526386,-0.03786578647172491,-0.016721432277564903,-0.02633717913740954,-0.04881626452360859,-0.01283350231266604,0.024819689001968997,0.012261604641429441,0.010138310357903363
QDPR,-0.03735829462805995,0.008412014882114942,-0.07222066030913976,0.03700200602418832,0.0004820301154641558,0.05272756193819938,0.0008614872142332796,-0.04977509891780728,0.08012586141493447,-0.03159130123564708,-0.07722648931207125,0.027285124059064785,-0.06093897674751037,0.06926341987567913,0.06987616777116128,-0.008413324800746707,-0.00825411555856868,0.06734370110787183,-0.14719015072588984
POMC,0.028585105256174952,0.04051103660726451,0.03890942208120137,,0.02499041564433961,0.010086933630390513,0.005473038160466213,0.01619982872238818,-0.02988151058945324,0.07906227568377197,-0.023113928115513785,-0.034651974294081095,-0.0004644234100504659,-0.01989640660731757,-0.007173807235196007,-0.000806753516403862,-0.030773513933327803,0.08306054184170805,0.07352383335815517
CCL18,,-0.019143683384825548,,,,,,,,,,,-0.02543531223255563,-0.03332793147254543,0.05075231058671672,,-0.02016233213110978,,
CCL17,,,,,0.026945435772603322,,,,-0.032118753315791976,0.02635856934038305,-0.03261617513468198,,,-0.01292060806251335,-0.036248170743826,0.07490396226765937,,0.04521704845102151,
VEGFD,,-0.019143689463841658,0.025740066409132685,,-0.023978799998562755,-0.023251387870170996,,0.002289210841123479,0.01781057319018287,-0.010501424169331273,0.04508238583749026,0.05118199473985949,,,0.05447730196383089,-0.02170677741784509,,,
TNFSF13,,0.08114470312787021,,,-0.011864619747624596,,-0.001320276318058467,,,,,,,0.010073583685492531,0.03844976207363595,-0.022070638559454396,-0.0036854454873692533,-0.007893898463394057,0.07572444268845113
WNT5A,-0.02768751454668254,-0.018784559046138852,-0.014172005258189898,0.11004902287538693,0.09637095507226894,0.07236376394262566,0.11452936603503354,0.013315863261042015,0.06145686756745376,-0.0236472487799306,0.0026580623018280813,0.060730432359328325,0.025757275126167076,-0.018877163042157804,0.01028979182244688,-0.03192883284315202,-0.013691942876619217,-0.01000760540064612,0.06459704401833492
CXCL8,,-0.0030927940944858686,-0.02398037185089272,-0.07091856199066482,-0.014030454256297769,-0.10242346876475447,0.02519299649806129,-0.04152943322594364,-0.015763371013513355,-0.009779382803584525,0.016266968513666515,-0.00971152571053067,-0.014071593025847115,-0.05835011604535525,-0.10920597920811594,-0.029220768872204796,0.0019743210751349523,0.024307581307856863,0.06801020643399718
