,UKF248,UKF269,UKF313,ZH1007inf,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH916T1,ZH916bulk
IGFL3,,0.036371635919703216,,,,,,,-0.007603233366151078,
BMP1,0.08555597759665465,0.11368750601705302,0.04138340494263601,-0.03772225854924115,0.06496734174077866,0.06195196629966813,0.024536072427712743,0.07641789215519179,0.23651206616871864,0.11853929696854457
NDP,0.028622359216151347,0.02075491995836783,0.092562726533238,0.014418051923571129,-0.023280957022387534,-0.034989250210791877,-0.016583431233693696,0.046235109234384265,-0.08766038481540829,-0.03231494275612677
TNFSF18,-0.028518375461658033,0.28310296409390934,,0.16080996841903797,,0.022913613389835222,,,0.17572699926544424,-0.015879635572043447
RTN4,-0.028746698796115702,-0.12142961944768425,-0.005076732645942472,-0.07622259213814406,0.053061808027465324,0.02268116529399734,-0.07651410791009296,-0.057698637112235225,-0.02301212709853909,-0.07258151725340097
HEBP1,0.013267458607956863,0.06046256956471885,-0.05561628211070482,0.07870160449101951,0.0645294211719909,-0.004889294055843918,0.015004808830738405,0.0599766964954345,0.03163409015669105,-0.024991841466098442
WNT7B,0.031121534363345103,-0.014623526224284741,-0.0525720424482837,-0.02977974759406946,-0.018961305873536942,,0.1650515245110846,-0.028885321511097618,0.07482078331471365,0.043474189534809166
PTMA,0.01247485346100812,-0.059140926476862504,0.1538789014624342,0.03236062221194595,-0.04504864377529252,0.061018408903230105,-0.09265295573975904,-0.0035697983553697105,0.16530674372969842,0.034721043039131344
FASLG,,,,,,,,,-0.021698581892219,
CEACAM1,0.05693482185535438,0.035860415690266434,,,-0.06007839247682869,0.1172632267631885,-0.02731722466746884,-0.019200741780541826,0.07156249058888067,
PDAP1,0.01295782406386425,0.08505047293188878,0.13524309412812668,0.1062856455618794,-0.03417558393958395,-0.023656465425490138,-0.00061594963779623,-0.014617278105278957,-0.05515640847251474,-0.027775113457026965
QDPR,-0.0065851550199179645,-0.10706936483317503,0.02694821173865162,-0.05122840680497921,-0.018738980073148538,0.017546434325646298,-0.012508502296796212,0.011614243603136962,-0.07020813987918299,-0.08753053560444862
POMC,0.02815687032811972,0.0034269829453178577,0.042676508397599615,0.041740295357659475,-0.07014074003165877,0.010600029723373957,-0.03908678566701323,0.1012337317313227,0.0781473518712161,-0.0069888016955236025
CCL18,-0.022650938195291275,,0.06328598026876052,,0.11311074143744525,,0.07763715111033774,0.1394766719339641,,
CCL17,,,,,,,-0.019380248710729388,0.0035307340955774316,-0.01966732730884724,
VEGFD,-0.007131933704905539,-0.025464972261751127,0.09946437379693378,,-0.0580363701758306,0.04620505634894044,,0.023636657577232517,,
TNFSF13,0.12457838336379269,,,,,,0.07476279300735648,-0.03012794896850637,0.018817991717267557,-0.034536456210621534
WNT5A,0.05649906612159823,0.10778761332677593,0.10686106445861523,0.0009504284296235501,-0.015189816347087631,-0.017124072845837748,-0.04023582661554984,0.015413226377098264,-0.0046807060819409226,0.07914285972680822
CXCL8,-0.037691657627788124,0.01952274742807946,0.05007774526717259,,-0.0033507574801136014,-0.012203916810627416,-0.014617747506423202,0.044380627313522776,-0.02995568757104873,0.00411703211773386
GRN,0.11886076270702592,0.10684045623710026,0.03821526018499753,0.02624774911439168,0.04764843947054494,0.08870746525683648,0.021830147938609545,0.03536664049192156,0.13791269826451802,0.018970498331513402
MIA,0.03384968101053896,0.03773561477123593,0.06632871012150102,0.01102749510334474,-0.044057014886157535,-0.00795179896863807,-0.011845627107518209,0.003888789593902781,-0.007646814762746446,0.10435510067280374
COL4A4,0.02411633114234519,-0.014978998208515445,,,,-0.040018367802088645,-0.02392687835759437,0.025316741037432554,-0.014749860162400472,-0.012686296446221693
TAC1,-0.019449546253447286,-0.05826288027736643,,,,,,,-0.009577354247507377,-0.013216561857052021
RARRES2,-0.02878274933092024,0.11708482337241986,0.002830183167110769,0.021462663211025114,-0.06730444556777669,-0.04322452708072932,-0.000342244828661866,0.07108271700333821,-0.07978185428284164,0.03357128382172974
FGF7,,0.013729535832777123,0.051557559858635506,0.00955991284310964,-0.07717018449780713,-0.01708289075577015,2.9140752282345893e-06,-0.007333518953986069,-0.039208490351043,0.017612799786521475
EFNA2,,,,,,,,-0.018249020089680962,,
HBEGF,0.07592993049488729,0.10088332734811829,0.10964418085251183,-0.02092409339868726,0.11338774336390678,0.08707374230844599,-0.008037185644156217,0.05009358076316137,0.06181256090244513,0.12612902670251458
CSF3,,-0.015847491794695343,0.10217586320645491,,,,0.03393902498057011,0.004259595406151449,-0.020706661612874287,0.009119102420128629
PI3,-0.023829741984735055,0.025880075924212875,,,-0.023563977788616634,,0.00023055144620960286,0.04336761983168789,-0.04498869657084311,0.04516149283270689
PCSK1N,-0.029991107059270182,-0.02017739232227422,0.024309903674839754,-0.01156642428415515,0.037096331060886605,0.058205107502402605,-0.05241915789840709,-0.041870469566794584,-0.11472123619400114,-0.07911485012808318
NTS,,-0.019478473732097157,,,,,0.01718870457925546,-0.02223296798274253,-0.0041483350223168874,
SFRP1,-0.017155795480079575,-0.0023486082342258296,0.040925856371436746,0.028959403707524357,0.04339165025757764,-0.009914673248573026,-0.024485983459625407,0.014039647554655714,0.06695357030987592,-0.031381646424432676
CXCL13,,,0.11203273779810581,,,,-0.003462987892790322,-0.01690642243473562,,0.09161457620977685
MICA,0.014661021929540644,0.08792655674626762,0.022455644184393535,0.0319487164156551,-0.01628230929237005,0.0037206188095281257,0.03140666061250761,0.03922532274886762,0.05071845052004456,0.04608745600592306
TG,-0.006610576608766758,-0.01912650475319172,0.026888584591261415,-0.03466623133027004,0.054533469316464696,-0.04443444163057527,-0.025751505196686415,0.0027533657946613396,0.06833381068090853,-0.009003167369897468
ADA,0.07186187559725143,0.10129124097813762,0.06914055571960205,0.031301067915745405,0.004745504625247242,0.01016512629822531,0.1056423235321485,0.03799230900407738,0.1434633028718559,0.09498995676199463
LAMC3,0.1259336891947944,0.11750481372930685,0.08500209509356067,0.003263248723946951,0.06846464031622801,0.09305669245278267,0.1493018892468123,0.02774785702799177,0.17446091871555885,0.05282706106095938
CCL7,-0.014407910192844217,,,,,,-0.029046525658003704,,-0.02169857417646228,-0.022815084677427978
NGF,0.07418002633963938,,0.10554326853508819,,,-0.016999666296104523,0.033264744119211896,-0.018003722557789186,0.10338457889132632,0.05834481807087258
TNFSF15,,,0.11310820765914749,0.06234524061096956,,0.15076284659405614,0.002830504133475402,,0.026661072941063624,0.022993100868000483
HMGB1,-0.04557705551899105,0.07756672221984319,0.14617091869983442,0.04419857623545994,-0.029464437929082845,-0.08765330323265678,-0.08173421225183489,0.006321980407162656,-0.0323885117180357,-0.02735159462860013
ITGB3BP,-0.024595931371632636,0.07562598064392283,0.04287974830756001,-0.016595109898560778,-0.04358456266992045,0.08495752619698153,-0.028624915472663395,0.03828371198853882,-0.005413755537352132,-0.045443460465506805
AANAT,-0.020903685679322524,-0.014294866462379307,,,0.06295900188192885,,-0.007999705684268325,0.00849601199783596,0.014561835043911616,-0.024791829305985544
RELN,-0.012300002590072308,-0.0419456233585825,,,,-0.03661343792760317,,,,0.020970410641085464
IL15,0.025728202347148916,0.060460906913185126,0.09434874777939549,0.11714117146560608,-0.05340322338552982,0.1427124183436026,0.029629938098046798,0.031410375068136445,0.09158298480642726,0.1057979700999598
UTS2,,0.08674043131717994,,0.12602895033098022,-0.09889049056339438,,-0.021699787040352546,,,
BSG,0.08391243216215985,0.07431029713825381,-0.008758264030781341,0.05602252285528052,0.002393725433071823,0.1572846410588507,-0.01583644534669926,0.07646792192056685,-0.02033103073514312,0.09135249427952559
ADAMTS3,-0.007305128632188073,0.13031606917967684,0.002930309076495814,0.09724504892330522,0.09694546430439657,,-0.011875064515657488,-0.03796703247670982,0.07117679772177289,0.08781069682050337
CD34,0.10549996874441316,0.10504481873586677,0.16798058199585617,0.04524493039797469,0.15309518747989712,0.17064158998523266,0.0017764551050520696,0.08705011470863937,0.17215728119246015,0.08399203199007117
CCL23,,-0.016265288873490966,,0.13900837655921536,,,,,,
PLAT,0.06195918950358239,0.0997985402232096,0.13420800350728407,-0.0014927920967146525,0.10326772368146078,-0.007749481333935413,-0.007375352841371539,-0.07227834699644826,0.11469040128911209,0.025382721888002415
NTF3,,,-0.04169398156141914,,,,0.056970048867699255,-0.03336216704284275,,
LTA,,,,,,,,,-0.002788809744878949,
CKLF,0.024005522386284842,0.10773372875936492,0.058572264872316766,0.023913304586025037,-0.0008117288755802644,0.04091525350316096,0.023702746999559158,0.06183126610140814,-0.01696108485041738,-0.00012085102653777907
APELA,,,0.04547403231478535,,,,,,,
CD24,-0.027082126196639338,0.005187723498422798,0.01746141412612005,0.07744371826311698,-0.007142257368533725,-0.0004860543900966913,-0.029185850523773083,-0.0892526998243568,-0.11314051686364578,-0.025439955378218197
HSP90AA1,-0.1154424122756584,-0.12130209336460734,-0.020634609799993653,-0.04693161651405813,-0.049576303679693894,-0.08338296892814016,-0.04335166186459423,-0.001327457683575227,-0.1510123350832243,-0.11934352629672684
BMP4,0.08288498448479768,0.0004679744613644373,-0.025805689566966942,0.07043896917987341,0.13555407790518545,0.0031728164155569046,0.11846735255434704,0.02987161819350794,0.009225877819013602,0.005257674750755905
SCGB3A1,0.10546860158587396,,0.042097333770162164,0.04889539440719204,-0.03659619073267126,0.016790570373362554,0.04653001249294702,-0.011132509723456497,0.050107937842823295,0.0725363595027557
