,UKF248,UKF251,UKF296,UKF313,ZH1007inf,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,,-0.02801691529275451,
BMP1,0.11479080759138513,-0.006024838776927135,0.007045101069386744,0.21438652509311354,0.031615762603993194,0.10650560887851436,0.09134391121697048,0.07335043491542802,0.022190070724995355,0.15198749652587815,0.07610178843142147
NDP,0.009165337670458278,-0.015239158091884844,0.030647524623745256,0.12938872194663043,0.027702197371396117,0.06534534766772926,0.0026028986097201535,0.12244446092718275,0.025206937372785086,-0.08690732705264137,-0.02909080579863696
TNFSF18,-0.0032598167711763524,0.0014290861067067717,,,-0.03617473115179996,,,,,0.07095575316986873,-0.00320780127546378
RTN4,0.038101944161667164,0.0054143778735868805,-0.04004008154485071,-0.09189521812190085,0.007906087596441522,-0.016352642773880238,-0.06297271032517143,0.000487612482071477,-0.04473437408118556,-0.007871781608384124,-0.003651908413760629
HEBP1,-0.014812620845593172,0.014766100847347391,-0.01770075812192671,0.03353562705321839,0.04240435336381263,0.13465230519261873,0.06665144775594611,0.04825014808249759,-0.03458481107752394,-0.02633642520270374,-0.06855833840146687
WNT7B,-0.00863851195490126,0.03651887948378559,-0.015983164857198494,0.08472810450282077,0.10976854108646217,0.01912858538422779,0.03502058133698199,-0.009924335525809192,0.05304644269983651,0.05134128301765457,-0.052081446452807684
PTMA,0.0481548127204338,-0.019183787437247687,0.04043598646596669,0.25744736533088663,0.07139206955495138,0.04896152848306629,-0.04408183075545593,-0.06395461903481904,0.024486888442621996,0.1876429246993293,0.04356784091612859
FASLG,,,,,,,,,,-0.02429906107529722,
CEACAM1,-0.017746281847338594,0.036572282496692116,,,,0.10888894656378234,-0.02511650648965493,-0.020089991894376588,-0.013517655523498564,0.0025335043848690947,
PDAP1,-0.04595181813689699,0.005863390629096479,-0.006882871617294076,0.17511134536166706,8.873716781078713e-05,-0.06765921308468502,-0.06438128094102095,-0.04745523133899529,-0.004061056335390502,-0.06722868816618068,0.018736925475782845
QDPR,-0.02313116398262039,-0.019676088834572267,0.052464172256925186,0.1427336986411865,-0.032722557844891455,0.0420133891695734,0.03770218918577197,0.008121392889788486,-0.025749198875157014,-0.04460170072662507,-0.005499539630138748
POMC,0.03417493742569122,0.022634672744386724,-0.02275018531479513,0.05979862888333026,0.11517076531796454,0.2226777171535037,0.07580707231059941,-0.003734182322880764,-0.004420499625554499,0.007263132822957615,-0.03772503199751559
CCL18,0.03995291266682157,,,0.12958076144653227,,-0.03700510889525591,0.012122102476265753,0.07726920920584417,-0.0299574987186046,,
CCL17,,,-0.01978267756524481,,,,-0.017818945681324368,-0.029001164537850642,,-0.022024369603476788,
VEGFD,0.053359310074686125,0.07148751566004585,-0.014510833234445247,0.034127135199775394,,-0.04169039165212919,,-0.020089991894376588,,,
TNFSF13,-0.016711848353393156,,,,,,0.06649902076500809,0.12704113389363866,-0.015179421165345045,0.04676615916464475,-0.02605754133917265
WNT5A,0.041277503512989686,0.03026449671002197,-0.019966233104077368,0.048439753898102254,-0.018393499681411345,0.037977252716999095,0.029361527673335896,0.0904543657156833,-0.02654204075062554,0.09149146922689806,-0.005235474509817382
CXCL8,0.046498530045381514,-0.0006114562469218945,0.1373100575761661,-0.068189526337357,,-0.12045757498869876,-0.04305585343894067,-0.04695511137020076,-0.007147066925598848,-0.0032204056828405124,0.01631744024635393
GRN,0.08038881029083997,-0.08311348449321564,0.015984089110862833,0.08221709155192047,0.02556759938819505,0.1218090848942209,0.08624937371986033,0.06028728158518391,0.011323464154919019,0.16486236482535419,0.013223520913938847
MIA,0.023676552179317117,0.06628197432945547,-0.016503016851157102,-0.010558863667001006,0.06817848942055238,0.06474903454366152,0.026852692793169014,-0.06231816898790789,0.026332320740308526,-0.024251831073354196,-0.047733471009140924
COL4A4,-0.0265967853608757,0.030645953947451784,0.05438732908474564,,,,0.002814497550478704,0.08874788941433297,-0.02724274801402969,-0.0380142450940235,0.09346142745367796
