,MGH258,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,-0.0015792254441129182,,,,,,,,,,,0.024736925266172223,
BMP1,-0.00020767242949443546,0.05655773418578173,0.04007953218768611,-0.0341701712100359,0.02195925338098096,0.019526644003319948,0.13345605332655486,-0.019397494587753816,0.012546466182973722,0.05708966973606447,0.05389861053480309,-0.004670533617468291,0.05997283208519344,0.04243691619867685,0.023945609548714806,-0.051198644210273196,-0.029184533701020917,-0.0031597230423419886,0.09817652615731415
NDP,0.01699676219308805,0.07226199036589187,0.008509773594556888,0.05117525638873129,-0.058783967757403924,0.04774559234762464,0.02142008393652503,0.006261048514267303,0.012977458327563498,0.06456871506363102,-0.03765436235915616,-0.059907375967706324,0.07013491455818653,0.0026152781912986535,0.032896626975540015,0.046874661000401836,0.016179691535285208,0.13816221513255708,-0.017188461962032515
TNFSF18,0.04558647705684404,-0.04043850025016367,,,,-0.01294157724677719,0.13618739339348637,-0.015563755671011797,,,-0.030036634954002984,,0.1521353680591156,,,,,0.020667760132260935,-0.0341580903956696
IL36G,,,,,,,,,,-0.01375291054121208,,,,,,,,,
RTN4,-0.07255143438771303,0.008124200595635619,0.00896722036079876,0.025793765083671313,-0.013530893458200428,-0.02873727761707006,-0.15959719404653075,0.013651281972868596,-0.00028935595827903955,0.017402741781086136,0.13727913025089933,0.013909350202151723,-0.019676696257326085,-0.02785294530247188,0.028178256207806358,-0.09929647457246793,-0.05237331714438308,-0.010079236810039386,-0.09162364922120791
HEBP1,0.014320080565121684,-0.03580429273318093,0.046809429332188575,-0.008493889655365842,-0.004043174293597702,-0.011037291663067961,0.07868465329509745,-0.022813347202080253,-0.001668032511533567,-0.011952969259440208,0.07650492537885595,0.037755359961684005,-0.05948913959448984,-0.07265311278840667,0.015067011839165742,0.00838445242900335,0.04223485081031403,0.07890534872670409,0.06941791586286244
WNT7B,0.004853159494587767,0.026697909380934696,0.05344799789145862,0.01063991528436549,0.045826377947033405,-0.03164492542093369,-0.03581245869173357,-0.04461205683729862,0.0338081310072024,-0.01511603358944984,-0.03306740334629167,0.017117936097097688,,0.009638008770203068,-0.012501534435398347,0.03907893981304965,-0.011323982645441308,-0.03006943925061164,-0.060753543606041946
PTMA,-0.03393451228698964,0.04521061729971499,0.06289047714630876,-0.00865915311151926,-0.0601423919396862,0.09075970719656787,-0.03409699764443117,0.023922915967572574,-0.004115078712080514,-0.014164532105103293,0.006919134587183066,-0.12252325274975433,0.0556048791173292,-0.042629117294491314,-0.04844834319801073,-0.0026854539545434278,-0.0483206195777282,-0.007029935900801608,0.005183803893869963
FASLG,-0.031697250971620225,,,,,,,,,,,,,,,,,-0.01648752610108546,
CEACAM1,0.07818845674380907,-0.01927743129364087,,-0.01786615346135096,0.02870909330630966,,0.028735084569739246,-0.0024682198368931453,,,,0.03997063852398351,-0.008911370382769955,-0.037184038622055396,0.016607243255430483,-0.006884713585966033,-0.017163928396483053,-0.022939970992856634,
PDAP1,0.059091614058389745,0.08844144803468543,0.04431557852549857,0.0349324958384268,-0.02567686377307183,-0.02703340615749445,0.10995012837988818,0.052876915445934175,0.03905696669274827,-0.005409489913320807,0.0694745664460685,0.025688293795916573,0.0443064403684981,-0.015286028380041379,-0.023114984000611013,-0.05930676059351133,0.004912067797362085,0.0012613707578463893,0.0046105323551296805
QDPR,-0.04711689722743283,-0.06600831516591081,0.07989818357008732,0.008036986395773073,0.04269395698459846,0.007315435351274747,-0.1463217499149579,0.005498369547821245,0.01034901040262475,-0.023258585672138007,0.049405336559049,0.03654820828398352,-0.11416840810920419,-0.049877231688366525,-0.004721317309842085,0.10582235607625474,0.02643113012559462,0.04699639214049421,-0.08789190913125958
POMC,0.0035764352306721582,0.04164066604895528,,0.0433019527254671,-0.0322179139251854,-0.034142490969046556,0.06839984674928441,-0.018058951327834853,-0.01187524359150944,0.03076554504474368,-0.027025840073094862,-0.011339654250644834,-0.03778687590189454,0.134150694753302,-0.043092474572656414,0.00035026381906869044,-0.01448200397295748,-0.01890333432237687,0.044917687634758896
CCL18,,,,,,,,,,,,-0.050621949715909116,,-0.02636409474727806,0.07801934204360392,0.04129198210436223,-0.010338428557206802,,
CCL17,,,,-0.005713971374452325,,,,0.039524758781701544,-0.02663980226439312,0.013938374142399812,,,,,0.1330770522186867,-0.047590723179806754,,-0.014944090537985328,
VEGFD,,-0.027611052709319753,,0.030188718527100703,-0.015318416275378801,,0.02451380542556741,-0.0206808143778246,0.010739098109495826,0.08497670928907013,,0.1429467300253491,-0.09256443041793579,,,0.004801411112263294,,,
TNFSF13,,,,-0.01391890815113573,,-0.012550630164066403,,,,,,,,,-0.01500338698473028,-0.03559831212098588,0.020118209466245058,-0.007240960776239627,0.004082684298283675
WNT5A,-0.03071783979349161,0.03795805529166354,0.002666871663177842,-0.012121839886514637,0.017460467113594252,0.01224873898263807,0.15116322582159872,-0.012038842137220616,0.01975490227000784,0.03736906780313147,-0.003944975892771936,-0.09479069592633817,0.01543270907764821,0.004606804812754924,0.08492445466452285,-0.01716351133697883,0.029649451156932956,-0.04891415966002723,0.002194933032707101
CXCL8,,0.11266531832423925,-0.0682667732449819,0.024736218992037116,-0.02122323319114756,-0.01785245738510985,0.007729455354720262,-0.03914041613869679,-0.018197072323312257,0.021233557240474685,,0.06847644149296593,-0.015716492537975194,-0.04641813965090106,-0.010448019303662234,-0.08084834647461878,-0.059305206257519616,-0.03532476318769571,0.0016156473936873549
GRN,-0.12424923309522859,-0.09976488663818028,0.019060928460728172,-0.015619177341473384,-0.043192568798780875,0.013168842207947166,0.14721522962084987,0.020138355511527355,0.05056001252816224,0.030937342255328414,-0.0020273955247544395,-0.07646291583621885,0.0769291281646922,0.11618215032412246,-0.00809646975331524,0.016543723612794076,0.02028929140428056,-0.1369500014553849,-0.0253595155631508
MIA,-0.025296476704339002,-0.011264790383317786,0.043953748127175576,0.009032235820826375,0.059117947025976864,-0.02269395986638458,0.07133039597068953,-0.02269993820375575,-0.02222333676676554,-0.018440768586261945,0.02640356993544065,0.02751705744680361,-0.03143060639388934,0.03967406314765266,0.04630724070085644,0.1631924290749812,0.010314779002851408,0.06607688988092236,0.08502925332369324
COL4A4,0.042286716850479265,0.016345769880905022,-0.001300623707267958,0.03577047124768502,-0.029668476105539878,-0.01194137010904928,0.13381264230687145,-0.020265719517138535,-0.02140941625382431,-0.01788822966456258,,,-0.04323010166076587,0.0484261709262252,0.036443584617782805,0.026369211469797423,0.021967550169476074,-0.005650541031957528,-0.0415309543876883
TAC1,0.11152723375641106,-0.008576354466552714,0.05648361473910942,0.002109705998499119,0.0671321284739608,-0.04768747123364085,-0.08839625585945306,-0.029510413195624568,-0.020879988731467763,-0.020792791620325657,,,,,,,-0.003066718670821096,-0.019645526591266827,-0.05848766107301633
RARRES2,0.07233638993725824,-0.022156124876863477,-0.05015622035456259,0.02150282382916115,-0.07450072434634239,0.0056008598774588665,0.16843834327814614,0.028576294055236585,-0.04213222892517696,0.039135482635646805,-0.038674715648034284,0.0034098064011495732,-0.04703825615676524,-0.038372279604265994,0.023671815492570417,-0.007617913100701755,-0.03193294275921832,0.03252713339074094,-0.039012530224855596
FGF7,-0.06987210433534488,-0.009936913274850532,-0.011471084600594766,-0.03576885570389773,0.05971383536350424,0.011727175723176603,0.03862476948250234,-0.002574304031265083,0.04807190697044672,0.060510650364892206,0.00022932013774202022,-0.017987213582977148,-0.016953871462123238,0.0553956192064358,-0.018733767495252338,0.07970874093046279,-0.04376243531267139,0.029063737317448678,0.04557271938273583
EFNA2,,,,,,,,,,,,,,,,-0.01757606115129819,,,
HBEGF,-0.009309533025454382,0.03879142783775611,0.02021967734578498,0.0790860478751716,-0.015681946485310346,-0.03841536582672981,0.07139407069858411,0.04621354664116996,0.04400051824399681,0.0378226932883462,-0.0758869231633661,-0.012455757018176309,0.030406032739072716,0.03672673508474129,0.021632208748254136,0.04443146754557425,0.05229887660538739,-0.10804267075884029,0.007220750843801923
CSF3,,,-0.03800796449396607,-0.024051410801310426,-0.0021889337433566927,,-0.0033599546633122732,,,,,,,,-0.0016898465784052036,-0.08477488660930284,-0.024606835926078797,-0.015733821938429714,-0.02044306040372088
PI3,,,-0.06432457261856325,-0.02673917448851501,-0.03838711357682712,,0.04203177886823312,,,,,-0.02153983983112865,,,0.01150616269443446,-0.12281215934410743,-0.012580500138113916,-0.034184368022298184,-0.08830210041197999
PCSK1N,0.09904972741655463,0.03270595482733255,0.10070306781055331,-0.0030886924901219453,0.05168192886110861,-0.03276701659507739,0.0182447156614878,-0.05654033354176026,-0.04462856887153956,-0.057476363195609656,0.1079717756080434,0.02543493515614531,-0.02867515792473754,-0.030087301489323183,0.013906777991954302,-0.07995767498495343,-0.011751280287324636,0.06384744617027038,-0.03250734269377955
