,UKF248,UKF251,UKF259,UKF260,UKF269,UKF275,UKF296,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,-0.013609680867719515,,,,,,,,,-0.01535260248577749,,-0.037929432202161065,
BMP1,0.08169585350249436,-0.012775656025147656,0.0241626045541285,-0.008640007457456038,0.09142072538549927,-0.02824248646023177,0.09220485794434073,0.07062338402623529,0.04463795265434842,0.023716681367453876,0.01948268366146906,-0.03590319655876289,0.03388012943693585,0.05483426072728837,-0.02016515804321849,-0.019198435886360242,0.02962624755125075
NDP,0.046602050004583014,-0.004724263219183479,-0.011320943731376333,-0.03823045447896256,0.06914663762130276,0.0006043612344173032,0.0629831350429935,0.09868701071834907,0.06358615392635576,0.10383373418920788,0.06413057471163267,-0.051436711010370534,-0.005517904373812115,0.0462796046130082,0.010199351280421862,0.10606194027903912,0.008680363874442603
TNFSF18,-0.006027404625293373,0.0070685266126849795,,,-0.02020996751474767,-0.015776938362035857,,,0.10516857114704475,,-0.023232055735823296,,,-0.01583286795423459,,-0.03013277589309256,0.006033898792940189
IL36G,,,,,,,,-0.02026531472125987,,,,,,,,,
RTN4,0.04570631166079324,0.029501886152382188,0.005827148990511654,-0.029610595009950825,-0.0654576909431327,-0.013372598376332333,-0.09483178488040658,-0.09635058860227097,-0.08361296821902721,0.007592741637297519,-0.022385564431758848,-0.020807637195609643,-0.0930493853950164,-0.06523200619844527,0.07321514555755496,-0.0056944134737981844,0.028386100327668383
HEBP1,0.020350092660893323,-0.002129754059258728,-0.004358268932304519,0.026151322202595004,0.05287088550976253,0.009984057309106944,0.01259762716299978,0.06956071102573681,0.06452126034199276,0.03839223884489018,0.025127953410344295,0.004607075029018126,-0.0057853126659796,-0.06479114510799276,0.008396973110868546,0.06574339394048483,0.011127707563232564
WNT7B,0.012729607966751596,-0.021169626751221842,-0.032178881277881516,-0.005576269584307425,-0.05633004877975217,0.000701700382356442,-0.029337194711518882,-0.022273916281894082,0.047896957679697046,-0.0421482908168238,,-0.04293213462345161,0.07374718828522482,0.026114779526579597,0.050967503443950624,0.022567254474801065,0.15004030913671143
PTMA,0.001475900305896673,-0.0039800800203911085,0.028061249297531683,-0.07688272790523344,-0.05386800051140031,-0.013312509227214905,0.05525920332193045,0.08014138326318425,0.021691663357044803,-0.04274360253858648,-0.022744832525152723,-0.00046291749339437324,-0.01177758022511276,-0.05525884029485988,0.04395125717025586,-0.09469930485640275,-0.08764051979975394
FASLG,,,,,,,,,,,,,,,,-0.03289618360912152,
CEACAM1,-0.01874306375516329,-0.016246415264251333,0.0026800168525705284,0.00021873415221064553,0.0911840185421652,-0.0248133654397583,,,,-0.015295763257150752,-0.041238327763225335,0.04925678400521441,-0.020606745714683055,0.13002897024575344,-0.028071646378732197,0.009619007224170365,
PDAP1,-0.010425895407013983,-0.02039379849933603,0.009358789647795377,-0.0031436799100946406,0.07859479033804917,-0.0571287141062473,-0.05062622253950062,0.04410951712155965,0.008185293345636379,0.05815166110029176,0.06420362650875798,-0.05981466649910436,0.013152029344292283,0.028098156739876867,0.01931846618807787,0.03622285374826853,-0.02002001291045379
QDPR,-0.011294345981169221,0.0018070099469789105,-0.020299095152752338,-0.0029554636478011723,-0.06194160069636078,-0.007646112216044941,0.04770001151531977,0.0044080480037659185,-0.048066596752599944,0.05427751998594023,0.08242240759325137,0.004565549992056179,0.04344145720461263,-0.08214985034785563,-0.05292037332770997,0.09348144099515983,0.03149945868089826
POMC,0.056992038824994,-0.016954908723337596,0.05393741864913958,-0.028278285524322832,0.04917458914660961,-0.018306311664409068,0.01968362331091701,0.023419310220771424,0.02799172742952855,0.1378209498065199,0.013735094879123904,-0.03219794875040822,-0.012411570573197035,-0.008549145550483849,-0.028874565396915818,-0.0034731133579579032,-0.0537968116159078
CCL18,-0.008760793908656044,,,,,,,,,0.10785021402245405,,-0.044024001218899274,0.08106435290445908,,-0.029180182314153032,,
CCL17,,,0.006338139223980334,,,0.022669753310487397,0.016789276532409955,-0.01851294032996076,,,,-0.01706727180357959,-0.029747131118975333,0.02825435571006952,,-0.029816695554861692,
VEGFD,0.03375435687183371,0.06134736102648348,-0.025842096583580842,-0.018435067440250783,0.012496498348224697,-0.02096408737149189,0.017216431903284025,0.015058391985322033,,0.03119577421979241,-0.0560626029044909,,0.06001701166337257,0.027029763839020875,,,
TNFSF13,-0.01765052769074801,,0.006634273243780293,,,,,,,,,-0.032749531047514685,0.01860846188918338,0.002249858245463958,-0.03152257745040727,0.005870360086070007,0.002362328643488891
WNT5A,0.0625671849491423,0.016875165801155594,0.00585192815161407,0.03828568901665822,0.023842461457335914,-0.033759275377731796,0.0517015292481493,0.019435448243193605,0.046673747405045464,0.13521420672175585,0.015990917561802376,-0.05432839444770691,0.03053858507964323,0.007424390945765457,-0.021277443842489387,0.0005232846769333433,0.03552537101886802
CXCL8,-0.013033524748732706,0.023637362217669673,0.035733286384676995,-0.03355566563458219,0.02921396452564577,-0.014890576632978929,0.04459350150284921,-0.013891514790659762,,-0.10242937156326117,-0.03961602342094212,-0.019529209702972332,-0.005822675989018216,-0.00963648349101767,-0.06494915694073376,-0.0443747256053544,-0.018319610558848228
GRN,0.08408086129866459,0.037510461664418085,-0.022848086137350777,0.004710541612355254,0.07648055187578906,0.029560512267185295,0.010008574611540446,-0.02994702995870855,0.09095988301571459,0.09953397665399505,-0.05301824524133685,-0.03619396160750053,0.00027577923796941536,0.06798023566425507,-0.030793811895690176,-0.07103080483732963,-0.03386924241349282
MIA,-0.015222105009936407,-0.0052288157424925435,0.03340117131440481,-0.04001950253793495,0.01682556176016728,0.006933482903544989,-0.02382264121938408,0.023947437429311765,0.07824707820727404,0.09920462140799968,-0.003501745976593136,0.0647007571596547,0.08050542556488409,0.03207586544771028,-0.12498202171041671,0.0814040901665524,-0.009058770784881277
COL4A4,-0.02809068671340005,-0.01585785759773195,0.0227132903113457,0.03400671132932509,-0.013411330314300574,0.0206023163179525,-0.005574605781071196,0.08841889693579498,,,0.02205352874702997,-0.01319734589823053,-0.032994621937561266,-0.03118042461855875,0.059951176999518026,-0.029336646903465,0.00922307551358895
TAC1,0.031740589534920836,-0.0038526508250332895,0.03362589440756058,-0.010924953107813978,-0.0667878350609785,0.0025022181093174965,-0.07293355126570343,-0.03824533449975021,,,,,,,0.05310324043003319,-0.03919707819608219,0.02949275650396731
RARRES2,-0.008262858547153211,0.013042169124504652,-0.01350854285727924,-0.08078883784516434,0.09055642034807239,0.030772037948127686,0.031452257221117726,0.08496302544735881,-0.0037096812321990155,0.0002815566874593916,0.01274065857851935,0.021266872554900642,-0.003949849417555975,0.05646071534092771,-0.025601555826571115,0.028261502083709075,0.013710090239358212
FGF7,,0.048851851824508886,-0.018787071991490833,-0.03529779271478243,0.03978311530277441,-0.04032494410805049,0.02504627652261756,0.02386817729108385,0.004857355722329921,-0.07204178612346843,0.013055514605865024,-0.004076042614959221,0.05605320355054985,-0.007448701659270051,-0.0052872025165468526,0.07540454243541932,-0.016973536336659385
EFNA2,,,,,,,,,,,,,-0.019585332734972403,,,,
