,MGH258,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1007nec,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916bulk,ZH916inf
IGFL3,,,,,,,,0.03230598265840639,,,,,,,,,,0.023852421478375158,,,,
BMP1,0.07765757426089455,-0.012717774054531823,-0.07980910066980641,0.025203040318747903,-0.038847168243868656,-0.028102707239061008,0.12563680736341923,-0.1630859068712786,-0.02261626213590693,-0.01909547073553297,0.06567984750238376,0.07167251520391289,0.03598807973154749,-0.06120853902639596,0.0621506279602008,-0.03494211681845278,-0.011915278391409517,-0.023739833681031376,-0.06850186475078157,0.043250205569321874,-0.0686522811388233,0.09137088846339944
NDP,0.05002153366066998,-0.006356111451563103,-0.016580636051044702,0.03912302403852305,-0.03682091322460326,0.054469313086167176,-0.031903756574894596,0.006717260430873283,0.04606669616385447,0.02518581425278885,0.14662282126082535,0.05864858063587487,0.12951938259579424,-0.01005742698446521,-0.004356146987285885,-0.09044258461090644,0.10897779644374275,-0.03575528864374116,0.12618241069937447,0.025817070465758856,0.021172511042498957,0.07998599398693587
TNFSF18,0.16069917369402295,-0.01928562320133343,-0.039721849459373376,0.018493475649565248,,,0.04138269461662258,-0.04743884208134106,0.011768661551792072,,,,-0.03982589399866763,,,,,-0.04760549044270719,,0.046670479229153676,0.00923274498314308,
IL36G,,,,,,,,,,,,-0.010156687088726744,,,,,,,,,,
RTN4,0.14382827147662883,0.16277279477892415,-0.0047747011352268645,0.07064671192847648,-0.03416472755582283,0.11623538882923169,-0.11483237798701595,0.202112967246922,-0.02835161549809076,-0.032554350864533274,-0.19424663969311226,-0.01750216268754415,0.0748100020981078,0.02288753384410988,-0.008233371370450363,-0.017200029507785538,0.016161357771464754,0.08494008284585457,-0.041552078498894335,0.06269179519943312,0.16183705069672294,0.048135763378094165
HEBP1,0.05996827508952165,-0.03112121775413399,0.0017332795761978322,0.031195680811661432,0.002226480536352471,-0.048090457808814734,0.05945282302246257,-0.052281179707193474,-0.010536635437711479,0.01565570868572862,0.1595597556647039,0.00527504214998905,0.07291778253785519,0.07343260118413789,0.06717110170757466,0.010028021413413326,0.05086379496323895,-0.02687834121474997,-0.017692304053942856,0.13161215248999875,-0.08089283294322835,0.08986760517118626
WNT7B,0.10517486228352174,0.17233574062167858,-0.0071730417285019756,0.039925774346703975,0.01538524046367915,0.06978585961167283,0.010292097224843392,0.04501957502842801,0.012546081182385682,-0.016214408703865566,,-0.046688324239897584,0.042415583535326075,0.09028112735135638,-0.04779915982254243,-0.056658690873521114,-0.009709545428297082,0.08794549029717824,0.04036789420348367,0.07340627836143494,0.0100450507911613,-0.1140810615714227
PTMA,0.12098612689116993,0.020202483551489975,-0.0017893554911644544,-0.08237766938976014,0.008701992035971802,-0.12637122360178796,0.1884423818073004,0.21335301579316418,-0.03917804606516122,0.13166141904726275,0.3158539316650791,0.10897231684287996,0.08418020935736033,-0.05478883579161645,-0.06595514111112176,-0.04939372918971083,-0.03423925424674224,0.193442383813456,-0.07205408356661187,0.17622836927132093,0.03244932828145799,0.05636008561600032
FASLG,0.1623720094197982,,,,,,,,,,,,,,,,,,,,,
CEACAM1,0.012884466200046706,,-0.02528186857591856,-0.009627672219060962,0.01657312636289745,-0.002038238320949008,,-0.08969165029442631,0.055660878270343814,,,,,0.04832120126744581,0.03288904015313097,0.10764137186956657,-0.0011673116907972014,-0.0005057664119131468,-0.02139523252097713,,,
PDAP1,-0.05973918560529523,-0.11351761934339594,0.059809363248017784,0.0523898780672087,-0.03024743603273244,-0.043679484080337214,-0.0038767668602996473,-0.19094692277290395,0.03181335618679114,0.027075012112651595,0.04831347346440437,-0.015223711913525334,-0.044690196801141314,-0.010693554466906867,0.04001941643544389,-0.027387849546143997,-0.03971259826620651,0.04730683409497704,-0.0006844466292010897,-0.030689471439106414,-0.04483526661030117,-0.0073239141440055245
