,UKF296,ZH8811Abulk,ZH8811Bbulk,ZH881T1
BMP1,-0.001016602293945666,0.08119207978426471,0.0017148395495299815,-0.05082124911797419
NDP,0.033472392980989384,0.026798600303674626,0.029386860186944905,0.01206520560793809
RTN4,-0.0024168138229737615,0.029034882086951954,-0.039692422189357916,0.05590229141272782
HEBP1,0.04637133908887361,0.06192344872094179,-0.004993650152478164,0.006973282332746888
WNT7B,-0.03576113953771251,0.022189819992108506,0.009735673112901962,-0.022067361895147224
PTMA,0.00888375162170736,0.02143129386857632,-0.03401647247449044,0.005904287273622421
CEACAM1,,-0.023840000931767524,-0.02060674550146739,-0.014646429030910273
PDAP1,0.06446245450022081,-0.02322609602581826,0.0024714008281061426,0.06415958759160847
QDPR,0.0065402967947429305,-0.04272754131861841,0.006415889559929636,0.008625617809378839
POMC,0.07288717437530631,0.014198302563921768,0.005407702906212035,0.03971083855306173
CCL18,,0.10428730817900451,-0.01841796997414935,-0.050438577139063114
CCL17,0.036170922402826,0.08581065063993007,-0.0017627331388012312,
VEGFD,-0.004228221579393863,,0.076766634341469,
TNFSF13,,0.019539991640016113,0.018899642291155806,-0.016446958160906203
WNT5A,-0.009786561307999892,0.0015079948650729004,0.02581161278759899,-0.03413192045323109
CXCL8,0.057591052087157465,0.034085700245345324,-0.011138953651034423,-0.06305869160838823
GRN,0.038277156769783174,-0.026362392261192438,-0.0334089155705892,-0.03246356307005787
MIA,-0.00582966119671278,0.09699570677695901,0.07715431696364092,-0.04346233082920223
COL4A4,-0.015841906284980303,0.027553649895569913,-0.007762251136935314,-0.015916686398867643
TAC1,0.06944185303571088,,,-0.025269262589526928
RARRES2,0.018657851045864496,0.024760666208177212,0.056499463261780465,-0.017385244994491254
FGF7,0.0020395602455671787,-0.008890483536054426,-0.039337759929966305,-0.05204788487162856
EFNA2,,,0.0655622989374222,
HBEGF,0.027924042844952788,-0.0167517862660655,0.049175184084039175,0.04373365241947993
CSF3,,0.029001666615032062,0.012470228470906354,-0.020997656698475507
PI3,,0.030456418165076986,-0.0006056043140265688,-0.07226797845010707
PCSK1N,-0.03253514400157391,-0.030411468861222243,-0.06167605245027461,0.02940431902259155
NTS,0.03050581094866321,-0.03945703074806563,-0.023861011110880095,0.05178351858090079
SFRP1,-0.007013437799091933,-0.014481243920625551,0.008005420670565791,0.06397485692186168
CXCL13,,0.04467807350061508,-0.0503203024673177,-0.011228696443783248
MICA,0.03408831482231383,0.004110638055253721,0.05103293133748007,0.0232885233172922
TG,-0.005553676948582486,-0.02247358270675689,0.00014352853245696003,-0.01728139412503401
ADA,-0.02195570378752562,0.013339831726181122,0.06452966335631817,-0.012308407085180276
LAMC3,0.0034606952757803987,-0.012202595696623048,0.024592402797008646,0.03155228594853031
CCL7,,-0.025349178299802027,,
NGF,,-0.014388274187798396,-0.019322072713011618,-0.03604838795714777
TNFSF15,,-0.024712602375083693,,-0.013039184324466442
HMGB1,-0.019329728227234975,-0.015441994254527488,-0.04533427925136594,0.016484036401977566
ITGB3BP,0.00889403713413601,0.057487645020763596,0.023969069813470075,-0.015120859670220576
AANAT,0.02119374250113946,-0.02223838201797677,-0.026356552986697757,
RELN,-0.01706420301254847,,,-0.015749921577195455
IL15,0.026867773522129833,-0.040741627000893364,-0.00461106687914409,0.014911539669269513
UTS2,,-0.01893760986185482,,
BSG,0.01429664781409099,0.056259840236833655,0.037947782050727935,-0.02086081089264821
ADAMTS3,0.02530104904046169,-0.018614926354472292,-0.0376585832550708,-0.019282332357766094
CD34,-0.05134110838040454,-0.023133910079774653,0.053136009575016296,0.017078928097443474
PLAT,-0.01215268025216018,0.024229834894989522,0.027169973934553573,0.0011767009178331768
NTF3,0.007726547605143706,-0.003014642968721661,0.05527111442368389,-0.007015666841174367
CKLF,-0.04655307732998409,-0.07515379274598129,0.004106778158169917,0.02179206657659084
CD24,0.026085753400767603,-0.0013224924068103781,-0.01727279398926169,0.049519929661633114
HSP90AA1,-0.026751558220015598,-0.023029079140464166,-0.028174246966756692,-0.009473975488828088
BMP4,0.010117824824326872,0.0337007467384921,0.011705531210943186,-0.04518386367805813
SCGB3A1,-0.031145984293225397,-0.038582521005888194,0.018790465604362084,-0.01320302426271946
IGFBP4,0.06646089813289915,-0.03614990176201378,-0.041422936416131796,-0.040955889988701415
RSPO4,-0.021578196850464828,,,-0.018236063403515426
LEFTY2,-0.024952114880854172,0.019572465172360498,-0.022519613571206156,-0.02479984144777637
PF4,,,-0.01795131322161509,
ANGPTL2,0.03256177941795048,0.032700931412493826,-0.046294040315465676,-0.007414957833887751
LRIG2,0.03266848786901141,-0.011173537268747334,0.06402880142923674,0.007258800137495546
ICOSLG,-0.0065988904731446385,0.08117263930880739,0.01986333713984476,0.009215435163788945
WIF1,-0.024231978942015488,,,-0.016952187313428187
NPPC,-0.013395177292358413,0.013102542418655227,0.01821704564967163,0.02626898041145009
LYZ,0.008909625830549378,0.032417079486136396,-0.020330934175956307,-0.029999150662762653
EREG,,0.02814127901128851,-0.03502900602529769,-0.022713324430392725
SPTAN1,0.0293110189200014,-0.03615886944875279,0.02350270154586781,-0.001949058939146061
PTH2,,,,0.0727555297996397
COL8A1,0.005030225741954169,0.06932422810094185,0.05323768805498765,0.0007353978183055203
GSTM2,0.013686597969572938,0.06197227962459953,-0.024715486292138433,-0.038715886569418954
SPX,-0.020636003625115033,-0.025558209256659196,-0.02228884987612755,0.020197675282128322
MFGE8,-0.041581195495534816,0.026442741700481574,-0.0016464532779177123,-0.031108951527664856
TGFA,0.07601814800372436,0.02062700488633057,0.001750924311294201,0.038607022731983805
SLIT2,0.04676679818812185,0.006204016189753466,0.08993941654715455,-0.04675516967805742
PLTP,0.027915009352889368,-0.02676991071502786,-0.03323540239322714,-0.027917499672282957
APOD,-0.04905933862758919,0.06815372386168682,0.04108007160649498,0.02516197520398313
B2M,0.03382238473210004,0.015729498678756556,0.05238767413720119,-0.03350095844965548
OMG,-0.019707419263780983,0.024917596657341296,0.03752255701279214,0.020307409637975973
CXCL3,-0.01651512923811806,0.033614135726448016,0.0332707997467004,-0.05115576279013333
CXCL10,0.02049609880710137,-0.026176278579613604,0.061812633318453616,-0.009916685731705118
RSPO3,0.057974514414399984,-0.042419579637715865,-0.03032620128488866,0.047664007500539306
CORT,-0.043677896790572865,-0.028904771598744685,-0.018785136891108393,-0.005801579919337697
NCAN,0.027237183480566723,0.0082333162066152,0.012642723823230527,0.05844229136166413
PRG4,,-0.02776436506895515,-0.027718619021356247,-0.043486079250916444
TGM2,0.042538045476251084,0.014387148081820067,0.06167994464371095,0.04825253540597715
VEGFC,0.03126090511758674,0.08045178271242781,-0.014251662905559589,-0.03112379426340161
WNT6,,0.05388028468527579,0.034939563822928246,0.022969752897987927
NRG4,-0.03134753825064446,,,-0.00869509142083716
PMCH,,0.008480832182710616,0.005011211633816066,0.09180287822207386
COL9A1,0.02907804795837303,-0.01172558149305426,0.0300080506813279,-0.01694541971039992
GDF11,0.023726660729820482,-0.014693463249099262,-0.03802282744216748,-0.017963093291459672
IL24,,0.07222822091620429,-0.017665088659079658,
SORBS1,0.030947162470379992,-0.037201235268931994,0.053343951832385966,-0.015623773263087089
DLL1,0.011676102518956542,0.08773761242875153,0.06551052666812286,-0.0314897490838598
TLN1,-0.003907787654191714,0.03507773715868629,0.015368526932071323,0.025012372501372778
COL2A1,,-0.03188877155062148,0.009199228497839343,-0.0022408819998470065
SHH,-0.0029161699392808473,0.004724543571509524,-0.010709824512279047,-0.05646390657797682
PON2,0.0030211090925396844,0.07472147067495875,0.0024706740182963254,0.04106029926130865
ICAM5,-0.01633844127377492,0.03047195167390092,0.011490969346462068,0.055099343239851016
HPX,0.007053816534763929,0.023162538999608594,0.048191410079196514,-0.028326335778502743
SFRP2,-0.047773811080001165,0.014806930588644386,0.021261913034419364,-0.018058978468505217
CD70,,0.013837193280387291,-0.013241522239958276,-0.03506830488297927
HP,-0.005391248684762167,0.03344023053593931,-0.04510407445091869,0.00379759654992982
CXCL2,-0.00014442574906874754,0.0003047649750140218,0.0387475509554852,-0.04420175870144954
NPPB,,0.029994128520719282,0.014891985029746467,-0.020722612367405385
CCK,-0.04957514158280777,0.0014440715890045549,0.045513616090331846,-0.009098039519538267
SEMA6A,0.04641387257241413,-0.01423837395051409,-0.053555643747777354,-0.0071853515861575006
IRAK4,-0.02784929382132825,0.015150022694643404,0.05850710067987267,-0.014590814921891019
GSTP1,-0.023066021622205602,0.0509154990340536,0.04787892847344153,0.022388038938692314
VCAM1,0.04978545531017574,0.01075023292821296,0.02899506907731639,-0.023299873048626955
NXPH3,-0.017438085829676004,0.008864664634704157,0.04536667791391776,0.0751565829971514
MTMR4,0.011027611748883259,-0.026163518299643116,0.029823198647984838,0.03679590737823987
LAMC2,,0.014358299449374829,0.046839603600204345,-0.013458104123535649
IL10,,-0.03521414191876653,0.06878773709671478,0.05092600663609692
SEMA4D,0.011765556710904337,0.022110998757960583,-0.006106759022670384,0.014871133198473063
TRH,,0.0033035132041757008,-0.012115665113157132,0.05908002211707582
SEMA6D,-0.010162623887001046,-0.01547131702265402,0.001211489391590896,-0.004007595637423139
CEL,,-0.02909103447506545,-4.5697467791077406e-05,0.013866104915677455
PDCD1LG2,-0.005528043192952132,-0.025108735784622173,-0.022916095726495816,0.0008785739156951206
SPINT1,-0.008986529650168655,0.021687524625900668,0.051361560805885116,-0.011275035680876531
CTHRC1,-0.014139191569469996,0.022462904797895058,0.007750544706356551,-0.0356726595928746
PODXL,-0.0028498858323672345,-0.07349141799194062,-0.0020037469101889514,0.02707850174610408
JAM3,0.03128384847342672,0.04026765564687541,-0.01003809498488378,-0.012010989676757178
TGFB2,-0.0018155257018818256,-0.042570857427393444,-0.0020851788751722,0.03221171513666103
COL18A1,0.03676139187841564,0.021147445059702483,0.013844345326185682,-0.03516705570533948
NODAL,,-0.02871745384790478,-0.021820545728674954,-0.015390351441727557
INHBB,0.056092584575596634,0.025969759269666468,0.012143351020351233,0.014449192463974313
LCN1,,-0.030545653983461516,-0.02060674550146739,
ARF4,0.02550761244399845,0.055520987684747704,0.03981825341823985,-0.001298049982899109
CXCL14,-0.046332432604781704,-0.06362213473683019,-0.030188288451146857,-0.022071643205564866
LIF,-0.0012648695975970119,0.00790939624319732,-0.028044524111863558,0.02133729949582137
IL17B,,-0.026581181249696103,-0.03299462354443126,-0.019147027296115393
MMP1,,0.025699387225603727,0.05124791211682087,0.09154143213347671
MATN1,,-0.015620708148776443,0.10245255954277419,-0.019733067158780697
ADAM28,0.04389957110505858,0.09411096038027748,0.0008314776596602338,-0.0163693268097426
TCN2,0.0003880155016236338,0.004244706971368844,0.018248603690682257,0.013536418506128394
THPO,0.0650926117951494,,,0.06931469454023506
CUBN,0.0073603405325061945,0.05264125992250594,0.021955932109067638,-0.012924133160447347
TIMP3,0.019034490330348812,0.08855010974994659,0.045173324322182226,-0.014020360266085411
PIGF,-0.0436646521709312,0.0035222888067507484,0.0004187737869926874,-0.030479747117683094
CRH,-0.005901799746009985,-0.005888062444215059,0.04454034252149799,-0.04520732433759417
BDNF,-0.027653596540092137,0.03372610920377835,0.051981197641216996,-0.025924408094925036
CCL5,-0.028030666180647576,-0.023357871259720078,-0.026438667568672407,0.008741225371158255
GAD1,0.007876921645733673,0.015386798699258143,0.04578489540312984,0.03833666773397729
COL14A1,-0.005802719621698986,0.015776980550598736,0.020693039248023362,-0.05512130640040362
HLA-A,0.00619232371843618,-0.007828230662187793,-0.040880392409865254,-0.056716313552607055
FGF18,,0.023240783149746598,-0.01915494683831343,-0.023959631696838343
ADM,0.0735375197533391,0.038785838925865096,0.011910884058298668,-0.08004684663514736
CCL15,0.05694528954112436,,,
GNAI2,0.03196114617225678,-0.025438411556779183,-0.09284297228808551,-0.0222904186010102
HDC,-0.03281584985343801,,,
COL11A1,-0.031242588280592815,0.08973346492675013,0.07092662393881191,-0.08486698504483965
NUCB2,0.027671612885587237,-0.032276195174949576,-0.034720298721227144,0.02229812157246546
CXCL1,-0.01717084163725661,0.017579952849308324,0.06769751537087657,-0.03955009621791385
VCAN,-0.0018825459103722748,-0.027656918011685953,-0.05165674694401741,0.0015397964714247985
MMP7,0.010016473145844472,0.010301258672466378,-0.0029475222783043914,-0.07592288292201768
PTPN6,0.03537057037354822,0.0005504475930346338,-0.0061653533279479806,-0.006820453264006991
PTGS2,0.02693406905792461,0.05165456131031189,0.02611343057657261,0.03286848594141001
CD58,0.02184499786499214,0.08653118526633076,0.06077790901449391,-0.03349649018730581
TNFSF14,0.03775000227708711,-0.025138605750826902,0.047140568952469875,0.017531197076493425
