,UKF248,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk
IGFL3,,,,-0.032014451480787874,,,,,,,,,,,,-0.02112308558174608,
BMP1,0.03545268103264659,-0.04855433795525281,0.004357987168641739,0.017275341511156783,0.044006836118635526,-0.03506585179135121,-0.06059476446722219,0.11451655648775626,0.0808788680729929,0.03963177553793506,0.004893069485640071,0.03022514746860608,0.023450009426145425,0.02011994703534642,-0.00911672179889624,-0.050122038920243264,0.07799248604185538
NDP,0.04176740380879841,0.04474122559559789,-0.0061571189399124,-0.030665573998947888,-0.015228183067470591,-0.013046523566150365,-0.0313504316802492,0.07587902467661067,0.07634920779578329,-0.08439451271599441,0.052007141570833464,0.034543639030172255,0.08926474554137044,-0.0691577573870749,0.043243202761488075,-0.05363076253972347,0.034760409683606684
TNFSF18,0.07033509046988369,,0.026560141603182926,0.017753752616182013,-0.015223212112209785,,,,0.07096382622990716,,0.05650922723780229,,,,-0.01243267925424382,0.013527343811882968,-0.02332518446054903
IL36G,,,,,,,,-0.0017398490285985531,,,,,,,,,
RTN4,-0.011688772310126121,0.06983758536851589,0.02716514427912288,-0.03562159537658491,0.0024385546839959787,0.06949886536776026,0.12376900830071573,-0.10458504722441969,0.0050009077028920325,0.03990782255657135,0.0003267095201824754,0.03888142045071155,0.060932445173324856,0.15563987972098853,0.052532742553793206,0.039631745914897994,0.1354854952769359
HEBP1,0.0080654530286301,-0.030725790707053523,-0.006051846330187717,-0.023837071825629837,-0.050662779527593786,-0.0056626447939775405,-0.01793660542321526,0.04415833013079987,-0.04331646715661653,0.02326096792144559,-0.08298354592318825,0.11186669333084386,0.11828496165051568,-4.6172859432200216e-05,0.02379681201513992,0.016825062241014897,0.00554168136321606
WNT7B,0.007016152147724009,-0.045150014709697,0.031586389929111974,0.08356386077277443,-0.014734371250491905,0.08820757406511494,,-0.05237715277788126,-0.0018570155078288975,0.03461272865368788,,0.04549996117302571,0.06574871083908944,-0.043369048673522294,0.01665266629357388,0.11162004429655942,-0.00030997022574998356
PTMA,0.07450139497156673,-0.1023254014377505,0.04756557617997013,-0.029129766741608026,0.0040938406046660955,-0.07714667723794977,-0.13897126134275287,0.1717307738012343,0.01685447170119423,-0.03030760602268702,-0.006680809916588783,-0.08903161784442003,0.03228035927840943,0.1141014199624657,0.025357823213727215,-0.07506530849772783,-0.01925640997117917
FASLG,,,,,,,,,,,,,,,,-0.0183200449188036,
CEACAM1,-0.03974517185934853,-0.012716022256334518,,-0.017377589597049298,-0.026942307596057598,,,,,0.012003306433077112,-0.03236427428237567,-0.019373040093529463,0.0768385219093719,-0.050623262432702085,,0.008097546507660102,
PDAP1,-0.05627279189182675,-0.030982847999418146,-0.028225923110375653,0.03498492786496901,0.009479162321362295,-0.019764029226212575,0.03268377833244324,0.059417430073349334,-0.040296826706277836,0.020132856671866862,0.05382391902433051,-0.007359378320369072,-0.01291786099006602,0.058816233241330416,-0.017527923986470795,0.02814756378256843,0.047245015574867794
QDPR,-0.008284835052174177,0.08835757043139417,0.023919764429499075,-0.07258005798370164,-0.03051973039628712,0.03247445264908702,-0.10148034491221547,-0.012361879616219195,0.11292104256233583,0.020932534559637367,-0.011476754272581102,0.0770867369428275,0.07033731227307992,-0.09141135711877398,-0.03311866547405843,0.054750095691002476,0.042458813323652034
