,UKF243,UKF248,UKF255,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,-0.021191047903261172,,,,,,,,,,,-0.01865692900593915,,0.09460386691358166,
BMP1,0.04596512515728141,0.02863637748696509,-0.012491039238597646,-0.061350321861961155,0.010731204561303066,-0.14685294893931122,0.02323956543477827,-0.013299630063003871,0.01271307858831334,0.17458601196100904,-0.04970930661276103,0.07022170899743363,0.032465360847551875,-0.09666602957033733,-0.047263445130467444,0.05986901060836553,0.047280531383119426,0.022311567116087776,0.15939390395240682,0.009612261899389652
NDP,0.0737230070126073,0.033348675860813144,-0.016231407488637353,-0.0015900638191488972,-0.014947758259888791,-0.0762395906044631,-0.018067493596365624,0.007215252974332517,0.03409317281689518,0.18565103096490554,0.023650558783022895,0.045377382327375745,0.07312299296701305,0.09082141503322012,0.06768187493409618,0.1254991433294537,0.10751920454916203,-0.019307361698575515,0.04415045566069552,0.06835658482073453
TNFSF18,0.010359497080163751,0.015340033515517857,,,-0.025360082979583448,-0.03146806996365173,0.081840703883402,,,,,0.13959760647450048,,-0.038358436436967173,,,0.16217849627628136,,0.018028382815237616,-0.011707657876151283
IL36G,,,,,,,,,,,-0.0012229022171953421,,,,,,,,,
RTN4,-0.12462026687493775,0.03819248206449376,0.02879740521447737,0.06632035120701746,0.0512476463656017,0.19501129524905692,-0.008158633720590513,0.06924209072471552,0.04008854046317536,-0.06000403434388001,0.05115683558857333,-0.024209743670345823,0.054351453157542515,-0.01843577923090957,-0.026809450160598138,-0.05135239395806629,-0.09942656482326316,0.025432777817050067,0.013701351724248306,-0.012517235210290788
HEBP1,0.00969527260929906,0.014685720509217256,0.09189177424345343,0.09159179488989037,0.007651142962243334,-0.12955694622804725,0.021925434129220087,0.03335875062423878,0.01480730637940844,0.09829983276424754,0.0834146022190378,0.07301450065279012,0.06414641126881547,-0.046713704843149594,0.02781824386086846,0.11080234093631255,-0.06711633031813023,0.011558185291866816,0.09153560675825678,0.09158245345782016
WNT7B,-0.06493674355336636,0.0869829249092809,0.041829621709032046,0.0029665377521116707,0.02376626695722171,0.1212054771888393,-0.01071309483696663,0.03409451628400796,,0.010347161445199905,-0.017038082052005712,-0.029004789434834588,-0.04019082008532922,,0.021335644582578403,0.043486611666029885,-0.0019361873971023358,0.019512850698810248,-0.009835495031715252,0.013576973094651433
PTMA,-0.15084436464766413,-0.008298184862217292,-0.0835719179266209,-0.09185083015302743,-0.018251711046697906,0.006981485383869017,-0.07431141980172007,-0.06573964575528347,-0.006910399445274386,0.18702040627957717,-0.04694107482719245,0.11861877069122928,-0.0856802999968133,-0.11862521748990106,-0.010585578462714964,-0.06617206846940815,-0.09415641250655422,-0.04042147241182272,0.00992074706176288,-0.11541653174886154
FASLG,,,,,,,,,,,,,,,,,,,0.03545103315904306,
CEACAM1,,-0.01893650133485097,,-0.01456208555422681,,-0.0414101877849147,-0.022552081623094786,,,,,,0.0179785669092001,-0.03908436659406828,-0.028906180969154083,-0.019851339302456056,0.09926730415402003,-0.02607686753600233,0.019432810728268506,
