,MGH258,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,-0.0024870365758201825,,,,,,,,,,,0.012789127968141106,,,
BMP1,0.06816447891941295,0.029914407368019036,-0.0293735553453402,-0.020925222514738575,0.04536239457175789,0.022403425996052027,0.11358447561423249,0.13598991259829105,0.009872513002359095,0.034212593899680274,-0.0017134020082528276,0.008665912739209462,-0.022307513965244517,0.06816255501799139,0.04056317519005214,-0.0046179338666906145,-0.028753110103409363,-0.087906237184733,-0.03604800501402908,-0.023561896838068797,-0.011092438509241399,0.009719334803424
NDP,0.03518713281268599,-0.0046716495709453465,-0.012530321469448614,0.01860521100104831,0.04659783424243363,0.11341114991468693,-0.014437936814852876,0.05892831819046224,-0.03066369591573044,-0.03423548555964553,-0.03706209066314744,0.029795342062539837,0.029612349516832163,-0.03195530635096319,0.015974205804491992,0.014895138609826412,-0.037306787031159916,0.09064817753953441,0.059239546407049634,-0.01612188437391711,0.05229141440608028,0.020990111466708355
TNFSF18,0.09740531200124934,0.05684813072298184,-0.03380339028406879,,,,0.043442940502104614,-0.017611305516192437,-0.016503116220824513,,,,0.02664705558344115,,0.023151114840390577,,,,-0.027343674472828157,,-0.005026895922673649,
IL36G,,,,,,,,,,,,0.11035166247201059,,,,,,,,,,
RTN4,0.028666442167638563,0.01427154654517537,0.006984783143280211,-0.00980019757234403,0.001708442108453482,0.06312188184921982,-0.10199492501803535,-0.12780352605678594,0.02470581804428741,0.01541948329687199,0.15411032203726224,0.04352102948613989,-0.11599655328298351,0.009890143606983186,-0.06519747077631548,-0.060236248267672245,0.015047369605370113,-0.057474673553719706,0.04273523742838145,0.06663018302027193,0.023902427765659526,-0.0942124885612064
HEBP1,0.003853883050581188,0.00993544440120031,-0.037457427483247055,-0.010792932248832609,-0.022651816989644722,-0.03361926321336467,0.061727468477869515,0.02597484627233034,-0.011387936313092421,-0.0004268323353618054,-0.060824858007387995,-0.03901418209175216,-0.04653648638569133,0.046670269728926274,-0.07935271277758736,-0.04592228539170157,0.031544405570307556,0.01857336977744793,-0.02029633323834599,0.05912167054818004,0.09922663077058039,0.008830579538122309
WNT7B,0.02772725635692085,-0.042012927809067714,-0.020997618181399436,-0.016751992949227024,-0.02006554249028649,0.0667624159810635,-0.07415850038048082,-0.0749871256385696,-0.021159292990090513,0.0007320912707959899,,0.022406208356991253,-0.03016057127254479,-0.020464774945266537,,0.05001195437541561,0.0626903333050604,0.013281149487618257,-0.007026628888966068,-0.007834764495447174,0.04451710567259958,0.02477033799221464
PTMA,0.08355645521760127,0.07461668363806284,0.010290124901978715,0.00024488502573234114,-0.06240014492249209,-0.05284073301539898,0.10794786459510204,-0.008600829767726074,-0.017803929067309213,-0.02570062845118633,-0.1815878872179759,-0.0591457882267919,-0.0927388844752317,-0.06641417510889329,-0.03294210924820139,-0.08106782107134458,-0.07095500293755679,-0.00953588007294658,0.09604738238953221,0.03364421070015904,-0.10461380270523093,0.003083994400802902
FASLG,0.04870310719372958,,,,,,,,,,,,,,,,,,,,,
