,UKF251,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH916bulk
IGFL3,,,,-0.01991314317877316,,,,,
BMP1,-0.04733678611461887,-0.05580267146031608,-0.01626594999431204,-0.129574414907985,-0.05308815537874428,-0.034357543555660244,-0.06274414230061834,-0.09137770279053355,0.003146167185346495
NDP,-0.018829862324292252,0.08354233739083748,0.011661870388783458,0.011977501050153331,0.04809999060578366,0.00793787563544676,-0.06422125226311998,-0.04531661535566703,0.01763443229013212
TNFSF18,-0.027397721287530027,,-0.0177364167868604,-0.02957041981153814,-0.016195549175184412,,,,-0.03441679567016724
IL36G,,,,,,,,-0.014145034106596168,
RTN4,0.09231449581532129,0.07932672650218078,0.06295988398598004,0.18578890880543786,0.11142594895241432,-0.011673219508657212,0.16865956457437425,0.16956802637022714,0.055515002784933036
HEBP1,-0.015492238665592982,0.008602238139968054,0.03908799663299426,-0.08711808481068695,0.008941207789949003,0.021179843018720678,-0.11753188041917066,-0.04208132344656629,0.0051783924628544765
WNT7B,-0.01701861516852296,0.06200244428262883,0.039037247995329254,0.0838097116000057,0.04479711131806695,0.08269539821189428,,0.07148212825084434,0.0043750441238687545
PTMA,-0.04315044630411981,-0.06910923414413342,-0.04956915609227044,0.021823887367295743,0.08202738854572106,0.009147531315340253,-0.17028931356891602,-0.1542285579289548,-0.05101729784977723
CEACAM1,-0.013060763541064911,0.08084614612072065,,-0.018612829304438347,-0.02547174052149685,,,,
PDAP1,0.03819771297278538,-0.0624940302517873,0.007364870885159482,-0.07557795659370384,-0.013570397308655007,-0.028843106215938746,0.07338057469080125,-0.06477938130253208,0.0058122217055807225
QDPR,0.06023511178194488,0.1165366144991082,0.03409170451386866,0.04782737893699971,0.04382422091966831,0.03569765011798975,-0.1203222563790143,0.040925589361493285,-0.0020060818756741437
POMC,-0.023206893064330696,0.07739171565972844,0.0016713521446578982,0.05119231929099987,-0.003997491781165772,0.006612048023082103,-0.053260851868546774,-0.030305887181745074,0.05219888559260338
CCL18,,,,,,,-0.10178801768252978,,
CCL17,,,,,-0.02019900299802628,-0.024466576330770075,,-0.01292189023375773,
