,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF275,UKF313,UKF334,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,,,,,-0.018872400698785322,,-0.012591315373622234,
BMP1,0.004498245578171408,0.00405287762777681,0.02413783860048177,0.003177642226298044,-0.09289606942775619,0.062196650740535354,0.0435382513787878,0.04350857242059473,-0.0021070796014490125,-0.016450649876216125,0.027759512961443154,0.0488382815375228,0.04879233275399198,-0.0008227351925026728,-0.02279268114009775,-0.018436110671618305
NDP,-0.03231849532545636,-0.022889227248201766,0.04898597788119167,-0.07449117210487802,-0.012777971822769846,-0.03717900208727601,0.003369573448993733,-0.08544632645794883,-0.056756009130369746,-0.043059901632228656,0.00851899639118585,0.051752526253173385,-0.009615060136249357,-0.028836827843335973,-0.027357197136507562,-0.004253454167383109
TNFSF18,-0.029419597856456123,0.022780743803415188,-0.0020943445801483527,,,,0.09519712167685465,-0.019334380784171514,,,,,-0.019462773723222634,,0.03045612788014373,-0.008966991300517542
IL36G,,,,,,,,,,-0.019561997980693444,,,,,,
RTN4,0.02310388642914046,0.015172014015867895,0.051726707810292,-0.10479525510056568,-0.031466803125346034,-0.003808347048021838,-0.0025584271197246675,-0.046513949700215114,0.12762798329061614,-0.047148727600863596,0.027639734632229237,0.007868585536079047,-0.04847412255241194,0.04039742975718439,0.008288670570605495,-0.06878005801392695
HEBP1,0.06580470870132273,-0.02130486966898333,-0.026380570431650863,0.032297795975350284,0.07585013194021548,-0.007441962326288604,-0.021182110354634208,0.010667621395979023,0.08763902784560933,0.052877856882589634,-0.03978125672069024,0.01895326105897143,0.06574254955843377,0.0257338884052177,0.02473367309972718,0.020231163391052197
WNT7B,-0.011493088299994087,0.01133349190492059,-0.017018619492977883,0.021660288366775242,-0.0005189539256113725,-0.007326995358737909,-0.035568743945723985,0.08236612438609354,0.010550846945924243,-0.021500890132806115,-0.020112816477635406,0.0001626633861891747,0.021821390709914866,-0.011396896869232953,-0.013634957080484941,0.01885438476240556
PTMA,0.03942103875720413,0.013367462015811217,-0.04798917148401812,-0.05998820545804329,0.10084312874371884,0.02276041171173327,0.02043365385644527,-0.017447852489985045,-0.039054449940395364,0.05598791810375037,-0.02402710650941056,-0.026510701549703735,-0.04571251642841567,0.030119315273452452,0.03172123754510794,-0.04052739461513481
FASLG,,,,,,,,,,,,,,,-0.023924450171321922,
CEACAM1,,-0.025429367266107675,0.03668086703791274,,0.023311079294340713,0.02396511053587548,,0.006065245705108786,,,-0.0184898898645241,0.12915190930999715,-0.027965973899191997,-0.017163924972285832,-0.03328735855126482,
PDAP1,-0.030141823362114253,-0.0612489873012233,0.009777765781120709,0.03499236285007093,0.01263906041624254,-0.04732102900144616,-0.00666155599269998,-0.007027122004102844,-0.1017285339638299,0.06040112868721541,-0.005407516558231887,0.012325394182183596,-0.02182847967667732,0.03423550257020219,0.008698241086341206,0.00788407611292514
QDPR,-0.023232196497306155,-0.00949729655808943,-0.019678180896462654,-0.07751990139838885,0.001181223543625625,-0.0135340794088739,0.009562493110674194,-0.11250099953046516,-0.07035512026255983,-0.02859857387301096,0.024882604458359617,0.055006756646073074,-0.016923819144249702,-0.0031661548948689446,0.04694587968793786,-0.037176265576304456
POMC,0.04756389770196921,0.016776382559481672,-0.023206898961236053,,-0.008316216949188203,0.009420127371574417,-0.004297433789520649,-0.022434086535135137,-0.030586622046065066,0.040932963470428,0.07498908941830466,0.0636449790613705,0.04201762026695228,-0.028077926504816123,-0.005469842793121579,0.062165846577547715
CCL18,-0.007588090019041201,-0.03173344767907473,,,,,,,-0.025578906169650615,,0.019934659777136262,0.004508473336500068,,0.04530949819205538,,
CCL17,,,,,-0.03805026065881164,,,-0.024113737126176538,,-0.017870440520297834,-0.013117681923054394,0.001245872288102205,-0.0043447967852690995,,-0.021684826895177166,
VEGFD,0.006344848742774973,-0.008879773117160322,-0.018706928153321756,,0.04170202023660058,-0.016770287544433195,,-0.02569114733999392,-0.027053266585373895,-0.01915230461277548,,0.0013687328160595497,0.11301958601663556,,,
TNFSF13,,-0.023947085543311392,,,0.030065383458019537,,0.04239925221575549,,,,-0.025170861304288288,-0.01680075610307338,-0.02668290965348986,-0.019273937374110477,-0.03533361546673256,-0.02826383930021381
WNT5A,0.016882317189139018,-0.055232918080859186,-0.06356002514326546,0.017480146209116913,0.0065677507114404,-0.001328973433945345,0.009497474946021845,-0.0036221856692961614,0.045503458636414,0.02767713176636865,-0.03987351112915211,0.0005068064475639545,0.022649807357516694,0.04941067883808446,0.011829496541196043,-0.004621583520572405
CXCL8,0.06397103373847289,0.04403461519331641,-0.017516058727777357,0.030521890562509833,0.13408971019019833,0.022784480155958565,-0.018572184677048752,0.10734966604936838,-0.026283013548529712,0.0769948767968328,0.021660570147594857,0.014383711477822065,-0.00632547331960214,0.07871744184284638,0.0838220166399118,0.024333595266057592
GRN,0.017401402954478458,-0.03230396860637158,0.029027168097304174,-0.10213467337563811,-0.013266089648721495,0.026569390060336744,-0.012193059892708986,-0.0728067210597153,-0.017585494652232265,-0.026528565937541014,0.025742010825539244,0.02650310023893352,0.007775916810715044,-0.07254127566874777,-0.02113606793171952,0.0052903632457559375
MIA,0.056219561864004224,0.10970277956334722,-0.016636633671260014,-0.03935060840117919,0.060619367848624595,0.008195636503570967,-0.023608873814960993,0.09500356854190956,-0.03668908968808512,0.10434170412403335,0.08203582938137595,-0.014696761348570347,0.02922348314780297,-0.047973171791067463,-0.062292283602461924,0.06502013623928672
COL4A4,-0.04474994263566059,0.008906872704106405,-0.016508906024286653,0.007301973169130518,0.04442381740060327,0.06697490290848088,-0.012422790105480393,-0.025175487606719827,,0.014792053797365784,-0.022235672366952047,-0.03103293252789218,0.05267287395109651,0.01203469964873877,-0.004714522929789959,-0.03345226533433885
TAC1,0.03520263231008558,0.023325976306091848,-0.017874240467516483,-0.046960902842418654,-0.04911169518404933,-0.07138177798361194,-0.04057772775973702,-0.05375427284782848,,-0.045092151836825536,,,,-0.02961266027891809,0.001885744383571906,0.0036879447317220092
RARRES2,-0.0710060666167512,0.0010361331060925012,-0.0009967826986258374,0.043028885959638614,-0.016942549577047526,0.015297319335248152,0.0391688854892312,-0.10029708919121108,-0.027359490502780793,0.03348004148367635,0.010331543741384924,-0.005705269591754576,0.0029370143205766793,-0.007815725812143792,0.006616183983427834,-0.008358625715255547
FGF7,0.0065227717574132755,,0.06969659060773467,0.03362178546369729,-0.021167332693177783,-0.032110223378854524,0.02639945515482634,-0.02121761873071936,-0.03883647054401008,-0.05554160978803341,0.07087003182254761,-0.030471366845198387,0.029334746113606817,0.038286341641106204,-0.043763776916220645,0.016057658476072212
EFNA2,,,,,,,,,,,,-0.01842089024238234,,,,
HBEGF,0.08837145081705218,-0.044283315191079524,-0.008345762482231983,0.05971658773351058,0.06062179136391192,-0.0068109988890538474,0.01363087702204597,0.08303036930737752,-0.06802832842129429,0.03741223170485243,0.029870265001640393,-0.014918679458463681,-0.055799625356522956,0.025959098146676737,0.05107850230708814,0.12482038753375028
CSF3,0.024444779266513603,,,0.02066006777566533,0.10549003816033069,-0.012424890299991964,,,-0.04064283224853444,,0.01973022054082152,0.03915145741338622,,-0.024606831017024336,-0.02283077744123369,-0.00508949749664228
PI3,0.04334163622645327,0.143769413392946,,-0.0022198618700049067,0.11788142045522804,-0.05144448478098065,,,,,-0.03812683634459634,0.0249190480985465,-0.021141461738439095,0.03492897277227095,0.1361360164883021,-0.061470842879640386
PCSK1N,-0.06503585984498941,0.007947315413904312,-0.002152809325509127,-0.045571893657049896,-0.05549190416741532,-0.0021045405916506714,0.015652085570341687,0.008512423347564859,0.00809291444801172,-0.056091685074036425,0.01127545079745674,-0.023332770086419808,-0.015102380865632275,0.046036225818386345,-0.016118069193438746,-0.0276180300184441
NTS,,,,,,-0.016522291338529865,-0.01516540415928901,-0.010008561785439808,,,-0.016707643125468432,0.013456030687398896,,0.020519377033821416,0.01703490147569627,
SFRP1,-0.05043193278670661,-0.060413674444503254,-0.01987634414763633,,-0.024066181095203296,-0.01913199386299794,-0.029929579577129554,-0.024662543109384136,-0.02204353073387015,0.03278221179296755,0.07553374086247434,-0.020552074627999933,0.011113212034505836,0.008223229484451713,0.06631285250134128,-0.021867028646170364
CXCL13,,,-0.02093055025132438,0.015747941098075594,,0.12094394540247311,,,0.007990616581404288,,0.030949442067884046,0.004353927655211704,,0.041077450395991776,,-0.03854835869263027
MICA,0.0325991416451594,-0.05981569135628726,-0.04674890095207894,-0.05593310119988778,0.0778846322703115,0.019656866996163844,-0.03218906776210423,0.02461917354777241,-0.02773021706096997,0.04406873857412202,0.06467591461679872,0.026414466155433854,-0.02310734879363964,0.010618512971097917,0.06709439350808347,0.030299782142151475
TG,-0.03567281865640339,0.00454068827820048,-0.017760011389824602,,-0.004197013971106671,-0.0004764794873381974,-0.01750487420167476,-0.024293677606572545,-0.036680783898779205,0.09117098015679446,-0.01743011966729819,-0.012961511632860105,,-0.0018098042022818474,0.006734713857511813,0.07653797353966581
ADA,-0.018363495004985363,-0.02675863196363253,-0.03668981891564707,0.04111730623398025,0.033542912789825435,0.0048456645518477875,-0.012307179287585079,0.028264885376490113,-0.017917524992127995,-0.019730929576772915,-0.02037999427487746,-0.012254989017144034,0.04087689094955702,0.04883699465795747,0.015729346667814365,-0.065196235961838
