,MGH258,UKF251,UKF259,UKF275,ZH1007inf,ZH1007nec,ZH881T1,ZH916T1
IGFL3,,,,,,,,0.039907619696704526
BMP1,0.08546428805557667,0.005621770167262437,0.02180915499972477,-0.021601137086549867,0.029931158240546818,0.1063170298265332,-0.046998359871610294,0.02103294962844037
NDP,0.05534423864225298,-0.020244039591973698,0.0025446044070606146,-0.039130461847130024,-0.012101765973981203,0.0019280101255821848,-0.010643469412261885,0.034920629965124
TNFSF18,0.07761919029515844,-0.002108324614577609,,0.07309241291227557,-0.02525769929910307,,,0.06722343038191524
RTN4,-0.024514466705858953,0.009354344134414501,-0.04277500510369111,-0.03787353150973352,-0.0183263150964063,-0.06905054462465307,0.0016815120099729027,-0.09124894862129851
HEBP1,0.050712762903397095,0.02718856448327442,-0.02507728180005858,-0.041522447450718175,0.08665522467301631,0.09670115976405139,-0.054812363727496094,0.07533058630420501
WNT7B,-0.01698506134734137,-0.01680714086476464,0.05013204980479689,-0.036180040879091956,-0.027806261640220178,-0.05548894358315057,-0.00012603708295888202,0.009664161619238512
PTMA,0.06840070257891145,0.04618844751707831,-0.005569375108214353,0.000747052982665936,0.03127837477449596,-0.05025272089932041,0.04803824269423948,-0.04636444924335856
FASLG,-0.0169850661489747,,,,,,,0.049779395799841766
CEACAM1,0.11712603851899575,-0.012898469732253294,-0.03734184816829468,-0.019851537735521136,,-0.04178456600563742,0.15835521404029418,0.050741869766233794
PDAP1,0.016910704774493128,-0.011364022167245778,0.012605222234195952,-0.0072517781368537145,-0.07385454263387063,0.01644912481944784,0.01801926206023039,0.027151240643965523
QDPR,0.0307679901921913,0.03170996893608963,-0.023593683358465223,0.028147464281291248,0.026656909636862097,0.08699083421458187,-0.008370028056728599,0.07902032865809701
POMC,0.1024330189058456,-0.008905952200373206,-0.03477424410467253,0.11693563874141363,-0.054899182630544115,0.03901650562931265,-0.021132683786929236,0.036600622732128
CCL18,,,,,,-0.03582808085810118,0.0004002041900467305,
CCL17,,,-0.021643797058058946,-0.01574220143679681,,,,0.22603845307991977
VEGFD,,-0.018474470079646595,-0.0005090623135945418,-0.01677198413719035,,-0.01371307236863752,,
TNFSF13,,,-0.014929406808167262,,,,-0.014506413918644928,0.12628579477429716
WNT5A,0.003998668474007356,-0.04345170147718012,-0.0280934453217316,-0.01745998266092391,-0.005931722433412476,0.061711022416296155,0.06192192285226365,0.03413661486831063
CXCL8,,-0.017298398765817378,0.04804109487851187,-0.04271802728686199,,-0.027883629041312544,0.0031044035245702665,-0.026863710681672755
GRN,-0.015708359601620203,-0.029234039463893035,0.0011533910905832721,-0.01908294724113565,0.06238149540845069,0.17540862257777295,-0.035523406681511945,0.04768024395507258
MIA,0.019433526598314176,-0.016429901716982758,-0.019896130695215692,0.06990009882310327,0.13950963662845808,-0.07140293136737927,0.0010581584697736412,0.029590100955021056
COL4A4,0.0038442700027829222,-0.01616332974718455,0.036799368757396624,0.05151860584498257,,,0.03590001046130193,0.059104536487434696
TAC1,-0.016985056908099077,-0.024675775291996178,-0.03532786783015386,-0.039077852871271405,,,-0.0049003450030929594,0.10448840958115806
RARRES2,-0.014712198572467595,-0.012123590618312127,-0.00962245404403598,0.017128151264505877,-0.0032670890599278517,-0.033899729417688554,-0.011138138478076874,0.011770249964918381
FGF7,0.025020494918335162,-0.02085185556094086,0.02390388740730332,-0.029455656818920165,0.04043466909067319,-0.06114446623987611,-0.009848658899423733,0.062093247607295385
HBEGF,0.001117024221530885,-0.006086206837982196,0.05951261350772601,-0.02320320891256119,0.007506096523343828,-0.06918546835846734,-0.026984730605074152,-0.018645322549226743
CSF3,,,-0.02579751890480091,,,,-0.018520184486984188,0.11969229454708404
PI3,,,0.020299939546690272,,,-0.05735139115399177,0.021705167712492625,-0.046387080925867956
PCSK1N,-0.012601014795281978,-0.059874011596287226,-0.03924230890503921,0.008767865261714301,-0.015120571894737752,0.062072048025097054,0.02865043111504745,0.04753523635804498
NTS,,,,-0.01877547156766265,,,-0.02513306753436794,0.03285637657704244
SFRP1,0.06983656557742798,0.012707062231777875,-0.01888504954362454,-0.019187809321953363,-0.005634171230421616,0.08919716441377522,-0.053479568643984544,-0.017617243501537712
CXCL13,,-0.031189606413777594,,,,,0.032150387845539856,
MICA,0.020060568715440243,0.03232237094379141,0.0415190190543639,-0.02566553835406294,-0.024302743102044038,0.028647220180356224,-0.005833447422293777,0.026293550209456847
TG,0.051157140559534874,-0.01753931999665247,-0.006470174611720174,-0.01585967220767757,0.01491492621406369,0.009080767468587818,-0.015242396424699687,0.070185639958008
ADA,0.10855401624299683,-0.03623389988079968,0.038230230184882454,-0.02811116069197874,0.07114786450115526,-0.04025425700059125,-0.049862153356448315,0.055657410294018377
LAMC3,0.004597190462099128,-0.02025940556070416,0.05653791363998506,-0.015200180237469033,0.06788642086449627,0.011874537301588004,0.015578561641103703,0.02099702157527586
CCL7,,,-0.014734678877027252,,,,,-0.02237303129497271
NGF,,,0.06428516735933111,,,,-0.031795109569213366,-0.00938316765545254
TNFSF15,,,0.05494764998151009,,0.019650737394019315,,-0.011500716614080253,0.03027659247113799
HMGB1,0.10286036187095342,-0.05601973024627412,-0.010544575512373753,0.02107244361434561,-0.07024844994769346,0.04533067142134487,0.05392421803907311,-0.06556746071665791
ITGB3BP,0.01300616156955917,0.03330946141552094,0.033400367014011036,0.018765260044140815,0.10979553406753385,-0.029041240693336565,-0.013719106552960629,-0.036599944936524756
AANAT,,,0.0041414897369900444,0.0240974340847098,,-0.0033360420549475647,,-0.02367160011421898
RELN,-0.016307591325849316,0.02387719138842933,-0.025914109618112333,0.0431759438131082,,,-0.013891619310376213,
IL15,-0.0454531543100207,-0.022344825339781695,-0.04009399859699276,0.020189766501964492,-0.03543076771971492,-0.05623891340868482,-0.014272205193765201,0.11641212004125547
UTS2,,,,,0.04441523313930057,0.04264593708787281,,
BSG,0.01814901480764108,-0.02680656127278666,0.04570624135668352,0.001668234979863595,-0.07742330000319121,-0.07436119421626501,-0.03497194731198549,-0.0009025247107148811
ADAMTS3,0.061194039308844886,-0.007829999688772555,0.04768838263564375,-0.006799505826943776,0.02070908245668304,0.0333965514703935,0.008001323755682596,0.08960113877407572
CD34,0.006404967075644633,0.0320471456572996,0.051990186907517104,0.0029575051771929,0.04401666506543379,0.009141077351351405,-0.0340863156017977,0.024346741057408937
CCL23,,,,,-0.00200828210445848,,,
