,UKF243,UKF248,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF304,UKF313,UKF334,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,0.046897495618876225,,,,,,,,,,0.024837725175497257,
BMP1,0.025750830479640704,-0.01203861109773044,0.039770422539204285,-0.011729826540601687,-0.018783669505390118,0.09749966469083984,0.0927287952793282,-0.028537067647265935,0.11187801310694212,-0.0053446961364532735,0.007568019626753657,-0.010190303934204082,0.11595955930102934,-0.03184948248286989,0.03258516147259422,-0.024820358117319394,-0.015553934701671629,-0.02642328735261174
NDP,0.05586825253425753,-0.022435581978746993,0.045548627160802366,-0.043505992168560666,-0.017732630647177797,0.03285349381167354,0.0715441301410456,-0.05123500085713632,0.021821633620434624,0.06275392751888703,0.07935430856587557,0.08867048735892574,-0.00461474298328944,0.022623204482250713,-0.02448759946297826,-0.029961820306821364,0.014864260247568175,-0.003743098473876744
TNFSF18,0.00205878731910358,-0.027825138639566545,,,,-0.017643351553203884,0.012613093435873298,-0.01588254220315409,,,,0.0661743583011219,,,,,0.052687695295077865,-0.006727525871762184
IL36G,,,,,,,,,,,0.09001722009963394,,,,,,,
RTN4,0.035280669063626716,0.03713060458509864,-0.036984852373103214,0.02547658366093328,-0.003443072626791257,-0.044939624679125684,-0.07655097861625738,-0.002407677992887612,0.05162736063453901,-0.03853298478864726,-0.044824938273546396,-0.09372488030748534,-0.05845240204561181,0.00785881822809461,-0.06137765697710998,0.12042581284942586,0.005740973944834484,-0.012164588531332081
HEBP1,0.02715452495683966,0.003598457855040142,0.03028321504239445,-0.038254490146799824,-0.025491446363155056,0.03617676789851769,0.02413745362859774,-0.0085162396706784,0.03178490043711351,-0.03895462440903707,-0.013602360856437257,-0.1291864341886637,0.018310435575164465,0.043332452932806784,0.05905135659744138,0.022478318526950737,0.04789613220688015,0.042674295608870205
WNT7B,0.11388696898133796,0.008928607332746212,-0.03854247499673972,-0.004506463907047955,-0.021303123167168845,0.05654548808474162,-0.021625850604711446,-0.007752454914447653,,-0.02276289030757683,-0.023462747953695257,,0.0293091540316326,-0.036393697584262655,-0.018182667460930748,-0.005436630578369745,0.06054084491269345,0.04998145708786292
PTMA,-0.002664335203860493,-0.0019682458964215346,0.07182087485444683,0.055125597044986915,0.009664291976633089,0.04419672294060644,-0.04410041125880378,0.01516777095341917,-0.02598230815621838,0.004798221951902845,0.021358786596399545,-0.09968976613706429,-0.06579297656213068,-0.08708411339089554,0.0012274945730191959,-0.03416008931633247,-0.06814529340987698,0.0005738237318632365
FASLG,,,,,,,,,,,,,,,,,0.03532363910933835,
