,MGH258,UKF243,UKF248,UKF259,UKF260,UKF269,UKF275,UKF334,ZH8811Bbulk,ZH916T1
IGFL3,,,,,,0.014669199334278682,,,,0.08998094415718731
BMP1,0.02874642937903219,-0.012750411019974747,0.052949364007465645,-0.04275401601365916,-0.019965049431363787,0.04189793989138011,0.0009608038272362583,0.04504645258695641,-0.040141765753571826,0.08190161073034556
NDP,0.007909896583115883,0.022089344848156483,-0.012355886901256705,-0.0012474342688042579,0.02806261794528948,-0.007995401297828277,0.007959884852420638,0.059279487932302796,0.04481883188554059,0.02514844709933703
TNFSF18,0.10330536290839624,-0.021812093077846362,0.049735586001648686,,,-0.008094677067380774,-0.010647509681371023,,,-0.026508011870159685
IL36G,,,,,,,,-0.018686341388250278,,
RTN4,-0.015734114073376403,0.07052303345199216,-0.024863801466738323,-0.005257362809910681,0.030995283045897645,-0.12406487230175207,-0.02398253095532177,-0.02130659838383179,-0.009215153790301904,0.013003794086538038
HEBP1,-0.012877009259564016,0.051257075702493576,-0.013362053828491146,0.029058580265156897,-0.009467787591454786,0.01148742673393038,0.01170682443044143,-0.01896501209919883,0.03935318130907126,0.007505823456039647
WNT7B,0.12144142932847213,0.08389721221214165,0.047753927286973176,-0.022088078367480085,0.06217600654243399,-0.019888728128150943,-0.030520095349847606,-0.020538442625819896,0.007843399043908348,-0.03354185745963781
PTMA,0.03421213349316424,-0.05651608630516647,0.022004338351014764,-0.03394175335604759,-0.036987844443523064,-0.03178431580235066,-0.033387530187779506,-0.020745491536170176,0.02674672252527962,-0.014684861168406262
FASLG,-0.016485147707189434,,,,,,,,,-0.013629416918361
CEACAM1,0.06302142736844253,,0.004839648994160443,0.02383547533168534,-0.014562086703078427,-0.01288656183699097,-0.016745996129576765,,-0.02043581254088851,-0.018963331844925296
PDAP1,0.0019494332128210353,0.04781504575918598,0.03878020298270995,0.01993758927171882,-0.01023890210841307,0.024729268081531183,-0.05576886883230743,0.047953717623113595,-0.020132392967780976,-0.001692814978496821
QDPR,0.017218609747576556,-0.023732737554746565,-0.0015938256637711232,0.018324679181503475,-0.04237982016971691,-0.1070300574055939,0.03713642021931561,-0.009080298631924564,0.015247333556506664,0.04021625533509199
POMC,0.06002150590196581,0.07583772355591623,0.017596442440623337,0.0011550838192832032,0.10469525820599655,0.05211965025035708,-0.012354528249030876,0.03353206031943492,0.02832890467201489,0.09559425487911942
CCL18,,0.03022087365131509,-0.006211216179222895,,,,,,0.009693931814190497,
CCL17,,,,-0.014783244118918758,,,-0.013279517579130084,0.0030584927450819067,-0.029500378351515016,0.05345288614589669
VEGFD,,-0.015832984292299897,0.016434141865524162,-0.016470166457991212,0.03755451422990571,0.028366438173965083,-0.014148202783512946,0.054306529575349045,0.03989572713991302,
TNFSF13,,,-0.022229633538338723,-0.010197150934457042,,,,,0.1255132368017131,-0.02012905512898304
WNT5A,-0.013219941424712002,0.009110824247673288,-0.00765269349694786,0.06447211895332743,0.02014442326690073,0.06558087029565453,-0.031154327220936955,0.030084578718200625,0.04269395364352086,0.014165508024507193
CXCL8,,-0.06251366123087532,0.014359381243032812,0.006336114206298992,-0.04095314327906431,0.022433300065112172,-0.0030744125112850693,0.0008551990012420287,-0.0748188144654104,0.0022493950825223136
GRN,-0.0621160878727528,-0.0029663654009628167,0.015611183163649922,0.035575222168217936,-0.02194602553063108,0.09422455481165778,-0.005372019342320313,0.024001283491748307,0.001547452468246562,0.07017089186898658
MIA,0.0628975632329962,0.019673220058292883,-0.0015069427981877067,-0.03112855255171628,0.02495744447009727,0.03515069581957951,0.01638884294211178,-0.025055823364226033,0.05478554825328154,-0.020979437672036066
COL4A4,-0.019091809749473877,0.058347672884296056,-0.03537830043497699,0.03496916859801062,0.03444652670300639,-0.0021792303270034585,-0.013864227203243833,-0.024305078211755923,0.04383634863887543,-0.02477483567434117
TAC1,-0.016485138738298866,0.106186730058673,0.03179591022995515,0.04669075875624284,0.005069093617331057,-0.06352521771791164,0.03760374107083801,-0.018276860810557734,,-0.01623997868761495
RARRES2,0.01866176100814798,0.0351621269677567,0.02717276585190344,0.06485003197027829,-0.03837200899605777,0.09096292700969907,-0.006405921107017909,0.042009763934837796,-0.005255400207908864,-0.03313062793522938
FGF7,0.07535937486351628,0.00488277326075814,,0.05092213484396609,0.04587535072228432,0.10606226870076639,-0.03160527851273665,0.07196842059587688,0.0006116486163086222,0.0244407403750063
EFNA2,,,,,,,,,0.06473156717084293,
HBEGF,0.029760046729905832,0.0066641525088501465,0.022815823832882814,0.031879170345407146,-0.047671630851811496,0.02331244539703561,-0.021596414342394284,-0.011585231696704293,0.05108574688094012,0.088626772632353
CSF3,,-0.03317819454863184,,-0.017620337993794494,-0.04641835271258064,-0.02247913310204053,,,-0.05626220390245858,-0.013006367213817214
PI3,,0.035705837293883776,-0.030990604046801894,0.009986858462258436,-0.042738314661543354,-0.025311800565340423,,,-0.07121640997010262,-0.013740915998339156
