,UKF243,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916bulk
IGFL3,,,,,,,-0.006782570519063398,,,,,,,,,,,,-0.02896409836516301,,
BMP1,0.02432423303002297,-0.00830541519498448,-0.042165716226358264,0.015480140498623436,-0.009713341791812994,0.01635305478784166,0.06667023265574762,0.038492171505100384,-0.0002767114409367226,0.01805410935395205,0.055053109420112566,0.05886287150025486,0.03809311384284343,0.19165597054551856,0.032701179793713155,0.08488685168589821,-0.016802795633913903,-0.05494490074318322,0.013277361358984543,-0.038209325613289186,-0.03207492141800189
NDP,0.04708818274004215,-0.021842675362508782,0.02006875839952468,0.01708630931653426,-0.020399488942694062,-0.01927515168869473,0.046868050812462425,-0.01757388051329428,0.04203327249156413,0.007425253352542892,-0.009580533894445471,0.030844819389243727,0.04283018885683816,0.14052456592736715,-0.045644474012692546,-0.027240784702479825,0.017495025756040634,0.05366075581031068,-0.034985348984996174,0.02061660305060445,-0.0009833552046175137
TNFSF18,0.0002332154125051449,-0.03846446646718748,,,,-0.020144061312607327,-0.0042554763225234014,-0.00709876203987418,,,,,0.03375488440481785,,0.0060024080812215224,,,,-0.0298701633976335,,0.12849719721601635
IL36G,,,,,,,,,,,,-0.013752909901546135,,,,,,,,,
RTN4,-0.046601439147733195,-0.039787363936847085,-0.05255889394061881,0.029556849405515045,-0.015897817312384637,-0.0398498492727927,-0.10926147414041179,-0.0588399942710166,0.030752720597138003,-0.022749359220579093,-0.03156241532693431,-0.03583297205621595,-0.05945247301333214,-0.037274700378915594,-0.033332833826130864,2.2299249493324673e-05,0.03678536623309136,-0.017415201092190385,0.01052880257949861,0.11167233874691908,-0.07171334318572158
HEBP1,0.07330939806115579,-0.023173606904693375,0.03330644548217993,0.022273313060490577,0.035540769289172956,-0.03657194189919855,0.08203821388239076,-0.0161534857210624,0.00860173771273457,-0.027929164999703864,-0.012489804523691226,0.04367342522116526,-0.00123074124256003,0.020645443347391414,0.03286052262424254,-0.007231569757087916,0.023972940995369663,0.013528267255400846,-0.03769543905806627,0.0006632226851709669,-0.011846443990456024
WNT7B,0.0012909234039724382,0.028814266908214772,0.09572746218336374,-0.012718032066075646,-0.0770279968498657,-0.014857685822442774,0.029333654934422873,-0.039551885612023004,-0.013054821365284552,,-0.0003394153334147957,-0.015116032886383251,0.16246809780134397,0.051071486764122646,,-0.02901984891113828,-0.051302114832825506,0.07795797626756537,-0.017698078103372296,-0.008250648384609816,-0.061899295560879315
PTMA,-0.05101637689338617,-0.00985314532983589,0.026819496683697156,0.03285821876490675,-0.04471570525099768,0.074165830181181,-0.03809219987996727,-0.0573935896999532,-0.037452694521559866,0.031349996902990916,0.03062073759495718,0.0456652629569018,0.05271051747153937,-0.11531263917882796,0.08680120615450332,-0.013142932332208885,0.09663094845725628,0.015318451612016361,0.03296451570567509,0.025288473703586323,0.030258095533727904
CEACAM1,,-0.021729826929511656,,0.015334289689272888,-0.03220588864644452,,0.1671252946114697,0.012611021315292108,,,,,,-0.028145784950398798,-0.04228245556037149,0.11353389742362677,0.006889669267736355,0.0040570552483353796,0.027898968515562162,-0.02508691550143672,
