,MGH258,UKF243,UKF259,UKF304,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,,-0.016603065773361837,,0.07236385963252871,
BMP1,0.03130971687126775,-0.03339406921422821,0.0006851627613939755,0.0599003060643392,0.12408448789783502,-0.008850121188531875,0.03215399912536252,-0.03024967019560383,0.03444062858901123,0.08423352020643932,0.02504464516304979,-0.0037235977296513297,0.10658563920831603
NDP,0.010616757423572168,-0.015353866202448715,0.003556279622747748,-0.02800742452778854,0.07536559923256099,0.027105571305573013,0.04912251386074037,-0.004194067720054535,-0.014496573068320405,0.038558311537484104,-7.272531929130033e-05,0.08920564686406623,0.0356962510498725
TNFSF18,-0.0245043035186355,0.13659276049482327,,,,0.010843723173059434,,,,-0.017122448670747123,,-0.014492702519525372,-0.026911619901329245
RTN4,-0.032867441969364634,-0.021512983416670284,-0.0032661878099439733,-0.05662709131284591,-0.02288235419460997,-0.0008867370764336773,0.006214905932179815,-0.055032727327352045,-0.029998108802632803,-0.06161270526338679,0.02890525780755238,0.06472368756148146,-0.16312365270324491
HEBP1,-0.0021533056725426005,-0.02556439104986793,-0.01169892944608368,-0.019973949525420278,0.09047945396612694,-0.06520677834025657,-0.008138894297005423,0.026336466028021675,0.011601640796127287,0.028547521546735646,-0.001644129690025382,0.07326716198219548,-0.011113370163640023
WNT7B,-0.02158752390378919,0.07041009566042986,-0.024342219594627776,,-0.05063256969048373,,-0.036130955705575854,0.058871642384869485,-0.014173291563033444,-0.0358044253405871,-0.028773492765516065,0.03428313758118148,-0.03761292570407297
PTMA,0.015018954765710076,0.012699747756790647,-0.01530786165183827,0.03132937280463968,-0.05456001363970756,0.18321957473675754,-4.0220597473867484e-05,-0.001280454036298713,-0.02281832351544251,-0.0669387417557005,0.06195649180105055,-0.11558683298844835,-0.019270164715068372
FASLG,-0.021587530006526898,,,,,,,,,,,-0.0223730359882203,
CEACAM1,0.0020504747197142197,,0.014914767631343799,,-0.045498658399457804,-0.0269422939044525,-0.03240281979885986,0.04303883194046296,0.05656064888409925,-0.024603171132027205,0.11593707947757548,0.051457075680030794,
PDAP1,0.030030762432987766,0.009622093717863878,-0.007931533411400881,-0.0019131846958701322,-0.09040212887529632,0.09572343912049049,0.05038818874989804,-0.012364475417782942,0.03515005097356145,-0.01606016538921463,0.05954410116785525,-0.002290319370529267,-0.06383556351542162
QDPR,0.010932096492385168,-0.055879554065276275,0.017845982561364847,-0.0005878867798317509,0.042685989387248977,0.025890682978428985,-0.026808027140722435,-0.06311875633287092,0.023678037654338208,-0.05985120282849707,0.018162827343978595,0.03991668037345631,-0.07476399018825076
POMC,-0.03629976137894272,0.05017479311026887,0.02068478542158687,-0.030535469265796384,0.02711336547459191,-0.01016745854232045,-0.02062800297486017,0.04895280646473569,-0.013119677294390798,0.07528528350972849,-0.019571837407467603,-0.0024078360607723216,0.011600185252964815
CCL18,,-0.02463928340392414,,-0.026130371490082606,0.00964040094442298,,-0.022974131990854137,-0.04746257682271915,-0.0019561280046521126,,0.003620118890950324,,
CCL17,,,-0.01629190953947001,,,,,-0.01840034246555199,0.10728696941523783,-0.021890183145766066,,-0.020278644192445378,
VEGFD,,-0.02776127070933696,0.0130029932762638,-0.020126946707817128,0.09188768083377068,0.02846991685447694,,,0.05508184265848852,-0.023087386828666782,,,
TNFSF13,,,0.0406743123496534,,,,,-0.009155748160190097,0.017883759963999307,-0.0022528747778845786,-0.02144508409778009,-0.01978001999596701,0.024985951638253113
WNT5A,-0.04169298998002398,0.03227019518307845,0.010220592157404383,0.011742215027432992,0.039775060864587874,-7.190136637793462e-05,-0.020089785811391647,0.07664585122965295,0.006524131113917635,0.03954385751651635,-0.022592658369420093,0.013448569860290917,0.04587367490243179
CXCL8,,-0.08520701285402622,0.00908112876135471,-0.018355883901549342,-0.07630396890907999,-0.016673779324415966,-0.021497352001371546,-0.046121630712270094,-0.06489035720254743,0.01668139537193944,-0.011272960452751725,0.05826823586146508,0.01024977761671834
GRN,0.04563755235496371,-0.0009261922161713675,0.04094034915431095,0.03513884904331138,0.06256842047376832,-0.04027050679711924,0.034454986967652625,0.003590498091308081,-0.0051871406290372925,0.03198112853229306,-0.04653245798128628,-0.007368524632148662,-0.008568173695249317
MIA,0.005623059851922527,0.04509211433582003,0.03483092758616959,,0.004191750233425186,-0.04141791727250838,-0.029114852089160464,0.05495205921396282,0.0434246701337721,0.07007444198457184,-0.004764523833761026,0.05269708018881731,0.0030459179199505385
COL4A4,-0.025000990174078152,-0.027946563892666993,0.0032897770033727238,,,0.11349492191326302,-0.0290464811791396,-0.011073068381323438,-0.009680111970783485,-0.03372005764253099,-0.00018699846620426702,0.0504755798949827,0.11593626676690248
TAC1,-0.021587518261640064,0.14065908928655332,-0.07903443249264802,-0.006860916018507379,,,,,,,0.012035161421563549,-0.026658339810301503,-0.09210125886130567
RARRES2,0.010219527010611747,0.05450194990760428,-0.03657812951837706,0.04897136619409941,0.003307198167434316,0.061046846131949245,0.02557331615512846,-0.06033165513970582,-0.002285756409640463,-0.035198147763042746,0.02138684622162982,0.06380057580754916,-0.04919487907627007
FGF7,-0.07125065418504373,0.02658246876701468,0.04679851090976404,-0.01918226587284678,0.09415186580580143,-0.044477656428032405,0.039665967873225495,0.008757903001868086,0.06586220580998196,0.0649720487942665,0.021895966570653836,0.10230528464669919,0.0036262079886652202
EFNA2,,,,,,,,,-0.02006557034166548,,,,
HBEGF,0.03045001232192386,-0.07629471988183349,0.0011274627663755469,-0.04310460766882523,-0.10579851400440354,-0.044789134355752006,0.006190650013270748,-0.0017980029996925375,0.016916061212240003,-0.0023605574702571406,0.006545218536806986,-0.043075063915492914,0.05939436439167594
CSF3,,-0.02794654176728888,-0.019418535629971218,,,,,-0.06728436767889046,-0.059717894345167756,,-0.027378710965864826,0.05832797108794068,-0.05082350764900642
PI3,,0.0037272063181991574,0.02938634031936901,,0.17737236913881554,,,-0.036135611069619565,-0.07070668264951224,0.007817688915590936,0.02952596132337287,-0.010750138595416073,-0.07649616829798281
PCSK1N,-0.033597409745404386,0.05965877225593356,-0.00843122130232383,-0.008584721006870048,0.06985638061306182,-0.04098240306657176,-0.05140760092941472,0.03277561006255179,0.022581065723354946,0.02916801515116531,-0.04570417417490134,0.06452390151328154,-0.06628556348545606
NTS,,,,-0.018120717357698834,,,,0.020771337960378042,-0.02444608974999029,,0.013626403965101019,0.08851583687112412,
SFRP1,0.17030111316745145,0.04107610394679907,-0.014215320813987206,-0.005877172566578556,-0.094009934440679,0.010202858440313238,-0.01811590029354655,-0.006641287896255093,0.045768637415360226,-0.014644391218930639,0.04404740434263395,-0.030882163521351202,-0.06340641788215232
CXCL13,,,,,,,,0.003179099720484486,0.023684100709283302,,0.027099682474011882,,0.09964654482611043
MICA,0.0016158124024446914,0.0174235508796288,-0.02850291767786165,-0.03712038925004441,-0.049112984665174525,0.0019112414617068463,-0.00441654801275888,0.05466303377209255,0.061264942826885056,-0.03769183499537669,-0.04435975213311972,0.0212882080822162,0.0604313914610843
TG,-0.02500098454000876,-0.022277854385857002,-0.015340583351892242,,0.0028814289771525634,0.02730226936055163,-0.037407258183919025,0.04482677640346381,-0.015436696434315701,,0.043170148129059636,0.023154813878712308,-0.045429908237948076
