,UKF243,UKF259,UKF296,UKF304,UKF313,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,0.02838583503952217,,
BMP1,-0.021540915930796635,-0.03800508733162062,0.0059821947901278335,-0.035919184065098295,-0.06350974781673337,-0.009745110768021429,-0.029012422988655393,-0.015095977011839063,-0.018448388733270156,-0.011506563482369015
NDP,-0.02312519985929518,-0.012070044076469628,0.0225418512954269,-0.0383320650883851,0.056865600314282054,0.037465777906174384,0.009597431583243072,-0.001787681726919607,-0.06826687261782806,0.051003334234301125
TNFSF18,-0.018681622544385316,,,,,,,0.018001569326592724,0.11151888450921574,
RTN4,-0.025229673731574694,-6.387822226950959e-05,0.006039643149539671,0.04407454317830384,0.05093224777804437,-0.10340482985789726,-0.0037217424015936313,-0.018187660852346136,0.004522581596907181,0.1021959677078632
HEBP1,-0.056087267905753455,-0.06330902459619894,-0.08025929088334226,-0.0555956645222514,-0.03255265777669869,0.015041776441831611,-4.351803716695578e-05,0.011633959961852383,0.04944866527922247,0.10545517984601976
WNT7B,0.06387380693192493,0.057076942759480234,-0.014006903270156563,,-0.028951819020436934,-0.003076259077055402,-0.020366673885378588,-0.01900799752121946,0.03500187721602221,0.09546283657446063
PTMA,-0.08010180604333905,0.011252566133298336,-0.022511348632471416,-0.07075879321785178,-0.047212018827751556,-0.01713387283535085,0.0036733736898655876,0.005048454396669758,0.02619191221395303,0.05585484537507851
FASLG,,,,,,,,0.08825990523447742,,
CEACAM1,,-0.028461488473507195,,,,-0.01808102367201837,0.013910976617101478,0.00041572599816961086,,
PDAP1,-0.0016767066317484097,0.06458114708894934,0.03982861803128708,-0.03596204875181941,0.04388237476756636,-0.0031095226738928755,-0.039860981076954925,-0.024678104393445786,0.009038271898865281,0.07918654770337316
QDPR,0.07746635614977763,0.02996348050289127,-0.005855712254056214,-0.09280369194596949,0.043192211473408716,-0.0007878350797398556,0.056052544235005726,0.024558862264872514,-0.019558620318831845,0.027758025137893265
POMC,0.141345152789671,-0.026504492849403104,-0.02227956516574821,-0.02037510375887928,0.06576638468639243,0.0462155117841039,0.09751383139549907,0.07251989378446792,0.08156824648779695,-0.06466818202817332
CCL18,-0.025053591913985443,,,-0.011325222997788091,0.06293078635196044,0.0641185504530014,-0.028203778874194493,,,
CCL17,,0.017883261732317888,-0.017336619721862085,,,-0.026101092786988845,,0.15054376696594501,,
VEGFD,-0.02822807530411516,0.013636553816406967,-0.012716620225105613,-0.02101248568350837,-0.017399474330294287,0.004357700659199202,,,,
TNFSF13,,-0.011379006680974281,,,,-0.028370995491485272,-0.015179423569579693,0.03891725639907114,-0.024863175947064838,
WNT5A,0.009939880461384545,0.02034697145586312,-0.021952950709596235,0.1386125540991404,0.0026962537170995746,-0.0007623405495349118,-0.04609079624492795,0.06675982372288919,0.003502506280015383,-0.04875769690230109
CXCL8,-0.05169997706154151,0.048725955937725614,-0.011842269690648279,-0.014612665239450059,0.020524778881051104,-0.04422638128322702,-0.0134269129187809,0.011455627269209342,0.05758748454639377,-0.046514647972872226
GRN,-0.04762782866770289,-0.0171842841826356,0.01416817043504583,0.02577316757703005,-0.0061307986643472905,-0.010780374581889967,0.013921643538629246,0.07225246478408756,0.03108395475291316,0.07233030926295425
MIA,0.06916997531164087,-0.025985870903434165,-0.014462477410774702,,0.0762173797724948,0.10176348264780598,0.00807370922517329,-0.030868297113764306,-0.04554557441995683,
COL4A4,0.057462415145857856,-0.008630379674604912,-0.02429581188742726,,,-0.015084498922060657,-0.027242752328947763,0.09176490368446301,-0.027788363849423663,
TAC1,0.06504454184024887,0.01206016303652249,0.01900612327026704,0.03619421647838332,,,-0.02332181041532054,0.03594596184684132,-0.0404809259327755,-0.011772735276717407
RARRES2,0.01694586103163572,0.03349547420276382,0.015116366295242475,0.07456868606085007,0.13586839199988565,0.008528339621709631,0.012118002093694378,0.04860988149730044,0.07845972033266119,-0.05445950001035406
FGF7,0.02273332380768727,0.020733316102772428,0.0171751413295647,-0.026287128560291795,0.046302505579587316,-0.0096152011169801,-0.007613219095078186,0.016121485464700172,-0.023030623789717014,-0.10473512955088708
EFNA2,,,,,,-0.01718480296251081,,,,
HBEGF,-0.00893783921457188,0.00657574046432105,0.02510926192156768,-0.03066822572266668,0.05673625849243572,-0.021535994091569616,0.033744923261040914,-0.010500675233445595,0.021752089741051743,0.09189957043362555
CSF3,-0.0284164616870836,-0.019662545454230688,,,-0.026139686835494884,-0.03759914938617114,-0.019379408756106446,0.11241366809858058,-0.011254001258339967,
PI3,-0.033663536359059804,0.01982819059948611,,,,-0.05507202959279214,0.005259366682013186,-0.02458483517515838,0.09611009581566833,
PCSK1N,0.09576965481229366,-0.013062860498640553,0.04753929157919703,0.036239401290389245,-0.04280260512206431,-0.03812619339284757,-0.004170260501950058,0.02840923229178469,0.033225646583652894,0.016444603591249538
NTS,,,-0.0020324472423520644,0.009362349807373856,,-0.020936421362771445,-0.00786218604337687,0.029482746097052502,,
SFRP1,0.0775134402856584,0.06504046881783844,-0.017336619896456087,-0.006354914627999508,-0.029044193283668435,0.0021914538155645724,0.02024592706398225,0.09021513929757738,-0.00859191168841771,-0.07963715238185988
CXCL13,,,,,0.0691422021683517,-0.016520259588509504,0.08328974677299623,,-0.023709646040271946,
MICA,-0.010201856894946971,0.02047254982651243,-0.04769790010957311,-0.0030094229523600804,0.02960508303025532,0.08446624649497103,-0.021307026843510494,0.014953615661658665,0.0017740751247018766,0.07578986690953482
TG,-0.022652455566689114,-0.015533350361674149,-0.01254643640634049,,-0.03713802154429546,0.10056337323407269,-0.01594955120152648,-0.04027725064770791,-0.026128152632352367,
ADA,-0.03349928113972295,0.028269212403234645,0.008270763812496175,-0.021797799060554186,0.029452119823773444,-0.018550151216163522,0.054063175359636895,-0.002020543255622881,-0.016029406447482193,0.10106573861429195
LAMC3,-0.02653529967639778,-0.04342216004337837,-0.029532350309561483,-0.01858571141715536,-0.030964496957331087,0.027392058807747238,0.018726990266884704,0.03078946957893393,0.01947924300430673,-0.05913924054015704
CCL7,,-0.011230587493401318,,,,,,-0.014799688165529684,0.05103666007815777,
NGF,-0.016371531358433573,-0.02573214437410502,,0.09596319516437535,0.03618553353579659,0.03090811727830463,-0.010254587085939163,0.09750442271930719,0.04980602879782701,
TNFSF15,-0.0202536275132625,-0.012505808454900472,,,-0.0166462663692599,,-0.012034280134144542,0.06994724265371713,-0.01612114067792334,
HMGB1,0.014500305683588177,-0.0497008693472892,-0.03708241292881187,-0.036328421534052545,0.04207409756705442,-0.053537806129776454,-0.014597870690164919,-0.0865656058676415,0.02249558482260475,0.02735006593491248
ITGB3BP,-0.09362500642865247,-0.023234994367159253,0.00809005068054054,0.014524027339024102,-0.0016996034634939776,0.018795145808112895,-0.042115300881593314,-0.008742138383170762,0.012055226152255025,0.12518972028617772
