,MGH258,UKF248,UKF260,UKF269,ZH1019T1,ZH881T1,ZH916T1
IGFL3,,,,0.010729094427607444,,,-0.01818616579599172
BMP1,0.027308811926101975,0.0029169347304447376,-0.06604525422149495,-0.005876739022026749,-0.030824401939608306,0.0845453987191966,-0.05737135095059564
NDP,0.04767422135250697,-0.030974651062099363,-0.04387779285978556,0.053495202311780614,0.033907177004955484,-0.023388680812594376,-0.04466294347211944
TNFSF18,-0.01927998321590006,-0.029448343766773317,,-0.004974571395896957,-0.04352256225297651,,-0.03067681034513756
RTN4,-0.08870059475115896,-0.0027096854479400673,0.046185917672997574,-0.02691822379220113,0.02270070670455664,-0.027216395581345837,-0.020399026957162836
HEBP1,-0.06221893173803302,-0.0010571669896936046,0.003562488927814252,0.0005584869846902583,-0.032719873557296206,-0.001490016033527018,-0.0028284701393366256
WNT7B,-0.01698506134734137,0.004838197120200889,0.018066524910487207,-0.021095063072746997,,-0.022067364814158254,-0.014988325881812365
PTMA,-0.04622438619121601,0.017590604144942283,-0.0313104698577401,0.012234279319406934,-0.017286843608227034,-0.004345330886281663,-0.0008354911480270531
FASLG,-0.0169850661489747,,,,,,0.11623313509210616
CEACAM1,0.05695596413400512,-0.01874306375516329,0.12775374863655914,-0.02970391038961568,-0.030603747668170613,-0.014646430968300345,-0.021945611665186587
PDAP1,0.0954790859985567,0.008209148252575325,-0.001990540293140253,0.03488620089641097,0.028418129909111186,0.02661193530413549,0.007088325685391419
QDPR,-0.09119543668737982,-0.04597567146997517,0.00914811688467194,0.04434414533032429,0.023175548901617923,-0.016304718943131798,-0.046851978472657096
POMC,-0.001778685477715698,-0.029080148144142573,-0.03490349530557232,0.0559812069282183,-0.03196589614995198,0.007642605767903061,-0.0333148213214358
CCL18,,-0.023389572646298724,,,,0.08051832398362022,
CCL17,,,,,,,0.1320959923274229
VEGFD,,-0.02338958007358354,-0.016595310043910915,0.05314000475636634,-0.041605124309621086,,
TNFSF13,,-0.01765052769074801,,,,-0.016446960336465408,0.08748822273915587
WNT5A,0.04253307426081012,0.03067248691555969,-0.020036503741629127,-0.002709514298319435,-0.02308997242672013,-0.02741618772491034,-0.00986443730824774
CXCL8,,0.011029561654329386,0.014642643774680993,-0.04177910265995912,0.1451296067774024,0.09454059635927767,0.014353815720512097
GRN,-0.08407726312188958,-0.03643908909775293,-0.04995521894172608,0.00969489181130899,-0.07113422399105619,0.09604114331190801,0.030170444940898464
MIA,0.10458596586161537,-0.014719943318411855,-0.007342342001590979,-0.04342172970086568,-0.09851494850194552,0.048668852221069654,-0.05070839943340656
COL4A4,-0.019670776219798874,-0.02809068671340005,-0.07098312956671485,0.08700050988654418,-0.032577631715379904,0.021349528178267206,0.01949376060413266
TAC1,-0.016985056908099077,0.021685835592657316,0.06535009515551828,-0.05118765547016858,,-0.02526926593207673,-0.01879396873101063
RARRES2,0.05944678860893931,0.03482712543503251,0.013964307741596228,0.059525632301850234,-0.06572133824204272,0.03744409249890926,0.011123734486463437
FGF7,-0.01217668820795573,,0.11051442881416382,-0.02176545191273978,0.13626030182559729,0.009896315000592272,0.1219400307159161
HBEGF,-0.055819393200406936,-0.005623916918442013,0.03324369444878893,-0.036004407799788966,0.032260306711688294,0.03633997205924536,0.004606906161885989
CSF3,,,0.11509718362228885,-0.015847492087488344,,-0.02099765947598882,0.17981298823605227
PI3,,0.002420701831225332,0.05790864825755318,-0.01784448525476737,,0.05873708122803003,0.10624985841287748
PCSK1N,0.058212345291142525,-0.05904404751643782,4.136106249695499e-05,-0.048404610033392054,0.06924405251981695,-0.005289602636394271,0.0046369775122024025
NTS,,,0.01697284313785613,0.1596646221449969,,-0.03154229103921424,-0.022289695006404785
SFRP1,-0.024713686840202906,-0.005467612302269311,-0.018932374836950518,0.002812893518292552,0.10146200847812092,-0.04773027893823587,-0.02177173896410271
CXCL13,,,-0.018762225240889187,,,-0.03425155213154153,
MICA,0.00036502896405257924,-0.00035604159484327205,-0.03742956619745933,0.06611305172818688,-0.02138815741847529,-0.030062790273418828,0.039831367078843195
TG,-0.019670771786913715,0.06108657366707763,-0.0021247513439537863,-0.019126505106566674,-0.06644811462324092,-0.017281396410970148,-0.029353922747195744
ADA,0.08594688341552952,-0.027000809240354914,-0.047951516377742504,0.041504654531742596,0.09953262766707437,0.033731710280998126,-0.024115208301196362
LAMC3,0.06684780192689835,-0.0482544449902409,-0.013359730739355214,0.05554778157626435,0.01503111916737687,0.024502665468542392,0.021584374729077357
CCL7,,-0.014877744101872696,0.07712141805662634,,,,0.1401446215454273
NGF,,-0.025544347807738094,0.08608439197965026,,-0.025034604547740976,0.08070698572706393,0.011668339962015871
TNFSF15,,,-0.018417548210434304,,0.03425548724090763,-0.013039186049254525,0.05066641705378896
HMGB1,-0.012934233793961745,-0.05843895648867008,-0.01367547147715504,0.03414087973035516,-0.024671804656096013,-0.019052482672853296,-0.076898606062858
