,UKF243,UKF248,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,ZH8811Abulk,ZH8812bulk,ZH916T1,ZH916bulk
IGFL3,,,,,,-0.017845841616938054,,,,,,0.12266617861983178,0.03646255201370958,
BMP1,0.06403955756779847,0.09201508339223892,0.014920205970437696,-0.01717841968400479,-0.03399576537152891,0.03125227411842759,-0.013769133321457027,0.0328215566853143,0.015262718486456689,0.09427052476033128,0.01576027599416562,0.011406301772686846,0.02887025749460195,-0.04596384076648166
NDP,0.027298202437292474,0.019357653951222267,-0.0008534185815552431,0.039571857329248394,0.10632704627203597,-0.03576721951063373,0.01046059790596467,-0.005170768872152551,-0.0033178424897705545,0.05969537782843312,0.07702482927747249,-0.06212794371332008,0.03357140205064819,0.007088512342666532
TNFSF18,-0.025517621634765775,0.031262270316243304,,,0.03914606453907049,0.049892000726240275,-0.01749266066743609,,,,,-0.025137227461200725,0.07233972016243755,-0.029458677809996302
RTN4,-0.006427233002733537,-0.022236679564665074,0.0292521665230791,0.06840014987202657,0.07237289126387517,-0.10732587468200434,0.01655907746194401,-0.04386003074595723,-0.05038606545441144,-0.08153974163397876,-0.04922898328352945,0.030524843892641446,0.0039471580401983465,0.06723209387755276
HEBP1,0.002423558985344787,-0.016371518402308525,-0.05836713034720458,0.0033773370152607855,-0.02177058584935764,0.025627127468887418,-0.03394436520590331,-0.02615641033485459,-0.033186689979817094,0.007829400953479754,-0.06306745464289207,-0.006005836090885872,0.004718825642681695,0.007909966585678493
WNT7B,0.007864039894598482,-0.0333964011727417,0.015683413859493688,0.007849396115311075,0.030805061517195323,0.005899368629051798,0.02319406029051661,-0.017542921733614894,,0.04323784553971524,-0.030693118473350524,-0.0525639761701587,0.010447602415847653,-0.009977230210686274
PTMA,-0.1517247764533866,0.06665890666601866,0.0012983187581137403,-0.06249253301928722,-0.04417070419599823,-0.05244130612281107,-0.023096648216116896,-0.049986597927672856,0.051952235279391905,0.1006056612714948,0.017568897452120077,0.04517986184134541,0.07276646453799075,-0.10618723340212552
FASLG,,,,,,,,,,,,,-0.018635510137481638,
CEACAM1,,-0.02042242582400708,0.008064864691185312,0.010164400420915865,,0.03218483777955211,-0.007616233635021159,,,,0.013526636937323512,0.1323042137275937,0.006012604548233589,
PDAP1,0.030058812309987526,0.0075461488757260315,0.021840195369450876,-0.07049160825837818,-0.08248757896154517,0.06353711121304881,-0.0008745791060305146,-0.050179131132964995,-0.003123880165581332,0.07784090408524166,-0.014156281862045702,-0.016965532189603998,-0.04342148984809757,-0.05589479998649502
QDPR,0.07481767046084001,-0.016053652537145784,-0.015460722574528477,0.006066529952520832,-0.06279412726208922,-0.09816299061835644,0.004450277697434439,-0.044681139638490214,-0.007991348531096634,0.01390826253741619,-0.03608206001328087,0.0960632026146178,0.03696808392121956,0.07649382894855974
POMC,0.10061196303423103,0.02569098887763462,0.009317128807967276,0.007936268540909622,0.04667590699067208,-0.0031843641402504812,-0.020297100151471535,-0.015053721679387807,-0.0055355669500987735,0.03940617734821247,-0.01755874433964379,0.0514747656888602,-0.028531755375829606,-0.04201684306050439
