,UKF248,UKF251,UKF259,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,0.0444224006293444,,,,,,0.023006882054830625,,-0.017325836053269636,,
BMP1,0.052576165187643985,-0.034451575211646004,-0.024140143846639317,-0.03322274951335597,-0.04209955727104346,0.03726546738085039,0.018442384218535897,0.011218498911664735,-0.00827182005574705,0.042885980081403326,0.055916697647721864,-0.02474676270277938,0.11564077954412713,0.04964211955248442,0.025866257554084723
NDP,0.04096938459732418,0.04657656843072673,-0.03973446975073999,0.03977248383847196,-0.026482395714516903,0.018259691458098637,-0.060062583806173644,0.02346533401829508,-0.038256973847116654,-0.0277803940963651,0.012136393197714156,0.010791203351205104,-0.028762673958569258,-0.04503840603108868,0.11870391210975499
TNFSF18,0.007767201554143413,-0.0186564828566448,,0.0021303621480806504,0.002160983384557797,0.03501077825478187,,,,-0.024124904370567475,0.07064697726265705,,0.128320487938589,-0.047563671000364446,
IL36G,,,,,,,,,0.029881128824727488,,,,,,
RTN4,0.07757236654756204,-0.011224147938572048,0.046985043486886376,0.11910161034546485,0.13313726592855918,0.05600776769421904,0.10113511304793438,0.011028741244121551,0.0286391418334154,-0.018429880665688944,-0.012582498032397279,0.044984588374576466,0.012467035378797734,0.031613688367751906,-0.009277724837069666
HEBP1,-0.011925638790188852,-0.0003148791660469886,0.012803163192902747,-0.027093738170854226,-0.015761283257540122,-0.054129408957951645,0.025849554888557832,0.020179825920100758,0.016128435367780452,0.04489117816108842,0.006010710122866971,-0.015490827541269075,-0.030428021969127098,-0.05145501955829818,0.04517230030603207
WNT7B,0.02110997324479578,0.051896217288655996,-0.011836744292419349,-0.007230629168851667,0.0767800628090346,-0.0334646240351288,0.0004671346448212626,,0.17806526996446523,-0.02655916499081578,-0.04757123809267337,-0.020366670429130585,0.05912394465427294,0.02295108415393416,0.015705444549357968
PTMA,-0.0342476528047646,0.02554605408479555,-0.039701906919890756,-0.07408401976138485,-0.012101037002077646,0.03149880914585071,0.009558656090145914,-0.04901607936865366,-0.024145094547012715,0.05283044211387501,-0.010617926775015503,-0.010657545074879789,0.07144728921362963,-0.04200530024560438,0.07730062644445616
FASLG,,,,,,,,,,,,,0.09260483079909546,,
CEACAM1,0.015503503410312584,-0.01414743173206064,-0.026163185289896747,,-0.012748200792565256,-0.018361622339191235,,,,,0.1198949018807848,-0.013517655370567795,-0.020907434478769964,,
PDAP1,0.0345118001462934,0.025743218806375992,0.02046889562525922,-0.03961947962014735,-0.07053983056330775,0.02377573103218848,0.016394010951561573,-0.008342496678720968,-0.022460023488927557,0.03635485782339674,0.027748025984901302,-0.03734448564293184,-0.04953033612628486,0.03477852648499802,-0.07074166276917183
QDPR,0.035404372293700796,-0.08762059440258191,0.010341747040035758,0.024035776440596106,-0.001621165919622786,-0.0022357424846432663,0.0651880863473274,-0.07728717885601204,-0.011292108448251119,-0.05664225688731101,-0.003922869407981721,-0.012454190076538202,-0.03955695888293078,0.0032265900642021537,0.09715814325044124
