,UKF313,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,-0.034672685413627086,
BMP1,0.17391022199836487,0.09685063800121152,-0.017362087987427093,0.0294985002589673,-0.009390371446215783,0.14670829689373516,0.12342003790873414
NDP,0.04392989665338553,0.06353139420591168,0.01684357184336589,0.048934901886547234,0.06564322383279,-0.0016331118497529033,-0.0042719005057061275
TNFSF18,,,,,,0.04065024620178296,-0.01715120883916095
RTN4,-0.11609325478436151,-0.02207168454708643,0.06854124179175654,-0.06156832779634592,0.04406035573341228,0.009326132206347799,-0.21411589388393573
HEBP1,0.03797919145308327,0.03613617060687714,-0.005608553483534837,0.0311534399675141,0.011105717357693674,0.025082726090986655,-0.029821895416598194
WNT7B,0.07972384905607968,-0.03381122969963296,0.03752323568796748,-0.034870372054643294,0.03777217493041437,-0.006161769388200879,0.029747593263848505
PTMA,0.3319432810021349,0.009856652673648972,-0.1120876592611549,0.05579328324719977,-0.021807066779356624,0.08819004171352658,0.055812345707771605
FASLG,,,,,,0.1125129965647185,
CEACAM1,,-0.041784572152641725,0.1251068603496408,-0.016893071826819338,-0.01603498306079712,0.0401925961061704,
PDAP1,0.18481080142798714,0.029371428612303085,0.02037618282835175,0.07565661300211356,0.020514156763467954,-0.041777489997148004,0.0015435728299106966
QDPR,0.20312948689013513,0.01065316775270119,0.02455794911801849,-0.011922363857691676,0.013371008713248093,-0.03444133014424546,-0.10975506019234037
POMC,0.04066676499515102,-0.058812518857466675,0.07670760689531463,0.03494989453904669,0.05977635459824653,0.0480354131622805,-0.03240437402110276
CCL18,0.2618751996483567,-0.035828086128836,0.010391640135648552,0.03361773312030453,0.07300262473914398,,
CCL17,,,-0.014954090534120489,0.06205489943119969,,0.003826322710102359,
VEGFD,0.03719364482557622,-0.04036434393654445,,0.07830186570361133,,,
TNFSF13,,,-0.012813055536195187,-0.02650697622711134,-0.018006211272057714,0.02244416096708502,-0.0019107073022009593
WNT5A,0.09045609346076809,-0.058214749312787105,0.044619730730286876,0.04556945614014077,-0.018049138861739155,0.09843606576480941,0.08011728337027497
CXCL8,-0.00510409961419705,-0.061654071927352,-0.02957670451692407,0.011254501187151248,-0.037726035704769754,0.00970458008905779,0.0698611887291234
GRN,0.07015503385947343,-0.17380014854846956,0.01626491736657204,0.039909332556899824,-0.029933543445628794,0.17281504989684912,-0.08322449328549938
MIA,-0.050724667206423435,-0.07140294187159572,-0.029386865687354425,-0.006551106841285014,-0.03139524229327813,-0.041422500307492775,0.06292049889595942
COL4A4,,,-0.03951293681572922,-0.012158249462878008,0.08735512939921544,0.009119826713438285,0.10547904331764076
TAC1,,,,,0.12325367041278373,0.15091304617176787,-0.13718242945239598
RARRES2,-0.14481824214210576,-0.0803265889434552,-0.06928338026528198,0.06249849653551683,-0.04384524630343892,0.010833891808588597,0.00825501423066852
FGF7,0.10083887481068861,0.015029166716824334,-0.01800046791146603,0.02383517922532975,0.03895381306033834,-0.046999921458591686,0.028290774647617742
EFNA2,,,,-0.016055734235042148,,,
HBEGF,0.21198830384350575,0.05002762812376599,0.012843981488233264,0.03782693545995119,-0.00239441827375465,0.04665358331367207,0.0623806490212668
CSF3,-0.0279345884121047,,-0.05041404666747196,0.027666182757989016,0.04241044001034831,0.03134372642589995,-0.001955476190758247
PI3,,-0.05735139959106033,-0.0706140521334954,0.04409023472104588,-0.008604747475105718,-0.06234888827290251,-0.022184908607923638
PCSK1N,0.1349432518495716,-0.023019940164570284,0.07922305115460888,-0.021811741416543243,-0.01313900801968583,0.008485701026967085,-0.16570251858838214
NTS,,,0.03215947291246424,-0.019560865374298346,-0.01823956004267249,-0.03221273944077905,
