,ZH8811Abulk,ZH8811Bbulk,ZH881T1
BMP1,0.047041626854962985,0.04140657609637144,-0.014592979334713945
NDP,0.016324703213145473,-0.009518116869111201,0.03364037698659598
RTN4,-0.01744438303098369,-0.06250131235299233,0.10508432107174197
HEBP1,0.040741149432550985,-0.0025393429155414295,-0.02461990454600745
WNT7B,0.09021838376480008,0.005294548973713286,0.07176614690747421
PTMA,-0.11533139747375329,-0.014009776696028979,-0.08358418311350464
CEACAM1,-0.02991058278297441,-0.01956087671045425,-0.02033800842839301
PDAP1,-0.05077255017581945,-0.018178364514184326,0.05351806438001806
QDPR,0.07335350449273458,0.023379437830178977,-0.030169171605127738
POMC,0.08731998876212017,0.02863120823853741,-0.03327031007352972
CCL18,-0.011179975774860977,0.04538916846054904,-0.041058707321335305
CCL17,-0.021220110771619463,-0.013473671905435611,
VEGFD,,-0.01956087671045425,
TNFSF13,0.05480975911424896,-0.016849455955261283,-0.022838220360198506
WNT5A,-0.04518974514780756,0.011333869721633775,0.0373953404896675
CXCL8,-0.023681779118714028,-0.027020671345138407,-0.026481971824046605
GRN,0.011700925249325107,-0.03651630307039899,-0.03992073634811931
MIA,0.05795843602413922,0.07129882885766685,-0.06718875634202787
COL4A4,0.007744075386495744,-0.031320022130850646,-0.0035081086600790468
TAC1,,,-0.013311713291098374
RARRES2,-0.004520390765810567,0.029059135359962514,-0.02383675731248919
FGF7,0.07972690399538511,0.004455230927093394,0.03879220921959665
EFNA2,,0.003404991117617457,
HBEGF,0.009791852646597737,-0.04000220450270669,-0.015644532643040925
CSF3,-0.004191853316077364,0.027223855399990716,0.0259882430322242
PI3,-0.054270609121028615,-0.06134530635449895,-0.07708987051160703
PCSK1N,0.06409456912005185,-0.013867678918901484,0.10169883714587388
NTS,0.0453572027788394,0.06803053986718206,0.03744076429579206
SFRP1,0.0583807196134562,-0.007271414208085438,0.03707238926447581
CXCL13,0.0009764883430817715,-0.018850401928463493,-0.03072055744918797
MICA,0.036112094520189555,0.03497458469849604,-0.018858776451901232
TG,0.036286557966918175,-0.027895921785973565,-0.023996916833964904
ADA,0.0025576374630825495,-0.009460238992750033,-0.02887282411968489
LAMC3,0.027328330468002242,0.02045849551350204,0.012530568998821968
CCL7,0.02328995484831638,,
NGF,-0.024146116885108593,-0.018341405832509476,0.007161823999942498
TNFSF15,-0.03100538214064021,,-0.018106190944611897
