,UKF248,UKF251,UKF259,UKF260,UKF304,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,0.004486997786287562,,-0.0264039949669155,
BMP1,0.030874833215259707,0.04235654073700598,0.038192667001424985,-0.07478100067748955,-0.022427044896686177,-0.022201382135629957,0.07258870215504541,-0.012490890103368322,-0.017829881629145033,0.09777098854153156,0.03618217998208319
NDP,0.009244628458805203,0.01903165095639599,-0.04242159956373456,-0.07108753276898401,0.02180232759480454,0.05798849732964951,0.019388860847393222,0.02662773098258224,-0.016965371217923995,0.04661843563001914,0.020468669760181437
TNFSF18,0.03450309796885226,0.05738795512833047,,,,,,0.0733043219327155,,0.03608239702632863,0.06673312513615134
RTN4,0.06759901076215624,-0.015294880429353694,0.00461889283775993,-0.06322965528230565,0.026762692238774626,-0.04575865580121018,-0.05626919578242943,-0.05376920990640113,-0.05049830966621503,-0.07113789239235044,-0.025063823834141533
HEBP1,-0.003967521133173445,0.010095605705426839,0.017789139920932732,0.021058946612400077,-0.02564787384380062,-0.026799644482144568,0.03437090262167487,0.00977119659010487,0.025757661101296077,0.07233941822405465,0.024210940623134877
WNT7B,0.039611325188430226,-0.016807141748401443,-0.002570874929760815,0.02166238435824211,,0.0791917292927242,0.12452307234696447,-0.044254957868321274,-0.027014744044225457,-0.015081297862135143,-0.010959335854434475
PTMA,0.04729122192814236,-0.0028591628644456047,-0.013347327772466179,0.0006787355589096877,-0.04020557581120322,-0.01869650348090234,-0.062233925602061764,-0.05435657584817536,0.09440994668518304,0.06867069848925238,-0.0018945937405113226
FASLG,,,,,,,,,,0.013768141383223197,
CEACAM1,-0.022149909413945477,0.03783277284769903,0.04352476042495125,-0.022083524180458412,,-0.01821211121809298,-0.015399748901938029,0.0901066586093779,0.003264419613516308,0.07393912758285236,
PDAP1,0.04592014340971268,-0.06227815270305092,0.028774301082825762,0.03215252822312058,-0.009536312093548943,-0.02288683260841573,0.050569772199562,-0.0015905293348892576,0.08460144701532928,0.013000439959541563,-0.049690243602450175
QDPR,-0.03157110958271172,0.04204397915932154,0.041921200534318914,-0.038187457717278536,0.010120637151164881,-0.013979551021459459,0.03607521121583165,-0.11088862662120909,-0.01433954565598654,0.001353743957485149,0.006191968359976752
POMC,-0.03924780781923263,-0.022918524063791485,0.0033522192087317216,0.043734375820362006,-0.021120627620391103,0.10908001930005594,0.012725223579736858,-0.015567499562399044,-0.02933125305690218,0.043596471587824,0.06733763887997542
CCL18,-0.014742676213572479,,,,0.02798943733213385,0.08955914793881578,-0.03760516705289974,,0.057412651888257296,,
CCL17,,,0.10086890399234405,,,-0.01292061141827593,-0.003581991561070054,-0.008737010047847736,,-0.020756437248110552,
VEGFD,0.036054272513631865,-0.018474471050943363,0.010031298843567427,-0.021128265607389434,0.0695933924823741,,-0.015399748901938029,0.04379099387818648,,,
TNFSF13,-0.02085878779293511,,-0.012061409638714169,,,-0.024792712606062355,0.009773049964144203,0.0050058503584637665,0.03429110074972032,0.06448463378522476,-0.018520922809583906
WNT5A,0.053679277365707344,-0.016740500766377727,-0.0011312781203588276,0.06076227250592002,-0.022744424570705777,-0.015188361133127402,-0.06575128453198106,-0.03611124810306558,0.018406845788993462,0.05333771711476707,0.010735184403194313
CXCL8,-0.012902805315604803,-0.017298399675282104,-0.006644568131253239,-0.054204943949846644,0.031713687160692325,-0.06574527990947523,-0.09527055136588586,-0.038414597724953786,0.019686211204218776,-0.015304850997630492,-0.05977819359764692
GRN,0.07935130089324392,0.0072651776880535215,0.002553133570461548,0.008774472894318186,-0.009498660777745332,0.07344371425634229,0.007438845481510347,0.08663586580738931,-0.0084466449502705,0.09600712407966237,0.02796270317853611
MIA,0.027985378373070736,-0.016429902580786183,0.008424550413602551,-0.026261107732789307,,0.027048647960532985,0.01979854491419799,0.10019261048546835,0.010574000889385602,0.0035679712816190814,-0.009337545166707355
COL4A4,0.020268357805532475,-0.027630202551336296,-0.004808041418656976,0.006018004852177504,,0.006226000036265777,-0.02465740587999654,0.06676728061221256,-0.015493466784007696,0.03558337110949542,0.10073039685721402
TAC1,0.04896684696756937,-0.016119710664594913,0.056501581119734384,-0.01791670754254163,0.03310555267322053,,,,-0.0073135503052984795,-0.027286447366016185,-0.05203137439481637
RARRES2,0.03792954212374927,-0.018126390570150933,-0.008735088424561232,0.02257562071177409,-0.03497909778683016,-0.07143248281716601,-0.05050982133728235,-0.0028485735522982983,-0.005948252786021147,0.022006337477260666,-0.003077637051013704
FGF7,,0.0264445538020176,-0.020526918678545066,-0.001501038807021982,-0.021673693120467397,0.010885451773078404,-0.030860722366063856,0.011771496728087194,9.175577234821656e-05,0.021721663150278545,0.0757194475468438
EFNA2,,,,,,,-0.014636430732707817,,,,
HBEGF,0.06024647273871392,-0.028687404123162646,-0.042149021872075414,-0.0801785489978111,0.014194531975434892,-0.007484932286930386,-0.017242439948914477,0.02878041338153954,0.0333861336921611,0.034742049003451285,0.020759414441314027
CSF3,,,-0.020841715090987874,-0.017831384403856558,,-0.0690806602888865,-0.05725135201668489,,-0.010726491756416483,-0.02185332636387981,-0.03952766316279985
PI3,-0.02907949122383175,,-0.03596650793744864,0.006731258434679794,,-0.0662847620217033,-0.11019307116152126,-0.02298906852816947,0.0007176621662505414,-0.04748001813275992,-0.06795808236471035
PCSK1N,0.015811610407403573,-0.05987401474416827,0.07181811303375474,-0.0031198683895727296,0.040931809250105367,-0.0674011637103255,0.045332307609270366,-0.009481086881030505,-0.007512150642537875,-0.020344513611219823,-0.0540879738121988
NTS,,,,-0.009778177025113532,-0.020906576616754595,-0.03014244145275745,-0.01783171338859602,,0.016095038551845315,-0.032361796398716905,
SFRP1,-0.0004136667248889598,0.025964343398319295,0.023036020497327024,-0.008808476682499039,0.005933984324597374,-0.01833065112754752,0.007691437067609309,-0.046529851509616825,0.029107826589712765,-0.003624072243293323,0.03216639384033019
CXCL13,,-0.020703779696190236,,0.06921382216300459,,0.0449752053019407,-0.03760516296040458,,0.07847969773728854,,0.11026353839689221
MICA,-0.004216326058467419,0.011015779549488418,-0.043999888751287554,-0.02714251052327677,0.06492866621786296,-0.005565066999627391,0.04404546145061003,0.06077643924674239,-0.0008135035420547087,0.019102888892344176,0.021212664077224164
TG,-0.001706564195598598,-0.01753932091878365,-0.01646489074367776,-0.017947644953913912,,-0.01716826223689758,0.09214142811202385,,-0.021155788409752758,-0.023313483337801935,-0.035332825171141516
ADA,-0.01773696788930794,-0.016774697500008557,-0.04556878146898307,0.049642346670278746,0.042448641525650845,0.04948906177677665,0.1261125052185788,0.03330794158173264,-0.037563927876251534,0.11187413526563497,0.0731908431497167
LAMC3,0.05799596234329496,-0.03118960817089259,0.07382102550225071,0.015477810735637563,0.005453113712122845,0.09936232964317399,0.08469647519790187,0.04135481492330436,0.00583625527667285,0.08213690864538983,0.007263484803354647
CCL7,0.0018089942915555676,,-0.01190408970124056,-0.03166984027206665,,-0.019365018307028876,,,,-0.022900167683923583,-0.029888956246924583
NGF,-0.030187433461823926,,-0.027275309952805225,-0.03380425825144291,-0.02090659038234817,0.13327797077805711,0.12485912672610851,,-0.017391299712979726,0.0853443144792428,-0.04479697435582046
TNFSF15,,,-0.01325578610390049,-0.02344824226828677,,0.004518904295213582,,,-0.01596249831514297,0.062093509627784954,-0.02130310050437549
HMGB1,-0.0014285185525790148,0.003059045342601692,0.021883488906753314,0.01232764669110073,-0.0104028000533808,0.03710696389525627,0.007248911785468128,-0.02966908222272423,0.07441425322826918,-0.0052921279319996534,0.01766735994236513
ITGB3BP,-0.014517272348962617,-0.06739732250087142,-0.048995496076657784,0.01879708037712638,0.021873643796981892,0.03906357656789598,0.04012055856910163,-0.01012983261127185,0.078555448835165,0.024916933614683716,-0.013516404427981977
AANAT,-0.011931676718621484,,-0.012061410926005463,-0.004014256283411565,-0.01965526961213755,-0.016988585184245803,-0.019696671552859597,-0.017805299950049,,-0.02422933239646463,0.056925127173555766
RELN,0.03840464680642406,0.048005213772782246,0.03661207251337886,-0.010388688222544223,-0.03290971254524742,,,0.00974505077903461,-0.01928096807159016,,-0.0064320191680424426
IL15,0.029897364908883645,0.09953543374293236,-0.010077736478861695,-0.034994822471744826,0.01575788408053788,0.02727635543869366,0.061254324141167986,0.018852954022319877,-0.019239740792819753,0.010230724535284496,-0.0387268206027118
UTS2,,,,,,0.10307164266153895,,,,,
BSG,-0.003978183630206443,-0.030376695653965446,0.01862111992842026,0.0026420833854101165,0.0034317972350767006,-0.01158176658382161,0.034378414198063825,0.06576757216102028,-0.007017865117304013,0.017305726493051694,0.04423773935799718
ADAMTS3,0.031183257867648806,0.010913410641630766,-0.017958939203904383,-0.018677011492945973,-0.031561744515994083,0.04815059216390407,-0.0006377230322729404,-0.011645775423309026,-0.03911497421035756,0.02537991282665887,-0.04088490453536615
CD34,0.032785804311225596,-0.00934897205850175,-0.019775269319199654,0.03440308592005484,-0.04514860292036462,0.03960665105358201,0.028262755423099063,0.031425721203843085,-0.017099413316690293,0.07929813635124168,-0.03170737965072553
PLAT,0.004014962263653148,-0.03683073191944296,-0.028217880638650588,0.0209181993781741,-0.02455646337013073,-0.043551694993492755,0.01962739383964085,0.03712530218058385,0.06349240264568348,0.04343365579509898,-0.0011850112269044867
NTF3,,,,,,-0.011459211083155247,0.021641795540060786,,0.002774574866554654,,
LTA,,-0.01289847173400549,0.06260061486639341,,,,,,,-0.032609029957614194,
CKLF,-0.03347261009447555,0.004079286867807586,0.02408725611363276,0.005552302780455577,0.028393922237725116,0.05272070530414616,-0.0054823593074280735,-0.009720946594995004,0.01595275623651073,0.030181991101808813,-0.0018502133238621238
CD24,0.05155917140541847,-0.01052092225861371,-0.03431677924923071,0.06324646087237831,-0.0015285234810674358,0.007258177750707841,-0.0019697541316750595,0.019867936480038175,0.0013216736777218263,-0.02627395694550864,-0.01645220032512208
HSP90AA1,0.06801405302249214,0.024449775493668873,-0.013800567417122591,-0.10089406955988048,0.028292060769481257,-0.14241024613038447,-0.0788493134044189,0.022439595095352625,-0.017954805368215726,-0.010106384839653117,-0.09479921285139818
BMP4,0.0020998367436494522,-0.013673136146532299,0.020425171051910926,-0.022332561996156484,0.0025687404585709385,0.07425356744508017,-0.0012460839860317903,0.048112567451809925,0.043364388887865556,0.09246442371451942,-0.033011575847737125
SCGB3A1,0.00198980555176573,,,-0.025161159654309852,-0.034598775005245226,0.03285844412502375,0.0944958455943261,,0.035027880436049375,0.08795189172047403,-0.024049717336265358
IGFBP4,0.06145396945494868,0.0019264311270213912,-0.006088509511497676,0.056063303448276425,-0.017316631768237705,0.03672434406727384,0.05468608168410531,0.032824135546276674,-0.03764060608097185,0.09016239607798349,-0.012664019424432665
