,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1
IGFL3,,,,,,,,-0.018835959583539563,,,,,,,,,,,0.0037275929433453732
BMP1,-0.034196073985795716,-0.016678812967997204,0.011454574768805875,-0.0044240100934808905,-0.011297672075302297,0.07150297772324023,0.030875316964227247,0.08843254774304901,0.013735934617801536,0.05233726041853594,-0.022624078563532383,-0.018087865364538235,-0.01165169745757763,0.010825397738674613,-0.0261508652029569,-0.006640551835074323,-0.020629484778704202,0.011787166697160735,-0.025918738313583767
NDP,-0.029066577603570242,-0.024330686906347144,0.032769980937815135,0.0718206565285795,-0.044884795612347164,0.038884104565837345,-0.03231994557416062,0.07907629636054998,-0.03847013506670492,-0.006755280435179134,0.02094677877947256,-0.03886165104772343,0.039893397297978576,0.010674516911148959,0.020505195838317794,0.01327139399004418,0.07790656748033532,-0.04462859590550098,0.07927629555384463
TNFSF18,-0.026202650274245752,0.0070769282746814864,0.015270652256832407,,,,0.06586583021134475,0.11187139056282444,-0.018434065107212,,,,,,0.016347009693518617,,,,-0.03137894203066749
IL36G,,,,,,,,,,,,,-0.015968599399675328,,,,,,
RTN4,-0.017766983108785484,-0.002361477469104245,-0.04084641901154026,0.03815738726795002,0.06100583274352081,0.025145193960702583,-0.10874278819271539,-0.12580895295653194,-0.024907048780320084,-0.04292180487458913,-0.09869992298572741,-0.004513829593266675,-0.04541592686355542,-0.017491620088190774,0.03398268130989615,-0.03245675728479761,-0.024468486999889627,0.04968939843086684,0.010944537722673673
HEBP1,0.00461685055535272,0.033610783722908676,0.06091582960326185,-0.031876357326972624,-0.03919389701400288,-0.04515228124043859,0.056150063808702654,-0.009267883544749882,0.005761434524721235,0.03144008171326713,0.030766578997140533,-0.007448779360570892,-0.008404608999344781,0.07944964694809233,-0.0023804372447383494,0.011927816982332912,0.04828524886834206,-0.04149741759016503,0.055455270756400867
WNT7B,-0.04951062491552707,-0.024095102813772154,-0.023299354944066996,-0.035723849710504844,-0.004202611929481041,0.019732167547983123,0.016099679441914923,-0.05755989687866819,0.021467217744944297,-0.011878752737456104,,0.010643444983113278,-0.017551330983985824,-0.06081517583469158,,-0.03148778915831165,0.048888707108249004,-0.02179262662490759,-0.039705278765613666
PTMA,0.07658311192268583,-0.025643364334180917,-0.012172888472371171,-0.0566280250627187,-0.03506262820695106,0.009078100776634422,0.15366411471107558,-0.03674870946327877,-0.10071031996014333,0.05727484133264824,0.043288014355947146,-0.000193069707727309,0.0803167509888378,0.04113044375681886,-0.1638829600293436,0.007351415213028619,0.03745441084030317,-0.0323616836279518,-0.04559417076253723
FASLG,,,,,,,,,,,,,,,,,,,-0.01613386494196074
CEACAM1,,-0.01835045614226757,-0.01788085355773465,,-0.02737776973598095,0.07969738283902017,,0.005638792817117773,-0.028992392791887926,,,,,-0.04579535245613763,0.090601056266664,-0.017644161301946803,-0.01769328261248687,0.011169685101974131,-0.02244790343330403
PDAP1,0.02000739204709679,-0.009936792736800893,0.03584470263177605,-0.06567484669867847,0.012283864225717424,0.02924858484366893,0.04897216992897017,0.06426808217796301,-0.04850582813810316,-0.03678058300185783,-0.0819232845846126,0.038506743138674984,0.08189990852336804,0.07281483240807692,0.010645104725369755,0.006076908328680651,-0.04566190723129096,-0.00666966343481765,0.032852848416814635
