,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,-0.03210342397164384,,,,,,,,,,,-0.028964101535946814,,,0.022267347152189195,,
BMP1,0.01568916114392868,0.06412961438134117,0.006508787475950642,-0.0034872245495718183,-0.013281616165621622,-0.03980610505577594,-0.013592727793912717,0.051847352906393536,0.09886302972446898,-0.009674135733255141,0.02932053972382951,-0.02425741662604706,0.0948548959469042,0.07262955486389765,0.06941059837984775,0.0008483516414737735,0.05109026830194431,-0.06246491011897245,-0.029810785091044383,0.046126935310223695,-0.07628517950962088,0.10169601414377136,0.03225205707848604,0.0025073483366623676,0.08361440821205042
NDP,-0.046027048909103654,0.09229468275735418,0.019957084235151874,-0.03484754436409033,0.007335083925511043,-0.04332610831238912,0.013207649741309528,0.0071845416111164925,0.059006069870851295,0.016390362741395173,0.003591100205051147,-0.02247585036271401,0.04274098244216896,0.15157490945540839,-0.009409679734267777,-0.002826090590276673,0.0796195011364912,0.03333448318040602,0.10780684015214818,0.03821834574592852,-0.0535970481168802,0.02064447189966227,0.08254430625178101,0.004747276219971254,0.051160546422628426
TNFSF18,0.0328108774353863,-0.06762551004999427,0.030137511276164656,0.0359522023524614,,,,-0.02084222609027032,0.1971401251639654,0.06688604284510453,,,,,,0.020802571226979285,,,,-0.02987016666760687,,0.009541607857674137,0.010515415133271751,0.07778037484362443,
IL36G,,,,,,,,,,,,,,0.09644491305085845,,,,,,,,,,,
RTN4,0.01397353264182668,-0.10643097619252805,-0.0388409996764929,0.04556089817069595,-0.010172124809805248,-0.019437640348026565,0.02310668071506168,-0.023591957911174063,-0.08102308922158509,0.011694929926911766,-0.060322711710273605,0.04145432413448957,-0.006671463799732673,-0.07573477957989405,0.013718523626187942,-0.013759486000178659,-0.040600079881350976,-0.005262751412041468,-0.03526811170439725,-0.11513560875400629,0.15499525920654025,-0.01164660585255096,-0.06477822843904146,-0.054441454178842004,-0.006687145962109401
HEBP1,0.027083266590764273,0.056320161147367945,-0.009930233289564954,-0.04589577755762909,0.004842710211694637,-0.03581828051827392,-0.02828667288804447,0.032195293253412985,0.03127951780902296,0.02502161352776954,0.04802972073587616,0.037683621248814206,-0.0006782131119652557,0.011912665177724591,0.16708626703482865,0.06658457666518053,0.05374000803975539,0.04107239906145805,0.0884595312134644,-0.010951480370192319,0.04840394780768844,0.12203629588817322,0.11234307888548047,0.04727315328970089,0.0517223527073385
WNT7B,0.04559398178217891,0.036928448789035784,0.021581911946560166,0.016079139901231422,0.09476479823885431,0.07296701595865257,0.011338897185660522,0.015670803388207737,0.028534283902864634,0.02112251967750502,-0.03017567750028016,,0.06740659860586781,-0.04040677359962424,0.0913596153779829,,-0.059860952359922566,0.06184658652233188,0.0021528260956822473,-0.027381134492178414,0.014835469014785777,-0.059403693785716825,0.06631300418438825,-0.04170515306682342,0.06130586884554943
PTMA,-0.03571638676396512,-0.069754643874125,0.05255577956793028,0.05369342095034066,0.11616601949559788,0.020333928719428507,0.013943459527334699,0.05886337387422126,-0.15011260334537876,0.01420550306866398,0.053016087354533364,-0.044312668064178426,0.14048045661633105,0.08715079358923353,-0.018562440973208433,0.09672029745217817,-0.09730717177478282,-0.025333725136431978,0.01044491235547959,-0.01247847180417976,0.07129591308833211,0.0777903659312828,-0.046042427045480665,-0.02401848524371254,0.027058757746360497
FASLG,-0.030042086843095367,,,,,,,,,,,,,,,,,,,,,,-0.011659422813237173,,
