,MGH258,UKF248,UKF251,UKF259,UKF269,UKF275,UKF334,ZH1007inf,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,0.05269544609222482,,,,,,,,-0.008605474741080402,,0.04973270289662256,
BMP1,0.010626260612677133,0.019929045408764074,0.01573085241543184,-0.00541128810651058,0.12547138167287541,0.024686340980766473,0.037386237000688376,0.08561537800577361,-0.07145823164887181,0.018541799142929156,0.04597932551803592,-0.027268832619318607,0.09096230626873113,-0.04704696791157689,-0.015050305958107956,0.03789954045045195
NDP,0.03156330408049905,0.019908914303801956,0.014924467613849876,0.05369335354880241,0.0067797854162005245,0.014665445689678371,0.05168035731996078,0.013934443487733384,-0.04619776641007344,-0.015187290536436675,-0.0075839840559338454,0.07620191883331136,0.06486066578414887,0.03876993377280573,0.12644857766934234,-0.06549903985778119
TNFSF18,0.04419689770435034,0.029213801435482942,0.006118644904397018,,0.13796775738097872,-0.020114126185018864,,0.047644509916068445,-0.055617930815583194,,,,-0.038015764695251614,,-0.027847536764241988,0.0579160142824556
IL36G,,,,,,,-0.0028178185022589993,,,,,,,,,
RTN4,-0.024178484287272636,0.028040905632090975,-0.003647008867847196,-0.009670693743217664,-0.1091454834083545,0.013859176015058131,-0.03587552830120745,-0.08576766288535434,0.02913101668754119,-0.07371517784643467,-0.009013582314246616,-0.10269917501902918,-0.12134724100007231,-0.034934479386736494,-0.013913841270638666,0.10869236108943874
HEBP1,-0.028908225219384673,0.042324439953010044,-0.03963962910042412,-0.007512690366091948,0.05505905983203331,-0.04185715339439665,0.05682546053035478,-0.015069580613635574,-0.07023022551377835,-0.019480426759727467,0.04460974056285077,0.07088144126521018,-0.0322796763642348,-0.029897442689499974,0.041392894471860474,-0.043595204926283
WNT7B,-0.023672048500641883,0.017757941387370184,-0.014285942204223797,0.018604935862777422,-0.031767465683716696,-0.017552079295031584,-0.021967666860795192,-0.03861416709207616,,-0.029923836991534072,0.12035785322514919,0.046369473989006864,0.04018421835748865,0.023204548287662215,-0.029051182133112908,-0.03376937311720797
PTMA,0.022057121222417188,0.027528909639912846,0.06820000964515838,-0.013851751374026007,-0.05518274398372377,-0.011757907518389732,0.028293048450806726,-0.03866179811118245,0.004068868852045253,-0.0685737812568883,-0.06284371604978568,-0.07010888433295556,-0.05736512910720254,-0.04756351241389449,-0.08234768402203042,-0.06651028775689599
FASLG,-0.02367205519266935,,,,,,,,,,,,,,-0.023544805456835235,
CEACAM1,0.07206817324914373,-0.019306555768748367,-0.010963601400176694,0.016718279648454355,0.059655369682985446,-0.013610678671019243,,,-0.027446155728724563,-0.041198043368157966,0.015091132372157338,0.004147180759297062,0.05830517511193115,-0.019795231775472592,0.05918873524813147,
PDAP1,-0.01897191764476404,0.05206122173843724,0.02056997561881194,0.06726701764044166,0.09201554064197934,0.04429880453512845,0.09143228856498768,0.04853470541778695,0.09979144988750353,-0.012354064597408586,0.003420530744130329,-0.013299479397521345,0.04497240234357459,-0.004842183878665402,0.033269979453648714,-0.07082398281462793
QDPR,-0.044285474265255004,0.031979323650822546,-0.054801373495772035,-0.01693033847040424,-0.15395037997122885,0.008553670237593193,-0.02108831313224531,-0.05513177152450795,-0.02277388226480937,-0.07187211453122809,0.042978122508724376,0.085588125194524,-0.05547685136217522,0.08855550482392792,0.0707523522948505,0.10198792408418192
POMC,-0.025634632352594534,0.06310535392565575,-0.001874082749162164,0.03318663504216781,0.007423160344162014,0.0008319275005121392,-0.03511286734772071,-0.01868009495599921,0.014491535507144151,0.10188518182365087,0.0638423813916889,-0.03253935545246082,-0.012583069574501515,0.014518187152221924,0.010672214620745841,0.08415495241440334
CCL18,,0.022178106086434467,,,,,,,,-0.029210090108833606,0.0037462515590418735,-0.03281375758973258,,-0.056658946204947505,,
CCL17,,,,0.06091832084208668,,0.02008953952919866,-0.01825840146992663,,,,-0.024430664106988853,0.006002945119620297,0.022022833027526594,,-0.02134072160304464,
VEGFD,,-0.048207699473536224,-0.01570315938535385,-0.0012134959077186906,-0.014229648126245954,-0.026727257790309038,0.03131952671573098,,-0.005350117252308854,,,0.02663874221032982,0.02055111604060492,,,
TNFSF13,,0.012156848939061228,,-0.024811282969518296,,,,,,,0.06007161712810367,0.03831234274749602,0.09745581291075685,0.059882822475937326,-0.03477292461450433,-0.026444435395783682
WNT5A,0.04406427410611495,-0.03060210174245424,0.020738039392392077,0.07127551690471005,0.11659132628512174,-0.0021933226717480844,0.006754102789260816,0.09160815498127295,0.04412961904911408,0.018674929267971613,-0.003113155764149916,0.005304905347282702,0.037863678432025545,0.03401944726286656,0.00774662620908819,-0.06196530294449372
CXCL8,,-0.0010974818481147173,-0.014703507692505077,-0.06713010615098083,0.007817652150392472,-0.008004069957150538,-0.022080575570656954,,-0.059514056779008735,0.023989863884284424,-0.048534664432012396,-0.15273215333478293,0.02175369939433972,-0.03869447284379684,-0.00572367552181518,-0.040386703791874194
GRN,-0.01804642308716681,-0.07167322899909309,-0.00550876325900198,0.01968155866650236,0.10516436173426971,0.019085083095567917,0.034162314468939775,0.009670974805486832,0.10902785786338058,0.05850905758130482,0.012975419839207147,-0.05194309194193428,0.0537724963529592,0.01667323132941859,-0.07839375273389186,0.04580049414786069
MIA,0.07376008180230305,-0.03565422686403678,-0.013965291791060378,-0.028866932418781518,0.011986253564454066,0.02839090582070108,-0.026799402009979482,0.07500515478687401,0.025594949089710987,-0.0066860849992395445,0.11201480876300512,0.14146787717568665,0.07089182082444476,-0.02758530654092132,0.12003664805445025,-0.005159750292535252
COL4A4,-0.010856656864491715,0.07011645910852814,0.03645161869040716,0.017546579133556225,-0.021126151923106185,0.016750795481190326,-0.02599641418333253,,-0.05161681121498855,0.042297219916898124,0.061670561772181075,0.008173864203829284,-0.00699219559678897,0.016856908464391113,-0.04791062757592117,-0.029555660714268704
TAC1,-0.023672042313678133,-0.019332320404701748,0.013178262366848872,0.0564613957406877,-0.044854451007529494,0.025257083115518674,-0.038829661996203364,,,,,,,0.011075426517607576,-0.028054548563110925,-0.047111495356874866
RARRES2,0.01380440546585139,-0.038609769389808396,-0.036397724199697994,0.06099020149611317,0.10685392824869402,-0.009669547396565534,0.07319414318723504,0.1296003292491498,-0.045648194978968416,0.01930710395602793,-0.015756869473182333,-0.07853010063349355,-0.04722123771132915,0.0012166840039053786,0.009797694559909054,-0.0573361709007651
FGF7,0.0202432733842144,,-0.017723919005101715,0.02669644615715606,0.08334455141997547,-0.004718628933696876,0.001405387611262822,-0.04911970900412659,0.07153849982104243,-0.0024384730564887794,0.04796194879905997,0.017128922812550358,-0.0042428504614624,-0.006200918170111864,0.013185531508615522,-0.034744650110669656
EFNA2,,,,,,,,,,,,-0.03208751373695704,,,,
HBEGF,-0.04564880120724028,-0.031665622718535194,0.008716758263921738,0.04714787130384875,0.13120580461215758,0.007324572126947383,-0.014152004805990501,0.003904219357318366,-0.02602592893720643,0.0010196000699981837,-0.004169657588794372,0.0061660614779275695,-0.004174607746256297,0.013868667155066626,-0.056845985832959606,0.01142239130827437
CSF3,,,,-0.0021138271341690357,0.11564553074366875,,,,,,-0.01782555730227035,-0.12118482248943672,,-0.02837916875239141,0.05302815933365192,-0.03108917343431642
PI3,,-0.05071651626246663,,-0.062305496170910586,0.11458387692383686,,,,,,-0.07424166919143933,-0.18695634711451387,0.02418165008692626,-0.08092436777924228,-0.0403920842987698,-0.02394874283997937
PCSK1N,0.07797973102930862,0.014028946387099131,-0.015217852476272414,-0.0026071652424300663,-0.025042179976581397,0.02530743020077692,-0.09211958463229944,0.003259148523792921,0.06320405390674162,-0.027006754835465278,0.03673104680886302,0.010098738380140599,0.012042871824941372,-0.028296924911209487,0.058922482532089655,0.010618965997714452
NTS,,,,,-0.027472143968919102,0.006127581349439379,,,,,-0.02725317569817367,0.019159724230713895,,0.04648131727174245,0.057018367811375606,
