,UKF248,UKF259,UKF266,UKF275,UKF313,ZH8811Bbulk
BMP1,0.08675540806883568,-0.002397752774645993,0.032664945794607735,-0.011486603278327557,0.05336889029640482,-0.038440767925823405
NDP,0.049083586231513085,0.06888723757079061,-0.0420613124397104,-0.04985599008636356,-0.0897042995773708,0.0685528159091922
TNFSF18,0.07310735188624413,,-0.01311767066626356,0.11067276906162005,,
RTN4,-0.06546918156805305,0.03412181337054935,-0.1191883898132712,-0.07959513775718247,0.09322499157686345,-0.059932174054982856
HEBP1,0.043996657355648845,-0.002175097289432403,0.07043879714672152,-0.0029458254607035877,0.11724649681234503,0.04716707565147215
WNT7B,0.012631089196772685,-0.028867299830416693,-0.006282220609146881,-0.03223428598711739,-0.004626885950280621,0.007907637120535556
PTMA,0.025939082275095154,0.02847018569996689,0.17152277960180023,-0.049932242013864266,0.2251103447672845,-0.004168301292386573
CEACAM1,0.0008184070807043118,-0.033333455176393016,,-0.017686551178570726,,-0.01808102132905575
PDAP1,0.029474450468162113,-0.08410597042307069,0.05917275131979842,-0.013966880306562797,-0.021927306251497976,-0.00273964876969351
QDPR,-0.015403304788862038,0.004429644178994295,-0.031064434111822834,-0.022422449457919182,0.19504072441461962,0.015818812994100994
POMC,-0.03407695363222134,-0.012055024307551336,-0.024118394423714364,-0.013048432262423132,-0.05618253948987205,-0.0028637683499575786
CCL18,-0.02239965499217399,,,,0.12717101530732283,0.00609700560718279
CCL17,,-0.019320482902458934,,0.024709323196316572,,-0.026101089404775214
VEGFD,-0.022399662105113585,0.03222875762341221,,-0.014942850259796575,-0.033860850483447884,-0.01808102132905575
TNFSF13,-0.016903503825459305,-0.013326836700940576,-0.012721404045808649,,,-0.013336177156534788
WNT5A,-0.06696412262467609,-0.04487844862411288,0.15863239556098543,-0.05020800025572377,-0.009946918978637599,-0.0005633869156282174
CXCL8,-0.07100742202312492,-0.011430015863851145,-0.018095372155638428,-0.006676359266080793,-0.036554026472355644,-0.030224984892849516
GRN,0.06553657533078856,0.04199982148787693,0.04204304692585173,-0.031082864664609196,-0.02027855596029478,-0.029443649680659705
MIA,-0.012611674622636834,-0.010040190571131872,0.02751470744220569,0.04700968514529276,-0.010757565733953041,0.02179734831806068
COL4A4,-0.0017334767069623728,-0.02564732389509752,-0.012103853912665913,0.04108162629638874,,-0.0010177061578083245
TAC1,-0.047966576437952255,0.05460274771729016,-0.09552305782138323,-0.007691837092159767,,
RARRES2,-0.03667458889946373,0.029291627339035006,0.07722228803427776,-0.05686777079661969,-0.170478995239711,0.012350000275237874
FGF7,,-0.03424734855416487,0.10273790904616882,-0.033380419510620436,0.1388017337891398,0.028806306160904915
EFNA2,,,,,,-0.017184800735681637
HBEGF,0.05971293466833631,-0.07299808122049199,-0.01865758078312425,0.024402321335201444,0.08547002019255862,-0.001061423342140174
CSF3,,-0.023028331008143655,,,-0.07810590687173899,-0.0049212350255977404
PI3,-0.023565381460515032,0.001721606693746992,,,,-0.004679215313289898
PCSK1N,-0.016767209395079405,0.11261563307406824,-0.061400008626928154,-0.004469118640688381,0.12950087839478933,-0.04841754091886908
NTS,,,-0.014776055532773722,-0.016727839586405096,,-0.020936418649802672
SFRP1,-0.0026116099995328415,-0.01685786813842958,0.11041245104988918,0.007824857967211888,0.09969531624994356,0.012230196692093869
CXCL13,,,,,0.09559352021400898,-0.044152651962015003
MICA,-0.010111088251436907,-0.00850435737191188,0.0789632227125958,0.0664259625687458,-0.03272048500080159,0.019187836702835588
TG,-0.004269227678607883,-0.018192310584951972,0.06983617235142876,-0.0141300340514443,0.06737216948615322,0.08391753322848214
ADA,0.018044821971740826,0.0729049461008073,0.0005241219117090005,0.002020276692226633,0.050699696496889685,0.006082252376352046
LAMC3,0.12278201248268851,-0.035308920210674055,0.01645094417987852,-0.011224835355931086,-0.011134613378838873,0.001131745721869011
CCL7,-0.01424807284781819,-0.01315301148653251,,,,
NGF,0.031512363935107944,0.012104601173496906,-0.01627548650533737,,0.06667942333347818,-0.016953808102334805
TNFSF15,,0.005113836473673776,-0.0004099887769771367,,-0.018884602768710665,
HMGB1,-0.029005343644795335,0.04040636663719768,0.04710183602471933,0.016694406152952965,0.09113980101527641,-0.00742286260202204
