,UKF248,UKF255,UKF266,ZH8811Abulk,ZH8811Bbulk,ZH881T1
BMP1,0.07759719965460533,0.03558079097462126,0.004022348771031766,-0.01856158878004404,0.03951811838046745,0.049980785444866664
NDP,0.03724764117584709,-0.011134675643713949,-0.03852786616999892,-0.0059454554267890855,0.03729305658462066,0.014935700076213988
TNFSF18,-0.002809820718399548,,-0.02084222370873645,,,
RTN4,0.047829475377219696,0.027639297060122716,-0.15543894097779912,-0.010123765865494147,0.009589254502336116,-0.0007653682290048082
HEBP1,-0.01479340778689596,0.04362413996281625,0.06445759494834427,-0.022369998581207477,0.03478707328203113,0.04117429023349497
WNT7B,-0.022148219178478392,-0.08492051334999293,0.005495106680931629,0.08738572852849248,-0.027108809045328724,-0.028559023950642297
PTMA,-0.0007222127683628772,-0.0695616605474023,0.21746548374405328,-0.027562514607792334,0.04359992710345705,0.0031598601460167517
CEACAM1,-0.024684094071989567,,,-0.0052913010635155895,-0.0008407151826808676,-0.01895503954993069
PDAP1,0.041583302022630074,-0.006959233914975525,0.10811250570497397,0.056978705381285785,-0.01639635412239825,-0.040149474879836874
QDPR,-0.039616865559099525,0.0085874461422665,-0.1064291625741357,-0.013759959750396743,-0.028058004978245735,-0.0780931032053995
POMC,-0.028698735688995742,,0.00019084131146461703,-0.037583302611375456,-0.0033156398993215014,-0.03100795466294548
CCL18,-0.030803417149228057,,,0.03745374693538756,-0.04261865255781011,-0.02313863792237116
CCL17,,,,-0.023284904195579215,-0.004542564467995616,
VEGFD,0.014119491664552012,,,,0.07003210277756346,
TNFSF13,0.006247204673762484,,0.09209330742623054,0.09963304685134539,0.04000459433252432,0.08414383626136454
WNT5A,0.0683005759282908,-0.043702603122881836,0.12568662927857097,0.009047068435719908,0.05579196272857159,0.055557812977535696
CXCL8,-0.042069772585730934,0.050499320491882396,0.07908074998948442,0.03725361696775734,-0.02390505052704364,0.10362672336325923
GRN,0.013249246015472619,-0.15438012233960718,0.04512756125797412,0.06312042556003672,-0.02506937271621015,-0.021888314026962532
MIA,-0.0314737618692696,0.018383613369340256,0.05581514511054058,0.012919052609221509,-0.12899980969017816,0.04256759313610046
COL4A4,-0.03699465372566639,-0.014891457374526625,0.1372947116365678,0.02319545493172726,-0.039224182100765975,-0.038200956161152426
TAC1,0.027573796972750825,-0.0594160862873062,-0.13555337989653415,,,-0.021122961829585157
RARRES2,-0.05007072696495416,0.04100179914043974,0.058418848010932244,0.06025615844747721,0.033762583852445155,0.005091640162581477
FGF7,,-0.016733125527445932,0.008515176134888499,-0.021502204421245088,-0.012652167584781477,0.03333657515494076
EFNA2,,,,,0.018778730562593333,
HBEGF,0.034620946667069295,0.05324217760860733,0.07307302463245706,-0.018727110429159994,-0.019898833810358386,-0.004557717831599587
CSF3,,-0.051612186947777465,,0.015443950563625884,-0.016572709493259178,-0.02717463842794
PI3,-0.03240649356709035,0.056320058609862035,,0.05123241015443,0.054147514626197046,0.12143403761685338
PCSK1N,-0.010089239969953529,-0.06465112696250373,-0.10130962068459119,-0.0007540007492574872,-0.0500244439037432,-0.04845883655927485
NTS,,,-0.02347717539050734,-0.05432125761908924,0.03876015154256604,-0.020749964734178325
SFRP1,-0.00731276054568594,,0.040646202051194125,0.016640156030854357,-0.009518441083375481,-0.06566352193074168
CXCL13,,-0.01856547224642566,,-0.017491969987696542,-0.050423718737231525,0.0014093092520368756
MICA,0.08239452324659097,0.05369093595575071,-0.0036873703208801893,0.02719038476516494,0.020806034438952726,0.024212972782149792
TG,-0.03229435514404069,,-0.027098849295734993,-0.030939816116231682,-0.022516031759928477,0.045699757651225546
ADA,0.018124479650726655,0.0014448932893352045,-0.03831191413110559,-0.00024394638207863093,-0.026695776470044067,0.0025205288556268694
LAMC3,0.04831684575595605,-0.03697126131275402,0.043666413436998563,-0.022623789453877347,-0.017379794728815963,-0.07408681503762533
CCL7,-0.019593575510751075,,,-0.021839149242394818,,
NGF,-0.02345248436029543,,-0.02585957060083637,0.017651525685640383,-0.028132150599453867,0.017322383362407528
TNFSF15,,,-0.0313991879821461,-0.021027913534110862,,-0.0168749839327721
HMGB1,0.0036636367370209595,-0.10139500161629521,0.10356218980677749,0.002144049170370792,0.04860982818196031,0.007453379785010944
ITGB3BP,-0.031931794973073434,0.05781358862464837,0.1726253219713021,0.06599868824303375,0.04513171062988065,0.02924851021074266
AANAT,0.008665566188360023,,,0.10171512949299566,-0.03837406726064943,
RELN,-0.043194855708375335,0.027709343359283697,0.016478391750024583,,,0.07023098857729769
IL15,0.03206879025743442,,-0.022342388909453094,0.07037764642310489,0.022515711376835015,-0.04116327944110651
UTS2,,,,-0.026071773889018577,,
BSG,0.025041456171116805,0.07128215110122224,0.04391037006959591,0.11771826360979776,-0.05732051048275832,0.09080754191418515
ADAMTS3,-0.03574595113502159,,-0.003698920256678274,0.0662932508689262,-0.03258108420054435,-0.05374309227374904
CD34,0.0033297371256163855,-0.08318888992702407,0.040964404149303246,0.003586446374228115,0.04350474392536667,-0.07031538555252242
PLAT,0.05835824094878795,-0.05140056374522977,0.08960814835344369,-0.04753725251545693,-0.07131358164439557,-0.034532971867062244
NTF3,,,,0.05280132375024704,-0.05299906783644486,-0.03220707925298728
CKLF,0.022109785891814518,-0.04789614715443305,0.15695878630285098,0.028584121775875555,0.04379881556222767,0.041139597829052466
CD24,0.025124017606536153,-0.002214852614382476,0.14326332834561828,0.017558821140910244,0.046170354409793155,-0.10257129032463776
HSP90AA1,0.0065074298079346995,0.046641780592288205,-0.16023345258679075,0.040575260739383154,0.025789616445289508,0.023212467094414414
BMP4,0.0271251968617069,0.02101120550929849,0.1586561936796017,-0.06830632174238699,0.03993452284813635,-0.03914230759294353
SCGB3A1,-0.019593573551419705,-0.007128195234121512,0.024970230967307255,-0.04437221745923406,-0.023578017719100293,0.04339850164793992
IGFBP4,0.05026513266931541,-0.06639381725033804,0.09093180462392753,-0.020904472408612693,0.028219305592185315,-0.04240483492474468
RSPO4,,,,,,-0.007919471154432308
LEFTY2,0.07118356035395601,-0.08970907148043529,0.032267189497120104,-0.029625047903265426,0.016879751482679273,-0.03209533016426981
PF4,0.06478350677530545,,,,-0.02613638063106793,
ANGPTL2,0.04880874342329538,0.010854330021481678,0.1590526227692727,-0.012552961360893029,-0.014038472642891613,-0.07052261351930542
LRIG2,-0.04764772348918183,0.0015732229486866917,0.11669552961427497,0.055347881548511405,-0.016883667496728278,0.0060827610791987655
ICOSLG,0.02056419547059748,-0.07202547148723404,0.13325710042130504,-0.018080896071301228,-0.008078686834878756,-0.005855749904498221
WIF1,0.06898100009875388,0.16038062473413206,-0.12118521263204605,,,0.04679382989717027
NPPC,-0.029224013652285705,0.036449624331074605,-0.03954793261603969,0.04534408283975938,-0.03279577231393978,-0.01030805292085053
LYZ,0.057348188190522204,-0.057970862205603206,0.010631283612142299,0.005648679071211476,0.06005210057082991,-0.0067451870710855035
EREG,,-0.010948144165764099,,0.04554713506285685,-0.038279868428344986,0.024898066332672813
SPTAN1,-0.03206561628575579,-0.06459645934014407,-0.061115281253181525,-0.005686147489182925,-0.05351013942550106,-0.07544263504008071
PTH2,,,,,,0.03549688304717782
LIPC,-0.02488337166275585,,-0.013014983735180894,,,
COL8A1,0.03037571500695639,0.0780666892378751,0.15254612056725392,0.022353130809426636,-0.012751018813254581,-0.0018912782843758297
GSTM2,0.03561083973438619,0.011873856944756575,-0.018893498283952197,-0.013383392085261328,-0.01434091291006432,0.020257169741365134
SPX,0.06384962908591739,,-0.019956386993413996,-0.035186481166772525,-0.019997712905545695,-0.013613903167666896
MFGE8,0.024154547092476046,0.013172296750509994,0.07093641171534637,-0.0784057149612456,-0.03763796899832683,-0.06382152441131785
TGFA,0.04404189254715194,-0.05384949433114091,0.08898948654922528,0.02077076535225034,-0.007936758094425058,-0.014922912569089328
SLIT2,0.12368390835738856,0.006504773543573227,-0.046815928996376426,0.036865869041221994,0.03504140112619779,0.16201639325506484
PLTP,0.0003613384503008151,-0.12614207331816976,0.08810883720849434,-0.05546995650585728,0.04633765783801449,-0.026315558429268075
APOD,-0.007242748818729782,-0.14844530813561607,-0.13219999634372018,-0.05943534861327772,-0.1550896692374964,-0.06220492544296469
B2M,0.058351825492035964,-0.14631042306549552,0.06111081564327304,0.06553647445548531,-0.00016637882628716476,0.02553101121442703
