,UKF251,UKF259,UKF260,UKF275,UKF296,UKF313,UKF334,ZH1007nec,ZH1019T1,ZH1019inf,ZH8812bulk,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,,,-0.018219038584259176,-0.019995967635873156,
BMP1,-0.025591421201444236,0.04086682421537556,0.018045719022608635,-0.023623295397957683,-0.015549899105635485,0.046550736591294065,-0.03242113396248188,0.09911301724065467,0.038458491171209475,-0.004863487012052823,0.04366966920104696,-0.054189796384197055,0.11057996271743309
NDP,0.020486252462344295,0.01280593922396684,0.08217745153701704,-0.025960813752789795,-0.016486279817446027,-0.04483173989328783,-0.07256875239271174,0.004373415041872527,0.11240377872069642,0.024233036147437166,0.03238583177015506,0.06436560676584825,0.0033100449107974408
TNFSF18,0.0367234910320068,,,-0.012622089446573373,,,,,-0.025401511364599068,,0.034890570418263336,-0.008924991128362434,-0.0019837905254887272
IL36G,,,,,,,0.15115019039742186,,,,,,
RTN4,0.004981672649346241,-0.0034846279329269823,0.047405896859014994,-0.09117619663299256,-0.023814153227949292,0.0009839067908135213,0.04075259191310847,-0.014864987225223312,-0.08801660750739142,0.011335345023783147,-0.016818134470550205,0.06444030505103836,-0.03434602564813615
HEBP1,0.008339246491410466,-0.021417806271184205,-0.047081603695905964,-0.009112032107334158,0.028172341279464025,-0.013611275669543994,0.035580254814476436,0.012385995411875211,-0.08890084221991557,0.05468526667293695,0.03780932315377647,0.04758812485401451,-2.1409940634846477e-05
WNT7B,0.04443880494552093,-0.026412442068857764,-0.019982271308922866,0.005035269710556892,-0.012332310248938372,-0.010323879151284947,-0.015332972651925758,0.003158915114208352,,-0.027502581498487912,0.02515809270872402,0.09327754661493347,0.02084279148298831
PTMA,-0.0872971014847526,-0.00473595487795598,-0.07987968092937367,0.045329063242809976,-0.01767449989489512,0.07160136988564175,-0.061775767850168244,-0.15547553798610855,-0.005449353387054897,-0.010596362825377707,-0.06047941007166432,-0.09375885683046763,0.03057916490475342
FASLG,,,,,,,,,,,,-0.017342495908869854,
CEACAM1,-0.015300310226265776,0.009564880009282685,0.06749847198532676,-0.01985153968813039,,,,0.06843171937161649,-0.03279149992763984,0.1224621601332846,0.02889594851574428,-0.024129535908180778,
PDAP1,-0.005024310328818805,-0.00951266585826128,0.0323179290254243,-0.04405589707949245,0.01278091986220478,0.0037607605665817864,-0.07169295672176053,-0.045436621111341925,0.10692824454650457,0.03853737307731003,0.06623440744644608,-0.04068237386393685,0.09768154454202421
QDPR,-0.028627175223348646,0.0014793622602230798,0.021129195645722326,-0.08441296089922612,0.009287840958763413,0.07144160480230177,-0.038545833457586,0.04858974520926139,0.01830299563128988,0.005186776376391285,-0.07640790623031969,0.040048968424473044,-0.07133684513056068
POMC,-0.015240421462447864,0.015626408171170298,0.049224977531831304,-0.014645674462481979,-0.02351325859329405,-0.026630968938181614,0.04058432232522897,-0.08086276811162031,-0.07393933241010944,0.13718356469723175,-0.022757349164612597,-0.06274136716808844,-0.013937964922844706
CCL18,,,,,,0.016993649748925616,,-0.04926091037761105,,-0.01748771725232763,,,
CCL17,,-0.01767748069273396,,-0.01574220298520926,-0.015263942996836097,,-0.01274398288085348,,,,0.016883569796043753,0.010013736354329112,
