,MGH258,UKF251,UKF259
BMP1,-0.02432972431269558,0.08213555403936347,0.008590966793618506
NDP,-0.03758870317170509,0.0385786159505592,0.015880317413586108
TNFSF18,-0.01812836437441198,-0.007701454321915258,
RTN4,0.008618483933613095,0.019847390469360723,0.038602907982918294
HEBP1,-0.05061545435616228,-0.014154402077488372,-0.011899079416225592
WNT7B,-0.01597052121769551,-0.018628561563097893,0.01616846337038628
PTMA,0.004368347317907629,-0.011804672767659096,-0.010796575948881578
FASLG,0.1865207784819208,,
CEACAM1,-0.022175214748651088,0.10050812062698268,-0.01322679311759096
PDAP1,-0.061850995677471064,-0.002123271638763662,-0.006650256748380318
QDPR,0.07760966446576782,-0.004222408222472365,-0.008851324100857443
POMC,-0.04164734714471087,-0.012706471326735348,0.010624847790986117
CCL17,,,0.04465497713993654
VEGFD,,-0.020476582304715867,-0.020322106491789373
TNFSF13,,,-0.012581997135939089
WNT5A,-0.005283368289140654,0.04115741470710452,-0.0033321188752111278
CXCL8,,-0.019173057984396096,-0.01006445945649006
GRN,0.06444454760983653,-0.015458315841069216,0.006255199888998296
MIA,0.02483358752197165,-0.0002309887008727677,-0.00721938081571939
COL4A4,-0.01849581479645417,0.04913380856481751,-0.04396244734180841
TAC1,-0.015970517043615018,0.012787044258919168,0.01639251949003215
RARRES2,-0.04127392049986762,0.02414510288035816,-0.042939460026823036
FGF7,-0.03389174821224271,-0.023111609413362967,0.10967401884617217
HBEGF,-0.00919680709733104,-0.011668359580749571,-0.01625632309009526
CSF3,,,-0.021741272988620882
PI3,,,-0.037518873283782464
PCSK1N,-0.035518137356600095,-7.384627030310494e-05,-0.027272320432522982
SFRP1,-0.023237505710317786,-0.0464378595471778,0.05563776472888738
CXCL13,,-0.025335198592366923,
MICA,-0.053070740015277174,-0.016411167279705544,-0.028566632827100567
TG,-0.01849581062835109,-0.0029977110194146393,0.01695566942559195
ADA,-0.01840530559712496,-0.023582376073110645,0.11603727648728414
LAMC3,-0.014589078391211055,-0.025018587850888,0.0639215797602739
CCL7,,,-0.012417887047482623
NGF,,,-0.01827461102935652
TNFSF15,,,-0.013827924578447325
HMGB1,0.056993354345957675,-0.02663115480130958,0.005720548457400214
ITGB3BP,-0.01826674040682715,0.012789252116872258,-0.03611177655015717
AANAT,,,-0.012581998478791696
RELN,-0.015333517374651695,0.02436158650396174,0.03032899490905886
IL15,-0.04273817741806383,0.12674350985334154,-0.01550063119400521
BSG,-0.053859559774829764,-0.042705888319909006,-0.05265656082141326
ADAMTS3,0.07299081156963215,-0.03415764456513236,0.016565223739335173
CD34,-0.01704586534981574,-0.048702078478839145,0.03725235962799326
PLAT,-0.059272972014047264,0.029079594450063664,0.01560620992706646
LTA,,0.03025334732620738,0.05678294435943126
CKLF,0.03787779846600335,0.01001061410566609,-0.026069821910387293
CD24,0.019338294495923777,0.0032737096677123412,0.02942662093023333
HSP90AA1,0.056808804597381836,0.011253088204103897,0.004004189848919209
BMP4,-0.019034874273005965,-0.015154918205561158,-0.01899594851880796
IGFBP4,-0.0445458060363888,0.07086139337436122,0.07806946995061632
RSPO4,,-0.023111605025625388,0.023507203483233666
LEFTY2,0.08668582001150704,-0.014471882374624961,0.023724056067338194
PF4,,-0.013004429770780554,-0.01083436180196601
ANGPTL2,0.02326189784056728,0.024078866847673755,0.009755091254780133
LRIG2,-0.09021052746433895,-0.024048521291280718,0.045583157739095305
ICOSLG,0.01918155426198946,-0.008910206987318422,-0.014321996465927269
NPPC,0.009460809130908292,,-0.016806766978085724
LYZ,-0.014407783929025569,0.04513498206218223,-0.03436413142580778
SPTAN1,-0.06828276886983048,-0.02938952833937334,0.020107515031615245
LIPC,-0.0236801743071226,-0.019572361821226514,0.03915248533977552
COL8A1,0.04385813997907564,-0.015560162043143986,0.048776308379908664
GSTM2,-0.008798864389691703,0.0742146895298815,0.0861083335772396
SPX,-0.0033564192037925725,-0.003312205975092663,-0.013367875918816937
MFGE8,0.008043994544316029,7.368800151445259e-05,0.011376767490918137
TGFA,-0.00993544001140308,0.0653989916275719,0.0019989252362274937
SLIT2,-0.01903487122714063,0.004351493523014873,0.032393674832091116
PLTP,-0.05036014105416496,0.040000964132996454,0.11423982844939223
APOD,0.0446012390241561,0.0245902791316573,0.027024895764114498
B2M,-0.003589686022148461,0.06595069475386482,0.08244317351957565
OMG,0.045940981496120956,0.030117517430642126,0.06525944950408974
CXCL3,0.20147184764927972,-0.0007247169200592296,-0.049682438661572834
CXCL10,-0.007459989930310279,0.05400226318740589,0.03900574924502163
RSPO3,,,0.07832424463049537
CORT,0.08166384105806086,-0.009251293281928722,0.0137736803680054
NCAN,0.0745465608795439,-0.033713772738956906,0.0708682682397295
PRG4,,,-0.012417888982625983
ZG16B,,-0.015648717636986123,-0.014412478868944709
TGM2,-0.02276960390681441,0.012239190720615974,0.01625578943300312
VEGFC,-0.01849581568961948,0.011923543510446596,0.0186591724266113
WNT6,,-0.014471882754432326,-0.017175539425923328
NRG4,,,-0.015113138959029498
PMCH,,,0.036068530747210004
COL9A1,-0.06452096544613657,0.04208278851477233,-0.015784570599278906
GDF11,-0.007581948910461347,0.009729015553755866,0.01681664691565747
SORBS1,0.00751286849220307,-0.013378041012077412,-0.02413571057656002
DLL1,-0.010492186873433531,-0.014611498723183907,-0.009724080758467429
TLN1,0.02213368218294699,0.004101043692496688,-0.004207968044380093
COL2A1,-0.017372299951236906,,
SHH,,,0.03170011897371142
PON2,-0.04825922899583332,-0.021958615826985228,0.02178012194404687
ICAM5,,-0.018628563254807128,-0.02011215133015274
HPX,-0.01973288471543737,,-0.021060110462218406
SFRP2,,,-0.014696514412296233
CD70,,,-0.013340089095504281
HP,-0.020844674265647237,,0.0026203061748148676
CXCL2,0.07565668493334413,0.06223837495414774,0.02799732805487603
NPPB,,,-0.024352174513462103
CCK,-0.039744815502573055,-0.020296625971268092,-0.006207706950243607
SEMA6A,0.004395113046963358,0.008974161103083312,-0.014806148124124615
